Categories Final,Date Occurred,Crime_Count
AGGRAVATED ASSAULT,2015-05-14,95
AGGRAVATED ASSAULT,2015-05-15,149
AGGRAVATED ASSAULT,2015-05-16,134
AGGRAVATED ASSAULT,2015-05-17,151
AGGRAVATED ASSAULT,2015-05-18,113
AGGRAVATED ASSAULT,2015-05-19,117
AGGRAVATED ASSAULT,2015-05-20,118
AGGRAVATED ASSAULT,2015-05-21,114
AGGRAVATED ASSAULT,2015-05-22,100
AGGRAVATED ASSAULT,2015-05-23,99
AGGRAVATED ASSAULT,2015-05-24,141
AGGRAVATED ASSAULT,2015-05-25,126
AGGRAVATED ASSAULT,2015-05-26,124
AGGRAVATED ASSAULT,2015-05-27,108
AGGRAVATED ASSAULT,2015-05-28,100
AGGRAVATED ASSAULT,2015-05-29,119
AGGRAVATED ASSAULT,2015-05-30,149
AGGRAVATED ASSAULT,2015-05-31,138
AGGRAVATED ASSAULT,2015-06-01,120
AGGRAVATED ASSAULT,2015-06-02,132
AGGRAVATED ASSAULT,2015-06-03,108
AGGRAVATED ASSAULT,2015-06-04,114
AGGRAVATED ASSAULT,2015-06-05,118
AGGRAVATED ASSAULT,2015-06-06,138
AGGRAVATED ASSAULT,2015-06-07,153
AGGRAVATED ASSAULT,2015-06-08,122
AGGRAVATED ASSAULT,2015-06-09,100
AGGRAVATED ASSAULT,2015-06-10,126
AGGRAVATED ASSAULT,2015-06-11,114
AGGRAVATED ASSAULT,2015-06-12,131
AGGRAVATED ASSAULT,2015-06-13,119
AGGRAVATED ASSAULT,2015-06-14,135
AGGRAVATED ASSAULT,2015-06-15,113
AGGRAVATED ASSAULT,2015-06-16,111
AGGRAVATED ASSAULT,2015-06-17,120
AGGRAVATED ASSAULT,2015-06-18,108
AGGRAVATED ASSAULT,2015-06-19,137
AGGRAVATED ASSAULT,2015-06-20,157
AGGRAVATED ASSAULT,2015-06-21,159
AGGRAVATED ASSAULT,2015-06-22,141
AGGRAVATED ASSAULT,2015-06-23,110
AGGRAVATED ASSAULT,2015-06-24,115
AGGRAVATED ASSAULT,2015-06-25,113
AGGRAVATED ASSAULT,2015-06-26,143
AGGRAVATED ASSAULT,2015-06-27,154
AGGRAVATED ASSAULT,2015-06-28,161
AGGRAVATED ASSAULT,2015-06-29,132
AGGRAVATED ASSAULT,2015-06-30,122
AGGRAVATED ASSAULT,2015-07-01,132
AGGRAVATED ASSAULT,2015-07-02,131
AGGRAVATED ASSAULT,2015-07-03,139
AGGRAVATED ASSAULT,2015-07-04,175
AGGRAVATED ASSAULT,2015-07-05,139
AGGRAVATED ASSAULT,2015-07-06,122
AGGRAVATED ASSAULT,2015-07-07,110
