Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
2006-05-04,106,309,123,27,2,18,2,59,0
2006-05-05,112,285,137,31,0,31,1,52,3
2006-05-06,110,265,117,26,5,27,2,39,2
2006-05-07,101,269,109,20,1,28,3,40,1
2006-05-08,111,242,143,42,2,27,6,42,2
2006-05-09,133,320,128,25,2,32,1,70,1
2006-05-10,124,303,122,29,3,34,3,55,1
2006-05-11,118,301,122,97,2,29,3,49,1
2006-05-12,106,267,141,24,0,34,2,31,2
2006-05-13,109,276,121,22,3,33,2,32,2
2006-05-14,95,221,114,27,6,31,4,35,1
2006-05-15,86,239,130,29,2,31,3,41,2
2006-05-16,91,297,152,21,1,32,3,37,2
2006-05-17,121,305,130,28,3,27,2,53,0
2006-05-18,99,289,142,32,0,28,1,51,0
2006-05-19,122,243,138,33,3,29,4,49,0
2006-05-20,106,283,111,33,1,19,2,50,0
2006-05-21,117,346,123,35,5,26,1,40,3
2006-05-22,128,313,164,45,1,32,1,49,0
2006-05-23,115,324,166,28,1,25,1,67,0
2006-05-24,89,343,136,27,4,34,5,55,0
2006-05-25,112,306,137,26,3,32,6,38,0
2006-05-26,95,277,141,36,2,25,3,41,1
2006-05-27,109,271,140,28,1,25,1,46,0
2006-05-28,132,293,134,29,1,28,4,31,2
2006-05-29,131,236,113,27,2,31,6,31,0
2006-05-30,112,276,156,41,1,35,2,56,1
2006-05-31,127,288,159,34,2,29,8,41,1
2006-06-01,71,171,88,24,1,29,3,31,3
2006-06-02,116,187,157,33,0,38,3,45,1
2006-06-03,110,228,152,28,1,26,3,39,0
2006-06-04,119,435,124,23,4,34,2,70,0
2006-06-05,110,307,183,33,1,53,2,56,2
2006-06-06,121,377,144,28,3,24,2,47,3
2006-06-07,85,337,146,29,0,24,4,51,3
2006-06-08,92,242,148,21,3,27,1,41,0
2006-06-09,114,296,132,19,0,35,2,36,1
2006-06-10,92,320,119,39,0,28,1,41,0
2006-06-11,119,264,120,24,4,34,3,43,0
2006-06-12,120,279,145,43,2,35,4,46,1
2006-06-13,93,337,136,32,2,21,4,48,1
2006-06-14,125,332,129,35,2,33,3,54,0
2006-06-15,97,331,138,39,1,26,0,59,1
2006-06-16,124,279,139,22,5,22,3,35,0
2006-06-17,118,391,124,28,1,27,4,64,1
2006-06-18,108,316,89,25,4,16,4,51,0
2006-06-19,101,301,143,32,2,25,6,43,4
2006-06-20,107,436,159,41,2,19,4,52,0
2006-06-21,113,426,149,26,2,26,2,36,1
