Day,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
01-01,110.54545454545455,188.45454545454547,84.72727272727273,24.0,1.7272727272727273,23.272727272727273,4.818181818181818,42.81818181818182,1.1818181818181819
01-02,75.72727272727273,211.8181818181818,113.18181818181819,32.81818181818182,2.090909090909091,23.363636363636363,2.090909090909091,43.09090909090909,0.7272727272727273
01-03,74.45454545454545,190.0909090909091,97.45454545454545,28.545454545454547,1.6363636363636365,24.818181818181817,2.090909090909091,41.90909090909091,1.3636363636363635
01-04,76.36363636363636,200.45454545454547,110.45454545454545,29.181818181818183,0.5454545454545454,21.454545454545453,2.5454545454545454,43.81818181818182,0.45454545454545453
01-05,77.36363636363636,210.63636363636363,107.27272727272727,31.545454545454547,1.4545454545454546,25.90909090909091,3.090909090909091,42.36363636363637,0.8181818181818182
01-06,82.9090909090909,207.72727272727272,109.0,28.818181818181817,2.090909090909091,25.181818181818183,2.4545454545454546,45.45454545454545,0.45454545454545453
01-07,83.18181818181819,209.0909090909091,108.36363636363636,26.818181818181817,1.3636363636363635,26.545454545454547,2.090909090909091,46.36363636363637,0.7272727272727273
01-08,76.27272727272727,210.1818181818182,102.27272727272727,31.363636363636363,0.8181818181818182,22.181818181818183,2.6363636363636362,49.63636363636363,0.7272727272727273
01-09,83.63636363636364,203.0909090909091,109.0,31.454545454545453,1.9090909090909092,25.454545454545453,2.0,46.72727272727273,0.6363636363636364
01-10,81.45454545454545,200.27272727272728,105.27272727272727,30.818181818181817,1.4545454545454546,18.727272727272727,2.0,51.09090909090909,1.3636363636363635
01-11,82.63636363636364,205.9090909090909,108.27272727272727,29.181818181818183,1.0,25.272727272727273,2.090909090909091,47.0,0.6363636363636364
01-12,81.0,210.8181818181818,106.9090909090909,29.454545454545453,1.0909090909090908,23.363636363636363,2.1818181818181817,46.72727272727273,0.8181818181818182
01-13,93.63636363636364,213.8181818181818,106.9090909090909,29.0,1.2727272727272727,25.272727272727273,2.727272727272727,49.81818181818182,1.0
01-14,88.18181818181819,220.63636363636363,110.36363636363636,32.18181818181818,0.9090909090909091,24.454545454545453,3.1818181818181817,50.72727272727273,1.1818181818181819
01-15,82.63636363636364,222.0909090909091,103.45454545454545,27.363636363636363,1.5454545454545454,20.90909090909091,2.727272727272727,55.09090909090909,0.36363636363636365
01-16,80.18181818181819,219.1818181818182,105.18181818181819,25.818181818181817,0.9090909090909091,24.90909090909091,2.090909090909091,49.36363636363637,1.0909090909090908
01-17,81.72727272727273,220.1818181818182,101.36363636363636,30.272727272727273,1.5454545454545454,21.454545454545453,3.0,51.09090909090909,0.9090909090909091
01-18,71.45454545454545,203.8181818181818,107.54545454545455,27.272727272727273,1.7272727272727273,19.90909090909091,2.6363636363636362,48.18181818181818,0.7272727272727273
01-19,80.9090909090909,216.27272727272728,109.18181818181819,29.545454545454547,2.0,26.363636363636363,2.3636363636363638,53.27272727272727,2.0
01-20,88.36363636363636,224.0,110.81818181818181,29.454545454545453,1.0,24.181818181818183,2.4545454545454546,47.36363636363637,0.7272727272727273
01-21,73.18181818181819,201.8181818181818,96.9090909090909,30.454545454545453,0.5454545454545454,18.272727272727273,1.3636363636363635,42.63636363636363,0.45454545454545453
01-22,74.63636363636364,191.9090909090909,96.27272727272727,26.545454545454547,0.9090909090909091,22.545454545454547,2.8181818181818183,44.72727272727273,0.6363636363636364
01-23,77.72727272727273,186.1818181818182,98.54545454545455,31.90909090909091,1.3636363636363635,23.90909090909091,1.6363636363636365,43.45454545454545,0.5454545454545454
01-24,81.18181818181819,198.54545454545453,100.9090909090909,29.272727272727273,1.0,23.09090909090909,2.090909090909091,41.45454545454545,1.0
01-25,80.0909090909091,191.63636363636363,103.18181818181819,28.09090909090909,1.4545454545454546,22.545454545454547,2.5454545454545454,43.09090909090909,0.6363636363636364
01-26,77.36363636363636,179.36363636363637,96.54545454545455,26.0,1.6363636363636365,19.181818181818183,3.3636363636363638,46.81818181818182,0.45454545454545453
01-27,77.63636363636364,194.72727272727272,96.27272727272727,26.636363636363637,2.4545454545454546,23.636363636363637,2.6363636363636362,44.27272727272727,0.36363636363636365
01-28,74.18181818181819,211.1818181818182,102.54545454545455,26.454545454545453,1.0,19.90909090909091,3.1818181818181817,42.90909090909091,0.36363636363636365
01-29,78.36363636363636,220.72727272727272,96.0,30.0,1.2727272727272727,21.09090909090909,3.0,45.54545454545455,0.45454545454545453
01-30,81.81818181818181,208.54545454545453,99.72727272727273,24.363636363636363,1.2727272727272727,21.272727272727273,3.272727272727273,49.27272727272727,0.9090909090909091
01-31,75.27272727272727,203.0,104.54545454545455,26.272727272727273,0.9090909090909091,22.363636363636363,2.0,47.36363636363637,0.8181818181818182
02-01,86.54545454545455,214.45454545454547,100.72727272727273,24.818181818181817,1.3636363636363635,20.545454545454547,2.1818181818181817,54.45454545454545,0.18181818181818182
02-02,77.45454545454545,218.54545454545453,98.45454545454545,22.727272727272727,1.1818181818181819,21.0,3.5454545454545454,57.81818181818182,1.6363636363636365
02-03,76.63636363636364,221.1818181818182,97.0,24.818181818181817,0.7272727272727273,22.636363636363637,3.4545454545454546,45.45454545454545,0.6363636363636364
02-04,82.0,215.9090909090909,102.45454545454545,26.454545454545453,1.2727272727272727,18.818181818181817,2.3636363636363638,46.90909090909091,0.6363636363636364
02-05,79.81818181818181,220.45454545454547,93.63636363636364,23.727272727272727,1.7272727272727273,19.727272727272727,3.4545454545454546,55.72727272727273,0.7272727272727273
02-06,80.63636363636364,199.45454545454547,95.18181818181819,25.818181818181817,1.0,16.636363636363637,2.6363636363636362,48.90909090909091,0.36363636363636365
02-07,84.72727272727273,204.72727272727272,94.54545454545455,23.181818181818183,1.4545454545454546,18.454545454545453,2.3636363636363638,49.09090909090909,0.5454545454545454
02-08,86.0,210.27272727272728,99.45454545454545,23.90909090909091,1.0,18.09090909090909,2.909090909090909,49.09090909090909,0.6363636363636364
02-09,86.9090909090909,198.0909090909091,95.36363636363636,25.0,1.5454545454545454,19.0,1.9090909090909092,49.90909090909091,0.8181818181818182
02-10,78.0909090909091,204.0909090909091,93.45454545454545,23.363636363636363,1.0,20.727272727272727,2.1818181818181817,46.81818181818182,0.2727272727272727
02-11,74.27272727272727,206.27272727272728,93.63636363636364,19.90909090909091,1.0909090909090908,19.545454545454547,2.0,47.09090909090909,1.1818181818181819
02-12,76.72727272727273,188.36363636363637,87.0,26.181818181818183,1.3636363636363635,16.181818181818183,2.909090909090909,43.81818181818182,0.5454545454545454
02-13,70.0,172.8181818181818,87.0909090909091,26.454545454545453,0.8181818181818182,17.90909090909091,1.9090909090909092,38.36363636363637,1.3636363636363635
02-14,72.45454545454545,187.72727272727272,80.36363636363636,18.545454545454547,1.6363636363636365,17.90909090909091,1.7272727272727273,42.27272727272727,1.1818181818181819
02-15,77.72727272727273,205.9090909090909,83.27272727272727,22.636363636363637,0.9090909090909091,17.363636363636363,2.5454545454545454,47.36363636363637,0.45454545454545453
02-16,73.36363636363636,200.36363636363637,94.72727272727273,23.454545454545453,1.1818181818181819,16.363636363636363,3.4545454545454546,45.54545454545455,0.2727272727272727
02-17,81.0909090909091,211.45454545454547,92.72727272727273,24.636363636363637,1.4545454545454546,21.0,1.7272727272727273,47.36363636363637,0.7272727272727273
02-18,83.9090909090909,227.0909090909091,96.27272727272727,20.454545454545453,0.7272727272727273,18.0,2.909090909090909,53.09090909090909,0.36363636363636365
02-19,84.81818181818181,219.63636363636363,93.81818181818181,26.09090909090909,1.2727272727272727,20.0,4.363636363636363,55.09090909090909,0.9090909090909091
02-20,80.9090909090909,234.9090909090909,95.9090909090909,23.09090909090909,1.0,18.818181818181817,1.6363636363636365,50.0,1.3636363636363635
02-21,84.81818181818181,220.0,98.27272727272727,22.818181818181817,1.0909090909090908,19.636363636363637,3.4545454545454546,50.0,0.8181818181818182
02-22,88.63636363636364,220.0909090909091,100.45454545454545,21.09090909090909,0.9090909090909091,18.363636363636363,2.272727272727273,49.18181818181818,0.6363636363636364
02-23,85.27272727272727,208.0,98.36363636363636,23.727272727272727,1.2727272727272727,20.454545454545453,2.6363636363636362,50.36363636363637,1.0
02-24,84.54545454545455,225.0909090909091,99.0909090909091,23.818181818181817,1.5454545454545454,18.272727272727273,3.0,49.27272727272727,0.7272727272727273
