Occurred Date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
2015-05-04,3,2,0,1,39,20,38,7,0
2015-05-05,4,1,0,2,48,21,39,9,0
2015-05-06,6,4,0,2,33,26,39,11,0
2015-05-07,7,4,0,0,43,30,39,11,0
2015-05-08,5,3,0,4,45,24,52,9,0
2015-05-09,5,2,0,3,58,23,36,8,0
2015-05-10,10,3,0,1,38,16,31,12,0
2015-05-11,2,5,0,2,51,25,45,7,0
2015-05-12,2,4,0,2,50,28,30,10,0
2015-05-13,6,3,0,0,61,24,35,9,1
2015-05-14,6,2,0,2,48,23,48,6,0
2015-05-15,5,2,0,3,69,24,53,16,0
2015-05-16,6,0,0,3,48,16,42,17,0
2015-05-17,4,1,0,3,58,15,29,16,0
2015-05-18,2,1,0,5,33,18,42,7,1
2015-05-19,4,1,0,1,51,23,33,12,1
2015-05-20,7,0,0,2,46,18,36,7,0
2015-05-21,2,3,0,6,66,27,49,8,2
2015-05-22,6,2,0,4,30,27,52,16,0
2015-05-23,12,3,0,2,49,28,31,14,0
2015-05-24,5,2,0,2,51,19,39,4,0
2015-05-25,7,4,0,0,59,22,26,4,0
2015-05-26,8,3,0,3,47,20,46,14,0
2015-05-27,3,4,0,2,53,16,49,2,0
2015-05-28,5,3,0,1,34,13,46,5,0
2015-05-29,8,2,0,2,52,28,42,12,0
2015-05-30,7,0,0,1,52,24,47,12,1
2015-05-31,8,2,0,1,43,23,36,9,0
2015-06-01,7,7,0,2,46,33,40,6,0
2015-06-02,3,4,0,2,48,20,28,9,0
2015-06-03,5,5,0,0,36,13,28,8,1
2015-06-04,6,5,0,3,49,22,46,10,1
2015-06-05,4,2,0,2,36,24,33,9,1
2015-06-06,5,2,0,2,37,21,33,9,0
2015-06-07,6,1,0,4,47,29,34,7,0
2015-06-08,5,5,0,2,47,22,50,10,0
2015-06-09,18,4,0,8,54,22,42,9,0
2015-06-10,4,1,0,2,43,22,43,8,0
2015-06-11,7,6,0,3,51,24,35,8,2
2015-06-12,8,2,0,2,50,28,38,10,0
2015-06-13,6,2,0,5,56,22,37,17,0
2015-06-14,2,2,0,3,64,20,29,12,1
2015-06-15,3,4,0,2,63,22,49,13,1
2015-06-16,3,2,0,4,59,16,35,11,0
2015-06-17,4,2,0,0,55,26,48,13,0
2015-06-18,2,6,0,2,46,20,42,16,0
2015-06-19,8,2,1,2,48,31,38,13,0
2015-06-20,12,3,0,4,41,29,44,14,0
2015-06-21,12,1,0,0,47,25,30,10,0
2015-06-22,5,2,0,0,39,20,42,7,0
2015-06-23,13,6,0,5,42,29,54,2,0
2015-06-24,8,3,0,1,41,17,39,12,0
2015-06-25,4,4,0,2,45,19,40,15,0
2015-06-26,8,1,0,3,42,26,41,17,0
2015-06-27,7,2,1,5,65,21,44,7,0
2015-06-28,9,1,0,1,48,18,37,11,1
2015-06-29,7,4,0,2,42,25,53,12,1
2015-06-30,3,4,0,2,49,27,35,5,0
2015-07-01,7,2,0,3,44,28,39,13,0
2015-07-02,5,2,1,2,29,27,50,9,0
2015-07-03,6,3,0,2,40,26,51,10,1
2015-07-04,13,0,0,2,38,27,45,4,0
2015-07-05,7,2,1,1,36,14,36,10,1
2015-07-06,7,5,0,1,40,15,52,10,0
2015-07-07,5,9,0,2,36,15,40,8,0
2015-07-08,8,5,0,1,48,19,31,6,1
2015-07-09,3,6,0,3,60,18,39,10,0
2015-07-10,6,3,0,2,58,20,48,3,0
2015-07-11,6,1,0,2,47,19,40,10,0
2015-07-12,13,3,0,4,58,12,40,7,0
2015-07-13,3,1,0,3,40,29,41,8,1
2015-07-14,8,5,0,1,30,17,37,10,0
2015-07-15,7,6,0,4,57,26,40,7,0
2015-07-16,6,1,0,2,41,16,35,6,0
2015-07-17,6,3,0,2,64,20,49,8,0
2015-07-18,5,3,0,1,51,20,46,6,3
2015-07-19,8,1,0,1,40,20,43,4,0
2015-07-20,8,4,0,2,43,21,41,5,0
2015-07-21,8,3,0,4,39,23,42,9,0
2015-07-22,5,3,0,1,48,16,38,7,0
2015-07-23,0,2,1,0,54,27,31,9,0
2015-07-24,10,2,0,3,66,25,47,10,0
2015-07-25,9,1,0,2,55,23,45,12,2
2015-07-26,4,1,0,1,55,18,32,8,0
2015-07-27,2,5,0,1,46,17,36,12,1
2015-07-28,5,1,0,4,41,26,51,13,0
2015-07-29,5,4,0,2,44,20,37,10,0
2015-07-30,11,1,0,2,43,21,38,4,0
2015-07-31,5,1,1,3,60,27,32,16,0
2015-08-01,9,2,0,2,29,26,41,6,1
2015-08-02,5,1,0,4,55,16,35,15,1
2015-08-03,4,2,0,1,45,17,32,10,0
2015-08-04,4,1,0,1,34,20,43,5,0
2015-08-05,9,4,0,1,63,22,57,7,0
2015-08-06,5,2,0,3,46,13,38,12,1
2015-08-07,7,3,0,0,48,20,41,8,1
2015-08-08,6,1,0,1,54,23,53,10,0
2015-08-09,9,1,0,2,33,18,35,14,0
2015-08-10,5,7,0,1,50,16,32,9,0
2015-08-11,5,7,0,1,47,19,49,8,0
2015-08-12,9,2,0,1,57,19,44,8,3
2015-08-13,6,1,1,2,52,32,35,9,0
2015-08-14,6,1,0,2,64,27,35,10,0
2015-08-15,6,0,0,3,67,22,45,6,0
2015-08-16,8,2,1,4,45,11,32,9,0
2015-08-17,4,3,0,1,71,27,39,9,0
2015-08-18,10,5,0,2,41,17,28,7,0
2015-08-19,9,9,0,1,44,30,50,6,0
2015-08-20,7,3,0,1,60,24,38,7,0
2015-08-21,3,2,0,2,52,21,39,9,1
2015-08-22,9,0,1,0,46,19,39,5,0
2015-08-23,5,4,0,1,34,21,31,14,0
2015-08-24,6,5,1,1,47,19,33,9,1
2015-08-25,11,2,0,4,43,12,32,5,0
