date,Offense Count,MISC,ARSON,AGGRAVATED ASSAULT,FRAUD,BURGLARY,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,THEFT,MOTOR VEHICLE THEFT,RAPE
1/7/2015,2,0,0,0,1,0,0,0,1,0,0
1/7/2016,126,12,0,17,10,7,2,0,45,12,1
1/7/2017,122,16,0,25,5,14,5,0,34,15,2
1/7/2018,153,19,0,21,6,13,3,0,55,20,3
1/8/2015,1,0,0,0,0,0,0,0,0,1,0
1/8/2016,165,23,0,28,12,8,6,0,59,11,2
1/8/2017,91,10,2,23,6,5,4,0,28,9,2
1/8/2018,186,13,0,18,16,12,3,1,70,18,4
1/9/2016,147,22,1,17,12,9,2,0,47,13,0
1/9/2017,125,14,0,17,8,10,2,0,46,15,2
1/9/2018,184,21,3,18,19,5,5,0,64,14,1
10/1/2015,194,15,1,16,23,15,8,0,63,12,7
10/1/2016,170,18,2,16,10,12,4,0,59,14,4
10/1/2017,178,15,0,22,14,10,5,0,60,15,2
10/10/2015,170,20,1,25,11,10,3,0,51,10,1
10/10/2016,152,12,0,15,12,9,6,1,62,15,3
10/10/2017,168,11,1,12,12,7,13,0,66,16,2
10/11/2015,137,18,0,22,3,5,4,0,58,10,1
10/11/2016,157,8,2,20,20,15,3,0,53,14,2
10/11/2017,182,13,0,23,16,11,13,0,59,18,0
10/12/2015,155,14,0,14,11,15,4,0,59,10,1
10/12/2016,168,14,0,9,11,16,4,0,68,18,1
10/12/2017,170,21,1,18,12,11,12,0,59,17,1
10/13/2015,154,10,1,13,17,12,4,0,54,14,3
10/13/2016,174,24,0,13,12,14,3,0,63,19,1
10/13/2017,186,20,0,25,11,16,11,0,51,22,3
10/14/2015,162,17,0,26,15,5,5,0,58,9,2
10/14/2016,144,12,0,15,11,6,5,0,54,10,0
10/14/2017,162,13,0,26,15,4,4,0,49,21,6
10/15/2015,168,13,0,15,11,11,6,0,67,16,3
10/15/2016,180,17,2,25,12,10,2,0,56,26,1
10/15/2017,168,19,0,18,11,9,0,0,68,16,2
10/16/2015,174,17,0,23,7,13,8,0,64,13,1
10/16/2016,160,22,0,12,6,9,1,0,58,25,0
