date,Offense Count,MISC,ARSON,AGGRAVATED ASSAULT,FRAUD,BURGLARY,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,THEFT,MOTOR VEHICLE THEFT,RAPE
2/26/2016,208,26,1,19,22,11,8,0,76,14,1
2/26/2017,123,10,1,12,4,6,3,0,52,20,4
2/26/2018,128,11,1,18,7,12,7,0,45,15,0
2/27/2015,2,1,0,0,1,0,0,0,0,0,0
2/27/2016,160,25,0,21,11,4,3,0,62,11,0
2/27/2017,137,18,0,13,10,9,4,1,49,19,1
2/27/2018,171,23,0,20,16,12,8,0,55,15,0
2/28/2015,2,0,0,0,0,0,0,0,1,1,0
2/28/2016,163,26,2,16,6,5,6,1,56,20,1
2/28/2017,219,25,3,28,15,10,10,0,66,15,3
2/28/2018,167,12,1,28,16,9,7,0,50,25,2
2/29/2016,166,19,0,18,19,13,3,0,57,9,0
2/3/2015,1,0,0,0,0,0,0,0,1,0,0
2/3/2016,142,11,1,11,12,5,6,0,63,6,4
2/3/2017,170,18,1,13,9,13,6,0,61,20,1
2/3/2018,168,19,1,22,11,12,8,0,65,8,1
2/4/2015,1,0,0,0,0,0,0,0,1,0,0
2/4/2016,140,16,0,11,12,12,7,0,49,11,2
2/4/2017,146,12,0,15,10,8,2,0,53,21,0
2/4/2018,154,14,0,25,11,7,6,0,59,10,1
2/5/2015,3,0,0,0,2,0,0,0,1,0,0
2/5/2016,171,23,1,14,8,7,6,0,59,14,2
2/5/2017,125,9,1,23,5,8,4,0,44,18,1
2/5/2018,176,20,2,29,18,17,5,0,58,9,2
2/6/2015,3,0,0,0,2,0,0,0,0,0,1
2/6/2016,157,11,0,17,11,3,4,0,67,17,0
2/6/2017,157,8,0,16,19,9,10,0,59,17,1
2/6/2018,173,32,0,21,9,13,5,0,57,14,1
2/7/2015,1,0,0,1,0,0,0,0,0,0,0
2/7/2016,143,16,1,18,9,10,3,0,48,11,1
2/7/2017,149,12,0,16,10,21,2,0,47,18,2
2/7/2018,150,19,0,16,15,10,5,0,53,9,0
2/8/2015,1,0,0,0,0,0,0,0,0,0,1
2/8/2016,159,22,0,18,7,12,3,0,61,19,0
2/8/2017,151,16,0,20,10,14,5,0,50,15,0
2/8/2018,158,26,1,9,14,10,2,0,63,13,1
2/9/2016,148,12,0,14,10,6,6,0,60,10,0
2/9/2017,155,14,1,22,9,15,3,0,47,18,1
2/9/2018,182,20,2,11,18,10,5,0,66,20,3
3/1/2015,24,3,0,3,4,1,0,0,3,2,2
3/1/2016,164,24,0,15,21,8,3,0,49,12,2
3/1/2017,190,17,2,19,18,4,6,0,70,12,2
3/1/2018,180,23,1,24,18,12,10,0,55,12,4
3/10/2015,5,0,0,0,3,0,0,0,0,1,0
3/10/2016,135,14,0,10,11,13,6,0,54,9,1
3/10/2017,160,15,1,23,7,12,5,0,56,17,2
3/10/2018,159,19,2,21,12,5,1,0,57,17,0
3/11/2015,2,0,0,0,1,0,0,0,1,0,0
3/11/2016,173,24,0,15,15,13,3,0,66,12,2
3/11/2017,174,19,0,31,9,6,6,0,61,20,3
3/11/2018,114,13,0,17,7,5,6,0,43,7,1
3/12/2015,7,0,0,0,3,1,0,0,0,0,0
3/12/2016,160,15,0,22,15,7,6,0,52,15,1
3/12/2017,145,15,1,21,5,9,6,0,54,20,1
3/12/2018,155,18,0,20,15,11,2,0,47,12,4
3/13/2015,1,0,0,0,1,0,0,0,0,0,0
3/13/2016,115,17,1,13,9,7,0,0,45,8,1
3/13/2017,175,18,1,19,11,12,6,0,63,15,1
3/13/2018,177,24,3,23,13,17,9,0,49,19,0
3/14/2015,1,0,0,0,0,0,0,0,1,0,0
3/14/2016,145,20,1,11,19,9,7,0,51,12,0
3/14/2017,168,26,0,13,11,14,6,0,54,11,1
3/14/2018,143,21,0,11,10,15,3,0,55,11,2
3/15/2015,5,0,0,0,2,0,0,0,2,0,1
3/15/2016,122,4,0,12,13,7,4,0,52,9,1
3/15/2017,198,26,0,20,17,19,3,0,57,17,3
3/15/2018,189,24,0,18,18,9,7,0,65,16,0
3/16/2015,2,0,0,0,2,0,0,0,0,0,0
3/16/2016,132,12,0,17,12,8,5,0,44,12,1
3/16/2017,179,12,1,16,13,11,8,0,76,17,1
3/16/2018,169,16,1,18,14,11,6,0,62,20,1
3/17/2015,3,0,0,0,1,0,0,0,2,0,0
3/17/2016,147,23,0,21,16,6,8,0,51,7,0
3/17/2017,170,17,2,23,8,9,8,0,63,18,2
3/17/2018,160,22,0,15,10,11,4,0,50,28,0
3/18/2015,4,2,0,0,2,0,0,0,0,0,0
3/18/2016,164,14,0,19,15,7,8,0,69,10,0
3/18/2017,159,27,0,21,8,9,6,0,49,16,4
3/18/2018,144,15,1,18,9,8,4,0,56,18,4
3/19/2015,7,0,0,1,2,0,0,0,2,0,0
3/19/2016,149,23,0,22,11,14,5,0,46,9,1
3/19/2017,123,13,0,12,4,6,3,0,55,15,1
3/19/2018,143,18,0,24,12,10,4,0,44,16,0
3/2/2015,4,0,0,0,2,0,0,0,1,0,0
3/2/2016,143,13,1,10,15,8,6,0,54,8,2
3/2/2017,171,25,2,16,10,10,8,0,64,16,1
3/2/2018,188,19,0,26,15,10,5,0,64,19,2
3/20/2015,4,1,0,0,1,0,0,0,2,0,0
3/20/2016,124,9,0,17,9,8,7,0,46,13,1
3/20/2017,156,13,0,20,14,15,2,0,56,11,1
3/20/2018,154,13,2,18,14,2,3,0,58,19,2
3/21/2015,5,0,0,0,1,0,0,0,4,0,0
3/21/2016,135,13,0,11,12,7,5,0,51,13,2
3/21/2017,194,18,0,17,18,9,3,0,66,18,1
3/21/2018,172,18,0,13,17,8,2,0,61,20,0
3/22/2016,141,13,0,9,16,12,3,0,58,11,0
3/22/2017,165,19,0,17,12,7,5,0,58,21,1
3/22/2018,162,16,0,12,8,14,8,0,59,19,2
3/23/2015,1,0,0,0,0,1,0,0,0,0,0
3/23/2016,173,20,0,23,9,10,5,0,60,16,0
3/23/2017,192,15,0,16,20,14,8,0,68,17,4
3/23/2018,182,14,4,18,15,9,5,0,67,19,1
3/24/2015,1,0,0,0,0,0,0,0,1,0,0
3/24/2016,138,10,0,22,9,10,8,0,54,11,0
3/24/2017,168,18,0,14,11,18,3,0,61,18,5
3/24/2018,147,19,0,13,11,11,4,0,53,17,3
3/25/2015,1,0,0,0,0,0,0,0,0,0,1
3/25/2016,149,17,0,12,13,4,5,0,57,8,0
3/25/2017,175,22,0,26,9,8,3,0,56,14,3
3/25/2018,146,20,0,16,7,12,3,0,55,13,3
3/26/2015,4,0,0,0,1,0,0,0,1,0,1
3/26/2016,166,15,0,29,11,9,3,0,55,9,2
3/26/2017,145,20,0,22,8,5,5,0,47,18,0
3/26/2018,177,15,2,23,21,11,1,0,59,12,0
3/27/2015,4,0,0,0,2,0,0,0,1,0,1
3/27/2016,125,11,0,23,5,11,5,0,46,7,1
3/27/2017,178,16,0,19,15,12,5,1,77,18,1
3/27/2018,162,19,1,17,11,9,8,0,61,21,2
3/28/2015,5,1,0,0,4,0,0,0,0,0,0
3/28/2016,150,14,3,20,19,5,4,0,62,7,1
3/28/2017,154,8,0,14,7,14,4,0,55,16,2
3/28/2018,169,17,1,21,17,9,4,0,52,19,2
3/29/2015,2,1,0,0,0,0,0,0,1,0,0
3/29/2016,151,17,0,26,11,8,5,0,50,7,3
3/29/2017,163,16,1,15,15,11,6,0,57,19,2
3/29/2018,142,18,1,15,12,6,5,0,57,9,1
3/3/2015,4,0,0,0,3,0,0,0,1,0,0
3/3/2016,146,16,0,13,14,5,9,0,55,11,2
3/3/2017,191,20,0,19,10,16,5,0,61,17,2
3/3/2018,154,21,2,19,10,8,6,0,59,12,2
3/30/2016,156,23,1,19,21,14,5,0,44,7,1
3/30/2017,159,19,0,17,12,15,3,0,54,14,1
3/30/2018,158,24,0,17,15,10,8,0,53,13,1
3/31/2015,4,0,0,0,2,0,0,0,2,0,0
3/31/2016,134,19,0,17,13,8,6,0,54,2,1
3/31/2017,163,22,0,19,8,10,10,0,62,11,0
3/31/2018,161,24,1,27,4,6,4,0,56,18,1
3/4/2015,4,0,0,0,2,0,0,0,0,0,1
3/4/2016,166,24,0,21,17,8,6,0,57,11,1
3/4/2017,155,18,1,18,8,7,6,0,59,16,0
3/4/2018,136,12,0,17,9,9,5,0,49,17,2
3/5/2015,3,0,0,0,1,0,0,0,0,1,1
3/5/2016,151,18,0,29,10,9,2,0,49,15,3
3/5/2017,149,13,3,15,5,11,7,0,60,21,0
3/5/2018,160,22,2,21,15,6,7,0,54,18,2
3/6/2015,5,0,0,0,1,1,0,0,1,1,0
3/6/2016,137,13,1,19,15,9,4,0,45,10,0
3/6/2017,154,19,0,23,16,5,4,0,55,22,1
3/6/2018,145,14,1,20,16,7,4,0,45,12,1
3/7/2016,144,20,0,21,18,7,6,0,41,11,1
3/7/2017,163,24,0,21,12,7,8,0,63,14,1
3/7/2018,147,17,0,26,7,8,7,0,52,15,1
3/8/2015,1,0,0,0,1,0,0,0,0,0,0
3/8/2016,149,23,0,17,14,8,3,0,56,10,2
3/8/2017,145,19,2,17,12,6,3,0,51,18,0
3/8/2018,154,18,0,24,11,11,2,0,52,12,1
3/9/2015,2,0,0,1,1,0,0,0,0,0,0
3/9/2016,140,10,0,16,17,6,8,0,52,11,0
3/9/2017,150,14,1,16,14,8,1,0,54,18,0
3/9/2018,165,25,0,21,7,10,4,0,59,16,0
4/1/2015,31,1,0,1,10,1,0,0,7,1,3
4/1/2016,196,16,1,21,23,11,12,0,50,11,4
4/1/2017,191,18,0,22,19,9,6,0,65,18,1
4/1/2018,157,14,1,20,21,18,2,0,41,14,1
4/10/2015,9,1,0,0,3,0,0,0,4,1,0
4/10/2016,126,22,0,18,11,9,8,0,47,1,1
4/10/2017,153,20,5,16,9,9,4,0,44,21,0
4/10/2018,168,26,0,12,17,7,4,0,59,16,0
4/11/2015,4,0,0,1,1,0,0,0,2,0,0
4/11/2016,155,14,1,15,15,11,2,0,58,13,2
4/11/2017,174,19,0,17,14,8,5,1,56,17,0
4/11/2018,148,20,0,27,12,4,4,0,46,15,2
4/12/2015,5,1,0,1,0,0,0,0,2,0,0
4/12/2016,159,18,0,16,13,10,9,0,59,12,1
4/12/2017,177,15,1,15,12,12,4,0,67,17,3
4/12/2018,187,27,1,13,17,10,5,0,69,16,1
4/13/2015,9,2,0,1,2,1,0,0,1,0,0
4/13/2016,178,26,0,12,18,9,5,0,64,13,0
4/13/2017,144,15,1,17,10,12,6,0,45,20,2
4/13/2018,182,18,0,17,14,12,12,0,64,16,0
4/14/2015,8,0,0,1,4,0,0,0,2,0,0
4/14/2016,157,29,0,18,10,14,2,0,54,12,2
4/14/2017,167,12,1,12,16,16,10,0,61,17,1
4/14/2018,193,21,0,22,13,11,4,0,61,22,1
4/15/2015,29,0,0,0,9,0,0,0,7,3,1
4/15/2016,164,11,0,17,19,8,9,0,53,7,1
4/15/2017,141,13,1,15,13,9,3,1,55,12,3
4/15/2018,148,15,0,24,10,7,3,0,63,10,0
4/16/2015,6,0,0,0,3,0,0,0,3,0,0
4/16/2016,149,12,1,14,15,11,7,0,58,8,2
4/16/2017,141,17,0,18,4,12,4,0,51,17,1
4/16/2018,160,12,2,19,16,10,5,0,59,16,2
4/17/2015,9,0,0,1,1,0,0,0,6,0,0
4/17/2016,150,16,0,27,7,12,6,0,52,12,2
4/17/2017,170,23,1,22,17,13,5,0,54,14,2
4/17/2018,176,19,0,16,11,8,7,0,76,16,1
4/18/2015,4,0,0,1,2,0,0,0,0,1,0
4/18/2016,156,17,1,17,19,12,3,0,53,5,1
4/18/2017,155,23,0,13,10,8,2,0,65,9,0
4/18/2018,182,14,0,26,19,8,4,0,75,13,2
4/19/2015,7,1,0,0,1,0,0,0,4,0,1
4/19/2016,130,16,0,21,6,12,4,0,47,10,1
4/19/2017,173,16,2,12,11,17,7,0,55,12,2
4/19/2018,199,29,0,19,22,15,7,0,69,16,1
4/2/2015,2,0,0,0,1,0,0,0,1,0,0
4/2/2016,189,14,0,19,30,4,10,0,62,4,5
4/2/2017,142,20,0,21,7,9,4,0,47,15,1
4/2/2018,155,19,2,15,16,11,5,0,54,10,2
4/20/2015,19,1,0,2,7,0,0,0,4,0,0
4/20/2016,126,13,0,17,6,8,4,0,60,7,0
4/20/2017,174,18,1,23,21,5,7,0,58,15,1
4/20/2018,161,10,1,24,14,6,7,0,56,16,0
4/21/2015,8,0,0,0,4,1,0,0,2,0,0
4/21/2016,133,10,1,17,9,8,6,0,48,10,3
4/21/2017,156,29,2,14,11,12,4,1,50,9,0
4/21/2018,172,19,1,22,9,14,0,0,57,19,3
4/22/2015,9,0,0,3,1,1,0,0,3,1,0
4/22/2016,166,15,0,25,19,11,7,0,56,5,1
4/22/2017,185,20,0,29,10,11,4,0,62,13,5
4/22/2018,137,11,2,23,6,7,2,0,54,16,1
4/23/2015,8,0,0,2,2,1,0,0,2,1,0
4/23/2016,144,14,3,18,11,6,6,0,52,11,2
4/23/2017,163,18,0,16,5,12,3,0,62,17,3
4/23/2018,184,18,1,17,17,13,8,0,56,24,1
4/24/2015,16,1,0,0,4,1,0,0,4,2,3
4/24/2016,143,17,2,21,12,6,4,0,61,7,4
4/24/2017,161,14,0,12,11,8,6,0,69,14,0
4/24/2018,142,16,0,22,14,9,2,0,46,18,0
4/25/2015,7,1,0,2,0,0,0,0,3,0,0
4/25/2016,130,11,0,19,11,9,4,0,46,10,1
4/25/2017,178,22,2,21,17,14,5,0,59,13,0
4/25/2018,199,27,0,34,21,10,4,0,61,18,0
4/26/2015,11,1,0,1,2,1,0,0,4,0,1
4/26/2016,154,12,2,22,13,7,7,0,60,8,0
4/26/2017,183,15,1,11,17,12,4,0,64,18,2
4/26/2018,180,19,1,26,19,13,8,0,50,19,2
4/27/2015,30,2,0,0,4,1,0,0,13,1,2
4/27/2016,128,17,0,8,12,7,4,0,45,9,2
4/27/2017,149,18,0,14,10,9,4,0,61,11,0
4/27/2018,178,28,0,21,15,10,6,0,59,11,2
4/28/2015,26,3,0,1,4,2,0,0,15,0,0
4/28/2016,170,16,2,27,14,3,9,0,69,5,1
4/28/2017,209,34,3,22,22,8,5,0,70,10,2
4/28/2018,147,19,1,14,14,15,6,0,48,15,2
4/29/2015,29,3,0,1,3,3,0,0,14,3,0
4/29/2016,155,9,0,19,19,16,9,0,54,9,1
4/29/2017,169,24,1,20,9,15,3,0,45,21,4
4/29/2018,135,18,0,23,19,7,4,0,34,18,0
4/3/2015,7,2,0,0,2,0,0,0,1,1,0
4/3/2016,162,19,0,20,16,5,6,0,57,11,3
4/3/2017,168,24,0,15,22,9,11,0,48,13,2
4/3/2018,186,21,0,19,16,7,5,0,71,17,1
4/30/2015,65,9,0,1,7,5,0,0,23,5,0
4/30/2016,148,12,0,21,11,14,7,0,47,10,2
4/30/2017,175,21,1,34,8,4,6,0,57,11,4
4/30/2018,189,27,0,11,21,16,8,0,60,18,0
4/4/2015,7,0,0,0,3,0,0,0,2,0,0
4/4/2016,166,15,1,29,23,11,3,0,48,10,0
4/4/2017,160,15,0,22,16,6,10,0,44,23,3
4/4/2018,157,19,1,14,13,10,5,0,60,13,2
4/5/2015,4,0,0,0,1,0,0,0,2,0,0
4/5/2016,136,20,0,13,12,4,2,0,57,5,0
4/5/2017,185,26,2,28,11,6,9,0,63,16,0
4/5/2018,171,19,0,19,16,10,4,0,65,14,2
4/6/2015,11,1,0,0,6,0,0,0,1,0,0
4/6/2016,148,14,0,21,12,9,8,0,56,8,1
4/6/2017,142,13,0,14,13,12,6,0,50,16,1
4/6/2018,170,26,2,19,17,12,7,0,51,10,1
4/7/2015,10,0,0,0,3,0,0,0,5,0,0
4/7/2016,145,15,2,19,10,10,7,0,56,9,0
4/7/2017,169,11,2,22,16,8,8,0,58,12,4
4/7/2018,161,19,0,21,16,6,4,0,51,20,1
4/8/2015,2,0,0,1,1,0,0,0,0,0,0
4/8/2016,160,19,0,20,15,10,3,0,61,12,1
4/8/2017,143,19,0,17,6,12,3,0,51,15,3
4/8/2018,120,13,1,20,13,7,0,0,51,7,1
4/9/2015,2,0,0,0,0,0,0,0,2,0,0
4/9/2016,141,17,0,19,3,10,2,0,54,9,2
4/9/2017,134,9,1,22,9,13,5,0,43,15,5
4/9/2018,181,23,2,13,22,17,6,0,52,21,3
5/1/2015,193,26,0,21,23,13,4,0,52,7,3
5/1/2016,176,17,0,30,19,9,2,0,48,11,3
5/1/2017,214,25,3,26,18,9,2,0,70,16,1
5/1/2018,201,25,0,13,18,12,10,0,72,16,3
5/10/2015,143,24,0,16,8,10,3,0,44,10,1
5/10/2016,136,17,1,24,7,8,5,0,48,13,0
5/10/2017,168,22,1,16,14,8,6,0,57,16,1
5/10/2018,153,15,0,17,11,7,8,1,58,13,1
5/11/2015,148,9,1,22,14,6,6,0,56,12,1
5/11/2016,135,19,2,15,9,6,8,0,52,6,1
5/11/2017,162,13,0,13,4,17,5,0,66,21,2
5/11/2018,161,20,3,26,8,15,6,0,49,12,3
5/12/2015,161,15,0,19,20,7,6,0,52,13,2
5/12/2016,121,10,1,18,6,5,5,0,52,6,1
5/12/2017,159,9,0,25,6,12,1,0,69,12,2
5/12/2018,151,9,0,25,11,20,4,0,53,13,3
5/13/2015,139,10,0,9,14,9,11,0,56,14,0
5/13/2016,151,14,0,21,13,8,11,0,54,9,2
5/13/2017,156,16,0,22,4,13,4,0,55,18,3
5/13/2018,123,12,2,23,9,7,2,0,40,18,0
5/14/2015,147,22,0,18,10,12,10,1,45,10,1
5/14/2016,128,19,0,11,9,13,3,0,42,14,2
5/14/2017,137,16,4,14,5,11,3,0,54,13,1
5/14/2018,135,14,2,16,9,14,1,0,40,18,0
5/15/2015,188,18,0,16,23,13,11,0,61,12,0
5/15/2016,149,21,2,23,11,7,3,0,46,14,3
5/15/2017,179,10,2,25,13,13,5,0,61,16,3
5/15/2018,166,24,1,24,19,7,5,0,48,22,2
5/16/2015,167,19,0,21,9,13,4,0,61,9,5
5/16/2016,136,8,1,22,16,8,4,0,47,12,1
5/16/2017,167,14,2,21,6,8,7,0,50,25,3
5/16/2018,170,47,3,18,7,13,5,0,40,13,4
5/17/2015,159,18,1,16,10,5,5,0,60,13,1
5/17/2016,140,11,0,23,12,6,2,0,59,13,0
5/17/2017,159,15,0,19,9,10,6,0,64,19,3
5/17/2018,154,29,0,11,13,6,6,0,54,13,2
5/18/2015,156,19,0,24,14,13,7,0,44,10,2
5/18/2016,160,17,0,14,16,6,9,0,53,18,0
5/18/2017,159,13,2,21,6,12,4,0,58,18,4
5/18/2018,168,29,2,22,11,20,4,0,42,19,1
5/19/2015,149,26,0,13,15,12,3,0,48,9,1
5/19/2016,148,12,1,20,11,12,5,0,50,15,2
5/19/2017,174,17,1,19,9,7,8,0,68,17,3
5/19/2018,182,32,2,20,10,16,5,0,55,19,0
5/2/2015,176,24,1,20,19,9,4,0,52,9,0
5/2/2016,152,25,0,19,13,9,1,0,57,9,1
5/2/2017,149,19,0,19,11,4,4,0,56,17,3
5/2/2018,171,21,0,21,11,14,0,0,67,16,1
5/20/2015,195,30,0,29,14,11,9,0,57,15,3
5/20/2016,139,13,0,14,13,7,7,1,50,12,3
5/20/2017,165,21,2,17,12,5,5,0,58,18,0
5/20/2018,125,16,1,16,5,12,3,0,49,10,0
5/21/2015,187,23,0,26,15,13,9,0,58,10,2
5/21/2016,160,17,2,21,10,5,5,0,59,15,1
5/21/2017,191,20,0,19,6,20,7,0,62,25,4
5/21/2018,154,19,0,16,8,12,9,1,53,15,1
5/22/2015,161,22,0,16,15,8,5,0,60,10,1
5/22/2016,159,11,1,22,11,8,3,0,58,17,2
5/22/2017,175,20,0,18,9,8,8,0,66,20,1
5/22/2018,163,29,0,25,18,14,3,0,43,11,1
5/23/2015,130,22,0,15,9,5,7,0,43,5,2
5/23/2016,162,10,0,25,18,9,5,0,64,12,2
5/23/2017,178,19,1,22,10,16,6,0,63,18,4
5/23/2018,179,27,2,25,11,10,9,0,65,13,2
5/24/2015,139,16,0,21,7,7,6,0,45,10,3
5/24/2016,141,14,0,21,15,8,6,0,41,14,3
5/24/2017,146,12,1,22,8,7,2,0,54,15,1
5/24/2018,169,17,1,28,11,9,3,0,67,15,0
5/25/2015,140,26,0,17,6,11,2,0,50,12,0
5/25/2016,177,22,2,18,16,7,7,0,66,13,6
5/25/2017,185,17,1,20,13,14,5,0,59,16,2
5/25/2018,173,16,2,26,14,7,2,0,62,10,5
5/26/2015,186,29,2,22,18,13,12,0,53,11,1
5/26/2016,165,14,3,19,11,10,5,0,64,10,1
5/26/2017,202,21,2,22,15,21,2,1,63,20,1
5/26/2018,147,16,1,19,10,11,3,0,55,12,0
5/27/2015,148,22,1,17,8,5,11,0,51,6,2
5/27/2016,182,20,2,19,20,11,11,0,60,9,1
5/27/2017,155,17,1,23,11,10,5,0,44,18,0
5/27/2018,166,11,1,37,9,20,1,0,50,19,3
5/28/2015,145,18,0,17,12,9,5,0,48,11,2
5/28/2016,137,12,0,21,15,8,6,0,46,12,1
5/28/2017,179,22,1,21,8,13,5,0,61,15,4
5/28/2018,156,20,0,19,15,15,4,0,52,13,2
5/29/2015,154,22,1,18,16,10,9,0,45,12,2
5/29/2016,123,14,0,14,14,11,3,0,43,5,2
5/29/2017,180,26,3,25,11,10,2,0,61,16,0
5/29/2018,169,24,0,27,14,14,4,0,53,14,2
5/3/2015,130,11,0,21,13,14,5,0,39,9,3
5/3/2016,128,24,0,16,8,9,5,0,46,7,0
5/3/2017,163,18,1,14,15,17,1,0,58,8,1
5/3/2018,175,28,1,25,13,10,9,0,48,21,1
5/30/2015,163,24,1,22,10,10,5,0,54,7,2
5/30/2016,147,13,0,22,10,10,7,0,56,11,1
5/30/2017,166,22,0,21,10,8,3,0,58,17,2
5/30/2018,146,23,1,16,14,11,4,0,46,13,1
5/31/2015,130,20,1,23,8,6,3,0,42,9,3
5/31/2016,146,23,0,13,11,10,2,0,60,12,1
5/31/2017,185,25,0,23,15,14,5,0,64,12,2
5/31/2018,178,16,0,23,13,9,8,0,58,23,4
5/4/2015,143,15,0,21,18,8,5,0,53,5,0
5/4/2016,129,13,0,15,15,6,7,0,50,7,2
5/4/2017,185,26,4,23,12,11,3,0,67,13,1
5/4/2018,184,14,0,21,21,16,10,0,61,17,2
5/5/2015,150,20,0,15,25,11,6,0,49,5,1
5/5/2016,155,32,0,19,14,10,8,0,53,4,1
5/5/2017,193,23,0,25,12,7,2,0,66,24,3
5/5/2018,163,17,0,27,9,5,4,0,49,20,3
5/6/2015,166,18,1,24,16,11,9,0,48,12,0
5/6/2016,150,23,0,21,16,10,7,0,44,10,2
5/6/2017,155,20,0,19,6,11,4,0,55,21,3
5/6/2018,143,10,0,28,12,9,6,0,52,10,0
5/7/2015,140,16,0,16,11,6,3,0,47,14,1
5/7/2016,153,15,0,29,11,13,5,0,52,8,2
5/7/2017,164,20,0,27,12,9,6,0,53,15,0
5/7/2018,156,13,2,19,11,11,4,0,54,18,0
5/8/2015,150,24,1,15,15,11,4,0,48,12,2
5/8/2016,121,10,0,18,7,11,4,0,47,8,2
5/8/2017,176,20,1,18,12,12,6,1,63,18,1
5/8/2018,160,12,1,28,18,12,9,0,44,19,3
5/9/2015,125,15,0,15,6,8,6,0,48,11,3
5/9/2016,130,11,1,10,13,12,8,0,57,5,3
5/9/2017,161,13,0,23,11,10,7,0,58,16,4
5/9/2018,162,22,3,24,13,13,5,0,61,9,2
6/1/2015,173,13,1,15,21,11,2,0,53,10,8
6/1/2016,176,17,0,17,26,6,10,0,50,11,3
6/1/2017,195,20,0,27,11,14,6,0,71,9,6
6/1/2018,208,21,3,25,18,17,8,0,61,20,1
6/10/2015,174,15,0,31,18,8,5,0,52,8,4
6/10/2016,174,13,0,24,18,12,10,0,56,6,1
6/10/2017,173,24,2,22,5,17,5,0,60,18,1
6/10/2018,153,14,0,15,12,12,4,0,50,13,4
6/11/2015,124,13,1,24,3,2,2,0,52,13,0
6/11/2016,152,18,0,14,12,8,0,0,53,14,3
6/11/2017,165,16,1,32,8,13,6,0,54,16,0
6/11/2018,167,17,0,17,15,11,4,0,59,9,6
6/12/2015,161,15,1,17,14,7,7,0,51,14,1
6/12/2016,135,23,0,17,8,8,5,1,44,11,3
6/12/2017,163,22,2,19,12,14,6,0,57,12,3
6/12/2018,162,13,0,15,15,16,2,0,59,15,3
6/13/2015,154,27,0,23,9,4,5,0,54,9,1
6/13/2016,154,13,0,16,20,11,5,0,60,8,1
6/13/2017,182,21,1,19,10,13,2,0,71,16,2
6/13/2018,169,13,2,24,9,6,9,0,71,18,3
6/14/2015,146,20,0,22,7,5,4,0,59,8,1
6/14/2016,142,17,1,11,13,8,4,0,61,6,0
6/14/2017,163,11,1,25,11,13,5,0,62,15,2
6/14/2018,182,23,0,19,22,8,10,0,63,15,3
6/15/2015,158,17,1,16,13,8,4,0,57,10,1
6/15/2016,164,25,2,17,11,10,10,1,52,14,2
6/15/2017,175,22,1,20,11,15,4,0,62,17,0
6/15/2018,181,22,1,20,8,13,12,0,60,14,0
6/16/2015,135,10,0,14,17,9,6,0,43,13,2
6/16/2016,160,16,0,19,18,6,3,0,64,9,1
6/16/2017,164,17,1,18,11,13,10,0,50,18,3
6/16/2018,159,15,2,29,6,13,0,1,61,14,0
6/17/2015,156,15,1,16,10,11,5,0,58,13,0
6/17/2016,157,20,0,20,15,12,8,0,54,10,2
6/17/2017,198,17,4,25,10,24,4,0,50,16,3
6/17/2018,156,21,0,21,6,11,3,0,58,19,1
6/18/2015,141,19,0,24,9,15,2,0,40,9,1
6/18/2016,147,22,1,19,7,7,3,0,51,9,1
6/18/2017,152,17,1,22,6,16,4,0,53,16,0
6/18/2018,172,20,1,19,8,9,3,0,78,15,1
6/19/2015,138,13,1,22,11,11,4,0,46,11,1
6/19/2016,168,20,0,28,7,13,6,1,56,14,0
6/19/2017,148,17,0,22,7,17,6,0,44,19,1
6/19/2018,147,19,1,9,10,12,4,0,54,14,1
6/2/2015,145,21,1,14,11,10,7,0,53,13,2
6/2/2016,135,16,1,22,15,7,9,0,44,2,2
6/2/2017,172,13,0,21,11,8,5,0,64,12,0
6/2/2018,167,27,1,22,5,9,4,1,60,18,1
6/20/2015,135,18,0,14,9,6,1,0,57,5,0
6/20/2016,142,17,0,23,15,11,1,0,44,5,0
6/20/2017,150,15,0,20,11,12,2,0,54,18,1
6/20/2018,168,17,0,27,16,13,9,0,45,18,1
6/21/2015,162,24,0,28,7,11,3,0,54,9,3
6/21/2016,152,28,0,15,13,14,5,0,45,10,1
6/21/2017,191,28,0,24,9,13,6,0,72,14,1
6/21/2018,171,13,0,25,9,19,3,0,64,15,2
6/22/2015,140,9,0,20,17,12,3,0,50,10,1
6/22/2016,165,21,0,21,19,9,6,0,60,11,0
6/22/2017,140,13,0,14,4,22,3,0,52,13,0
6/22/2018,158,23,0,23,9,12,2,0,59,10,3
6/23/2015,164,22,1,28,15,9,3,0,56,11,0
6/23/2016,161,21,1,16,9,9,3,0,62,13,2
6/23/2017,176,23,0,26,8,10,4,0,63,20,0
6/23/2018,157,17,0,16,7,21,3,0,50,14,3
6/24/2015,150,22,1,22,10,7,2,0,50,11,0
6/24/2016,142,15,2,15,10,7,3,0,57,10,2
6/24/2017,164,27,2,23,2,17,2,0,57,16,2
6/24/2018,164,20,0,18,9,13,4,0,48,18,2
6/25/2015,183,27,0,21,13,14,6,0,70,4,2
6/25/2016,158,20,0,12,17,10,3,0,53,13,3
6/25/2017,166,30,1,28,8,7,4,0,51,17,4
6/25/2018,153,17,1,19,11,11,6,0,53,19,1
6/26/2015,155,18,0,13,10,12,9,0,55,9,1
6/26/2016,139,32,0,26,7,9,3,0,44,4,0
