Date,BURGLARY_Austin,BURGLARY_Chicago,BURGLARY_LA,BURGLARY_Cities,THEFT_Austin,THEFT_Chicago,THEFT_LA,THEFT_Cities,AGGRASSAULT_Austin,AGGRASSAULT_Chicago,AGGRASSAULT_LA,AGGRASSAULT_Cities, RAPE_Austin,RAPE_Chicago,RAPE_LA,RAPE_Cities,MURDER_Austin,MURDER_Chicago,MURDER_LA,MURDER_Cities,MISC_Austin,MISC_Chicago,,,DRUG_Austin,DRUG_Chicago,,,FRAUD_Austin,FRAUD_Chicago
2/16/2016,22,46,75,143,90,81,80,251,5,129,115,249,4,6,9,19,0,3,0,3,0,131,,,0,34,,,0,31
2/17/2016,17,48,80,145,68,79,92,239,7,154,112,273,2,4,4,10,0,1,0,1,1,140,,,0,48,,,0,38
2/18/2016,22,57,78,157,72,95,78,245,8,131,118,257,2,3,4,9,0,1,1,2,0,150,,,0,42,,,0,28
2/19/2016,14,54,96,164,81,101,89,271,6,136,136,278,3,4,8,15,0,0,0,0,0,203,,,0,56,,,0,34
2/20/2016,9,46,83,138,61,73,86,220,3,174,138,315,2,6,8,16,0,3,2,5,1,158,,,0,43,,,0,35
2/21/2016,15,45,66,126,69,76,79,224,9,172,170,351,0,9,8,17,0,2,2,4,0,159,,,0,48,,,0,24
2/22/2016,22,48,80,150,82,71,76,229,7,142,119,268,7,3,9,19,0,3,1,4,1,142,,,0,42,,,0,31
2/23/2016,14,45,90,149,65,92,77,234,5,134,111,250,2,8,4,14,0,0,3,3,1,149,,,0,32,,,0,35
2/24/2016,18,46,80,144,70,75,83,228,6,124,119,249,2,5,6,13,0,3,1,4,0,144,,,0,33,,,0,26
2/25/2016,19,33,83,135,71,83,86,240,7,137,103,247,5,2,7,14,0,0,0,0,1,168,,,0,89,,,0,34
2/26/2016,20,52,93,165,77,89,81,247,2,159,144,305,4,6,7,17,0,1,1,2,0,157,,,0,40,,,0,40
2/27/2016,11,35,76,122,60,84,73,217,3,144,180,327,1,7,15,23,0,1,1,2,0,165,,,0,36,,,0,36
2/28/2016,7,41,45,93,55,74,77,206,8,157,179,344,1,7,8,16,0,0,0,0,0,158,,,0,33,,,0,23
2/29/2016,16,39,76,131,78,89,69,236,8,137,102,247,7,8,10,25,0,0,1,1,1,161,,,0,30,,,0,25
3/1/2016,12,45,89,146,94,79,114,287,9,121,125,255,1,12,20,33,1,2,0,3,8,170,,,0,51,,,0,49
3/2/2016,30,48,95,173,71,85,89,245,7,122,108,237,0,3,4,7,0,3,0,3,0,146,,,0,56,,,0,26
3/3/2016,15,51,93,159,79,72,63,214,4,118,87,209,3,4,5,12,0,0,1,1,1,139,,,0,55,,,0,34
3/4/2016,13,51,88,152,103,79,78,260,4,138,106,248,2,5,9,16,1,2,0,3,0,169,,,0,66,,,0,28
3/5/2016,11,50,78,139,53,93,72,218,6,151,122,279,2,7,14,23,0,0,1,1,2,165,,,0,34,,,0,26
3/6/2016,21,40,71,132,68,81,77,226,10,151,138,299,2,6,7,15,0,0,0,0,0,182,,,0,52,,,0,34
3/7/2016,8,60,66,134,95,83,72,250,10,161,93,264,4,7,7,18,0,1,0,1,1,169,,,0,60,,,0,35
3/8/2016,16,56,85,157,77,90,86,253,12,160,108,280,1,5,7,13,0,1,0,1,0,176,,,0,27,,,0,25
3/9/2016,14,43,75,132,93,76,87,256,1,181,108,290,1,4,8,13,0,3,1,4,0,148,,,0,49,,,0,35
3/10/2016,13,48,74,135,64,89,100,253,8,140,97,245,2,5,11,18,0,2,1,3,0,163,,,0,58,,,1,23
3/11/2016,27,47,96,170,77,96,71,244,1,149,95,245,2,9,8,19,0,3,0,3,0,167,,,0,58,,,0,34
3/12/2016,13,45,72,130,61,88,84,233,8,184,142,334,1,7,10,18,0,1,0,1,0,174,,,0,27,,,0,28
3/13/2016,14,41,65,120,73,81,74,228,12,157,177,346,1,7,8,16,0,1,2,3,0,138,,,0,32,,,0,30
3/14/2016,21,60,75,156,86,90,77,253,7,140,129,276,2,5,6,13,0,1,2,3,0,160,,,0,36,,,0,40
3/15/2016,16,58,89,163,91,88,88,267,7,151,119,277,2,7,8,17,0,4,0,4,0,163,,,0,42,,,0,28
3/16/2016,9,54,98,161,80,86,74,240,10,174,131,315,1,5,4,10,1,1,0,2,1,166,,,0,47,,,0,34
3/17/2016,21,48,87,156,75,96,66,237,3,154,139,296,2,8,10,20,0,1,0,1,0,177,,,0,40,,,0,26
3/18/2016,19,59,80,158,92,93,92,277,11,163,115,289,0,6,6,12,0,3,1,4,0,186,,,0,58,,,0,37
3/19/2016,15,47,77,139,81,83,68,232,7,145,130,282,1,6,4,11,0,0,2,2,0,171,,,0,42,,,0,36
3/20/2016,17,42,76,135,75,77,81,233,11,170,129,310,3,6,6,15,0,2,1,3,0,165,,,0,35,,,0,28
3/21/2016,25,59,57,141,79,74,89,242,6,154,115,275,3,3,6,12,0,1,1,2,0,171,,,0,40,,,0,33
3/22/2016,14,48,81,143,118,90,76,284,3,175,110,288,2,7,2,11,0,2,1,3,0,164,,,0,41,,,0,32
3/23/2016,22,61,79,162,94,98,84,276,4,147,107,258,0,5,5,10,0,3,1,4,0,150,,,0,34,,,0,27
3/24/2016,22,56,106,184,96,79,78,253,6,146,131,283,3,4,9,16,0,0,2,2,1,161,,,0,40,,,0,31
3/25/2016,15,46,115,176,61,101,100,262,2,147,114,263,0,7,8,15,0,0,2,2,0,185,,,0,41,,,0,27
3/26/2016,11,49,84,144,59,86,65,210,5,170,137,312,0,3,13,16,0,1,1,2,0,168,,,0,43,,,0,40
3/27/2016,9,48,73,130,45,74,47,166,11,158,146,315,2,7,8,17,0,0,1,1,0,148,,,0,31,,,0,15
3/28/2016,11,66,77,154,92,88,82,262,7,162,114,283,3,5,6,14,0,0,0,0,0,151,,,0,51,,,0,33
3/29/2016,18,60,93,171,94,90,85,269,3,164,103,270,2,8,7,17,0,1,3,4,1,169,,,0,61,,,0,33
3/30/2016,23,54,71,148,75,88,97,260,5,166,133,304,3,3,5,11,0,3,0,3,0,138,,,0,50,,,0,26
3/31/2016,15,59,59,133,66,98,92,256,3,191,109,303,2,8,6,16,0,3,0,3,1,146,,,0,42,,,0,38
4/1/2016,11,53,112,176,88,87,94,269,4,144,143,291,7,12,18,37,0,1,0,1,4,167,,,0,41,,,0,35
4/2/2016,11,47,53,111,80,91,79,250,8,131,152,291,1,6,9,16,0,0,1,1,0,155,,,0,42,,,0,38
4/3/2016,22,37,79,138,60,87,70,217,18,180,158,356,4,4,7,15,0,1,1,2,0,152,,,0,40,,,0,32
4/4/2016,26,48,83,157,103,83,92,278,8,128,106,242,2,5,16,23,0,1,0,1,1,158,,,0,37,,,1,33
4/5/2016,19,49,71,139,87,81,84,252,4,120,137,261,3,3,11,17,0,1,2,3,1,156,,,0,55,,,0,32
4/6/2016,12,38,84,134,94,92,76,262,11,141,130,282,0,5,10,15,0,3,0,3,0,150,,,0,56,,,0,23
4/7/2016,24,49,93,166,76,88,96,260,3,149,117,269,2,2,9,13,0,2,1,3,1,174,,,0,87,,,1,38
4/8/2016,11,41,111,163,75,89,77,241,4,116,124,244,3,5,10,18,1,2,1,4,0,170,,,0,37,,,0,33
4/9/2016,13,32,73,118,76,97,69,242,9,136,123,268,3,11,7,21,0,2,2,4,1,172,,,0,44,,,0,42
4/10/2016,17,45,62,124,75,82,73,230,9,155,170,334,4,8,13,25,0,2,1,3,1,175,,,0,38,,,0,35
4/11/2016,22,60,77,159,124,95,85,304,7,139,137,283,2,5,8,15,0,2,0,2,0,158,,,0,33,,,0,37
4/12/2016,21,54,81,156,87,98,89,274,5,142,132,279,1,4,14,19,0,0,2,2,2,154,,,0,55,,,0,41
4/13/2016,16,53,80,149,85,78,77,240,4,166,111,281,1,3,11,15,0,1,3,4,0,167,,,0,46,,,0,40
4/14/2016,18,48,109,175,82,92,80,254,7,138,111,256,3,5,6,14,0,0,1,1,2,157,,,0,49,,,0,32
4/15/2016,17,47,104,168,92,115,119,326,6,147,160,313,1,5,8,14,0,3,0,3,0,178,,,0,71,,,1,38
4/16/2016,19,53,86,158,66,83,94,243,9,184,170,363,4,3,11,18,0,1,0,1,0,170,,,0,37,,,0,20
4/17/2016,10,47,71,128,66,82,78,226,11,175,174,360,5,5,11,21,0,1,0,1,0,178,,,0,36,,,0,25
