CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
928266246,24,MANHATTAN,9/15/2016,10:00:00,2/1/2018,11:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO MAN NORTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2/1/2018,,UNKNOWN,UNKNOWN,M,,25-44,WHITE,F,992848,228356,40.7934646,-73.96894964,"(40.793464597, -73.968949638)"
408453572,111,QUEENS,9/16/2016,0:00:00,11/17/2017,0:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS NORTH,428,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE",RESIDENCE-HOUSE,1/25/2018,,25-44,ASIAN/PAC.ISL,M,,UNKNOWN,UNKNOWN,D,1054588,206704,40.73375994,-73.7462019,"(40.733759939, -73.746201899)"
907777317,94,BROOKLYN,9/18/2016,16:00:00,9/18/2016,16:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,351,MISDEMEANOR,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN NORTH,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,2/18/2018,,,,,,UNKNOWN,UNKNOWN,E,995259,199935,40.7154535,-73.9602888,"(40.715453498, -73.960288802)"
653882674,110,QUEENS,9/20/2016,8:30:00,5/23/2018,13:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS NORTH,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE-HOUSE,5/31/2018,,,,,,65+,WHITE HISPANIC,M,1018531,209452,40.74151576,-73.87629156,"(40.741515756, -73.876291564)"
151157641,6,MANHATTAN,9/20/2016,9:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN SOUTH,101,ASSAULT 3,RESIDENCE - APT. HOUSE,2/16/2018,,25-44,WHITE,M,,25-44,ASIAN/PAC.ISL,F,985324,204347,40.72757016,-73.99612651,"(40.727570158, -73.996126514)"
663680862,45,BRONX,9/26/2016,0:00:00,8/31/2017,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,6/20/2018,,25-44,BLACK,F,,UNKNOWN,UNKNOWN,F,1033560,253987,40.86368084,-73.82172946,"(40.863680843, -73.821729455)"
627236381,70,BROOKLYN,9/26/2016,12:00:00,8/18/2017,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",DOCTOR/DENTIST OFFICE,5/20/2018,,,,,,45-64,WHITE,M,995386,173939,40.64410021,-73.95987363,"(40.64410021, -73.95987363)"
750723444,44,BRONX,9/26/2016,0:01:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BRONX,739,"FRAUD,UNCLASSIFIED-FELONY",MAILBOX OUTSIDE,4/26/2018,,,,,,45-64,BLACK HISPANIC,F,1009424,246694,40.84376556,-73.90901639,"(40.843765558, -73.909016391)"
812586654,68,BROOKLYN,9/27/2016,15:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO BKLYN SOUTH,703,"CHECK,BAD",SMALL MERCHANT,4/25/2018,,UNKNOWN,UNKNOWN,U,,18-24,ASIAN/PAC.ISL,M,975994,164475,40.61812668,-74.02973979,"(40.618126678, -74.029739794)"
420940055,105,QUEENS,9/27/2016,10:00:00,9/27/2016,11:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO QUEENS SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,4/25/2018,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,M,1058221,196114,40.70466343,-73.73320946,"(40.704663429, -73.733209457)"
547028036,79,BROOKLYN,9/27/2016,0:01:00,11/26/2017,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BKLYN NORTH,168,SODOMY 1,RESIDENCE - APT. HOUSE,1/1/2018,,UNKNOWN,UNKNOWN,M,,18-24,BLACK,M,999634,190253,40.68887215,-73.94452903,"(40.688872153, -73.944529032)"
693589310,121,STATEN ISLAND,9/30/2016,9:00:00,9/30/2016,15:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO STATEN ISLAND,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",BANK,3/8/2018,,,,,,25-44,BLACK,F,944656,166933,40.62478874,-74.14263448,"(40.62478874, -74.142634482)"
448734036,70,BROOKLYN,10/1/2016,9:00:00,10/1/2016,9:10:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,6/20/2018,,,,,,25-44,BLACK,F,997066,162331,40.61223642,-73.95384191,"(40.612236421, -73.953841906)"
104323894,109,QUEENS,10/1/2016,16:00:00,11/30/2016,23:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO QUEENS NORTH,596,OBSCENE MATERIAL - UNDER 17 YE,RESIDENCE-HOUSE,6/1/2018,,45-64,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1032198,217060,40.76233422,-73.82691731,"(40.762334218, -73.826917308)"
741644994,109,QUEENS,10/1/2016,16:00:00,11/30/2016,23:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO QUEENS NORTH,596,OBSCENE MATERIAL - UNDER 17 YE,RESIDENCE-HOUSE,6/1/2018,,45-64,WHITE HISPANIC,M,,18-24,WHITE HISPANIC,F,1032198,217060,40.76233422,-73.82691731,"(40.762334218, -73.826917308)"
951151453,20,MANHATTAN,10/1/2016,10:00:00,4/12/2018,10:15:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO MAN NORTH,637,"HARASSMENT,SUBD 1,CIVILIAN",GYM/FITNESS FACILITY,4/13/2018,,UNKNOWN,WHITE HISPANIC,M,,25-44,BLACK HISPANIC,M,987358,221232,40.77391474,-73.98878015,"(40.773914744, -73.988780154)"
