date,MISC,LARCENY-THEFT,DRUG OFFENSE,AGGRAVATED ASSAULT,FRAUD,RAPE,ATTEMPT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MOTOR VEHICLE THEFT,BURGLARY,ARSON
1/1/2015,1,4,0,0,5,16,0,0,0,0,0
1/2/2015,1,2,0,0,0,0,0,0,0,0,0
1/5/2015,1,0,0,1,0,1,0,0,0,0,0
1/7/2015,1,0,0,0,0,0,0,0,0,0,0
1/8/2015,0,1,0,0,0,0,0,0,0,0,0
1/9/2015,0,0,0,1,0,0,0,0,0,0,0
1/13/2015,0,1,0,0,0,0,0,0,0,0,0
1/16/2015,0,0,0,0,0,1,1,0,0,0,0
1/20/2015,0,1,0,0,0,0,0,0,0,0,0
1/23/2015,0,0,0,0,0,1,0,0,0,0,0
1/28/2015,1,0,0,0,0,0,0,0,0,0,0
1/30/2015,1,0,0,0,0,0,0,0,0,0,0
2/1/2015,0,1,0,0,0,0,0,0,0,0,0
2/6/2015,0,1,1,0,0,1,0,0,0,0,0
2/10/2015,0,0,0,0,0,1,0,0,0,0,0
2/13/2015,0,1,0,0,0,0,0,0,0,0,0
2/14/2015,0,1,0,0,0,0,0,0,0,0,0
2/15/2015,1,0,0,0,0,1,0,0,0,0,0
2/19/2015,0,2,0,0,0,0,0,0,0,0,0
2/20/2015,0,1,0,0,0,0,0,0,0,0,0
2/23/2015,0,0,0,0,0,0,1,0,0,0,0
2/25/2015,0,1,0,0,0,0,0,0,0,0,0
2/26/2015,0,1,0,0,0,0,0,0,0,0,0
2/28/2015,0,1,0,0,0,0,0,0,0,0,0
3/1/2015,0,2,0,0,0,2,0,0,0,0,0
3/6/2015,1,0,0,0,0,1,0,0,0,0,0
3/8/2015,1,0,0,1,0,0,0,0,0,0,0
3/11/2015,0,1,0,0,0,0,0,0,0,0,0
3/12/2015,0,1,0,0,0,0,0,0,0,0,0
3/13/2015,0,2,0,0,0,0,0,0,0,0,0
3/14/2015,0,1,0,0,0,1,0,0,0,0,0
3/15/2015,0,1,0,0,0,0,0,0,0,0,0
3/18/2015,1,0,0,0,0,0,0,0,0,0,0
3/23/2015,0,2,0,0,0,0,0,0,0,0,0
3/24/2015,1,0,0,0,0,1,0,0,0,0,0
3/26/2015,0,0,0,0,0,0,1,0,0,0,0
3/27/2015,2,0,0,0,0,0,0,0,0,0,0
3/28/2015,0,0,1,0,0,0,0,0,0,0,0
3/30/2015,0,1,0,0,0,0,0,0,0,0,0
3/31/2015,0,1,0,0,0,0,0,0,0,0,0
4/1/2015,1,5,0,0,0,0,0,0,0,0,0
