Crime Date,BURGLARY,THEFT,AGGRAVATED ASSAULT, RAPE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC,DRUG OFFENSE,FRAUD, MOTOR VEHICLE THEFT,ARSON
1/7/2017,36,34,27,1,0,84,58,3,1,0
1/7/2018,54,42,39,0,0,91,54,0,1,1
1/8/2015,11,76,2,1,0,0,0,0,0,0
1/8/2016,27,75,4,1,0,0,0,0,0,0
1/8/2017,37,42,34,1,0,81,63,0,1,0
1/8/2018,31,51,31,3,0,67,66,5,1,1
1/9/2015,14,79,3,1,0,1,0,0,0,0
1/9/2016,14,60,5,3,0,0,0,0,0,0
1/9/2017,44,55,29,2,0,97,53,4,1,0
1/9/2018,55,49,30,0,0,81,60,5,1,1
10/1/2015,13,71,10,1,0,3,0,0,0,0
10/1/2016,12,96,9,3,0,22,0,2,0,0
10/1/2017,42,60,46,3,0,107,72,3,0,0
10/1/2018,47,61,45,2,0,72,44,7,1,0
10/10/2015,13,66,3,4,0,1,0,0,0,0
10/10/2016,15,111,3,1,0,6,0,0,0,0
10/10/2017,29,49,40,2,0,86,70,2,0,0
10/10/2018,42,49,30,3,0,76,47,8,1,0
10/11/2015,9,73,5,0,0,1,0,0,0,0
10/11/2016,11,105,3,3,0,0,0,1,0,0
10/11/2017,32,52,32,4,0,89,69,5,0,0
10/11/2018,40,51,25,1,0,88,45,7,2,0
10/12/2015,14,114,3,0,0,0,0,0,0,0
10/12/2016,17,93,5,1,0,2,0,1,0,0
10/12/2017,29,40,33,2,0,107,58,4,0,0
10/12/2018,48,61,29,2,0,80,60,6,2,0
10/13/2015,19,90,4,0,0,0,0,0,0,0
10/13/2016,20,81,10,2,0,1,0,0,0,0
10/13/2017,43,66,41,1,0,107,80,2,0,1
10/13/2018,41,87,40,0,0,77,60,3,0,0
10/14/2015,12,84,4,3,0,0,0,0,0,0
10/14/2016,22,73,5,4,0,3,0,0,0,0
10/14/2017,25,70,56,4,0,91,66,2,2,0
10/14/2018,54,80,43,1,0,78,60,1,0,0
10/15/2015,18,80,6,1,0,2,0,0,0,0
10/15/2016,13,54,8,1,1,2,0,1,0,0
10/15/2017,28,62,56,3,0,91,74,4,0,0
10/15/2018,35,35,33,0,0,62,48,4,0,0
10/16/2015,10,69,1,2,0,0,0,0,0,0
10/16/2016,19,54,9,3,0,1,0,0,0,0
10/16/2017,28,48,36,1,0,111,42,7,1,0
10/16/2018,58,43,29,0,0,73,48,2,0,0
10/17/2015,9,45,4,0,0,0,0,0,0,0
10/17/2016,19,81,5,3,0,1,0,0,0,0
10/17/2017,41,52,35,2,0,91,49,6,0,0
10/17/2018,68,40,32,1,0,73,37,1,0,0
10/18/2015,7,72,8,1,0,0,0,0,0,0
10/18/2016,13,88,3,3,1,3,0,2,0,0
10/18/2017,36,52,44,0,0,107,43,2,1,1
10/18/2018,57,32,28,1,0,79,53,2,1,0
10/19/2015,22,102,3,1,0,0,0,0,0,0
10/19/2016,19,80,4,1,0,2,0,0,0,0
10/19/2017,34,47,33,0,0,102,53,1,2,1
10/19/2018,35,20,15,0,0,69,20,2,0,0
10/2/2015,15,98,3,2,0,0,0,0,0,0
10/2/2016,17,79,6,4,0,2,0,0,0,0
10/2/2017,41,58,52,2,0,94,61,5,2,0
10/2/2018,42,46,37,2,0,86,52,7,1,0
10/20/2015,12,83,3,0,0,0,0,0,0,0
10/20/2016,17,74,3,6,0,0,0,1,0,0
10/20/2017,49,61,38,2,0,81,58,11,1,0
10/20/2018,9,8,1,0,0,7,2,0,0,0
10/21/2015,11,95,2,2,0,0,0,0,0,0
10/21/2016,19,70,4,3,0,3,0,0,0,0
10/21/2017,34,53,49,3,0,97,71,5,1,0
10/22/2015,12,74,6,3,0,0,0,1,0,0
10/22/2016,10,73,15,1,0,2,0,1,0,0
10/22/2017,37,44,43,1,0,92,68,0,0,0
10/23/2015,18,104,3,1,0,1,0,0,0,0
10/23/2016,14,75,7,4,0,0,0,1,0,0
10/23/2017,34,47,45,2,0,100,59,2,0,0
10/24/2015,5,46,5,0,0,0,0,0,0,0
10/24/2016,24,86,5,3,0,0,0,2,0,0
10/24/2017,31,52,40,0,0,84,42,7,0,0
10/25/2015,8,64,3,1,0,0,0,0,0,0
10/25/2016,18,91,3,4,0,3,0,0,0,0
10/25/2017,48,44,45,2,0,88,55,6,0,1
10/26/2015,23,93,4,1,0,0,0,0,0,0
10/26/2016,21,83,5,3,0,1,0,1,0,0
10/26/2017,43,51,29,2,0,78,60,9,1,0
10/27/2015,14,83,7,1,0,0,0,0,0,0
10/27/2016,10,78,4,4,0,2,0,1,0,0
10/27/2017,51,57,32,0,0,102,52,4,1,0
10/28/2015,17,93,5,0,0,0,0,0,0,0
10/28/2016,25,88,6,4,0,2,0,0,0,0
10/28/2017,39,49,40,0,0,81,68,1,0,1
10/29/2015,16,70,6,0,0,0,0,0,0,0
10/29/2016,20,52,11,3,0,1,0,0,0,0
10/29/2017,43,47,40,0,1,71,60,2,1,0
10/3/2015,12,58,8,0,0,0,0,0,0,0
10/3/2016,26,110,4,2,0,1,0,1,0,0
10/3/2017,44,43,32,0,0,100,42,10,0,0
