date,LARCENY-THEFT,AGGRAVATED ASSAULT,BURGLARY,MOTOR VEHICLE THEFT,FRAUD,DRUG OFFENSE,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC
5/4/2015,34,7,9,5,8,0,0,0,0
5/5/2015,30,8,9,5,6,4,0,0,0
5/6/2015,44,5,14,4,1,8,0,0,0
5/7/2015,32,8,3,2,8,6,0,0,0
5/8/2015,29,3,8,2,1,8,0,0,0
5/9/2015,23,5,8,3,2,7,0,0,0
5/10/2015,37,7,9,1,1,4,1,0,0
5/11/2015,37,8,9,4,5,6,0,0,0
5/12/2015,43,2,8,1,8,11,0,0,0
5/13/2015,27,9,11,4,7,11,1,0,0
5/14/2015,25,8,5,1,4,12,0,0,0
5/15/2015,40,8,7,2,4,10,0,0,0
5/16/2015,30,15,5,3,2,3,0,0,0
5/17/2015,29,10,3,2,1,5,0,0,0
5/18/2015,38,6,12,1,8,11,0,0,0
5/19/2015,30,8,15,3,5,8,0,0,0
5/20/2015,36,9,7,2,5,5,0,0,1
5/21/2015,24,5,11,4,3,5,0,0,0
5/22/2015,36,11,9,6,3,3,0,0,0
5/23/2015,33,15,8,0,2,4,0,0,0
5/24/2015,32,12,4,1,3,6,0,0,0
5/25/2015,37,8,11,3,5,3,0,0,1
5/26/2015,43,8,7,1,4,5,0,0,0
5/27/2015,30,9,11,3,9,10,0,0,0
5/28/2015,35,9,8,4,4,10,0,0,1
5/29/2015,21,7,5,1,3,6,0,0,0
5/30/2015,23,9,5,1,1,3,0,0,0
5/31/2015,17,7,2,4,3,2,0,0,0
6/1/2015,39,8,9,1,2,3,1,0,0
6/2/2015,47,3,16,1,13,6,0,0,0
6/3/2015,37,15,13,8,6,3,1,0,0
6/4/2015,25,8,8,2,5,10,0,0,0
6/5/2015,35,6,7,3,2,5,0,0,0
6/6/2015,34,16,6,1,2,5,0,0,0
6/7/2015,27,11,5,3,1,2,1,0,0
6/8/2015,46,7,8,4,6,3,0,1,0
6/9/2015,33,8,9,0,7,4,0,0,0
6/10/2015,32,2,7,10,12,6,0,0,0
6/11/2015,40,6,11,3,5,7,1,0,0
6/12/2015,34,5,6,1,8,7,0,0,0
6/13/2015,28,11,5,2,0,4,0,0,0
6/14/2015,26,8,3,1,0,3,0,0,0
6/15/2015,55,11,9,3,10,4,0,0,0
6/16/2015,31,3,16,4,5,3,0,0,0
6/17/2015,28,5,3,4,4,6,0,0,0
6/18/2015,42,6,17,3,5,11,0,0,0
6/19/2015,37,5,12,4,7,5,0,0,0
6/20/2015,27,8,7,2,3,6,0,0,0
6/21/2015,26,8,5,6,0,3,0,0,0
6/22/2015,27,6,7,4,3,5,0,0,1
6/23/2015,40,4,12,2,5,6,0,0,0
6/24/2015,33,7,11,4,4,4,0,0,0
6/25/2015,24,3,5,5,6,8,0,0,0
6/26/2015,41,7,5,1,5,10,0,0,0
6/27/2015,26,5,8,1,2,4,0,0,0
6/28/2015,36,6,9,4,1,3,0,0,0
6/29/2015,56,7,11,4,7,5,1,0,0
6/30/2015,30,5,11,9,6,5,0,0,0
7/1/2015,37,3,5,1,5,6,0,0,0
7/2/2015,26,5,11,3,3,4,0,0,0
7/3/2015,32,10,8,1,5,8,0,0,0
7/4/2015,30,10,4,4,2,5,0,0,0
7/5/2015,32,15,5,3,1,1,0,0,0
7/6/2015,36,10,13,0,8,2,0,0,0
7/7/2015,48,5,10,3,9,6,0,0,0
7/8/2015,46,3,5,2,6,8,0,0,0
7/9/2015,38,4,8,4,3,6,0,0,1
7/10/2015,39,9,8,4,6,6,0,0,0
7/11/2015,29,13,9,2,1,2,0,0,0
7/12/2015,23,10,8,1,0,2,0,0,0
7/13/2015,36,10,9,4,6,3,0,0,0
7/14/2015,36,1,9,6,4,5,0,0,0
7/15/2015,34,12,7,1,5,4,0,0,0
7/16/2015,25,13,9,3,9,3,0,1,0
7/17/2015,35,5,6,6,4,6,0,1,0
7/18/2015,36,4,5,3,2,1,0,0,0
7/19/2015,30,7,11,3,2,4,0,1,0
7/20/2015,35,9,17,6,5,5,0,0,0
7/21/2015,40,8,9,6,5,9,0,0,0
7/22/2015,35,11,9,1,3,5,0,0,0
7/23/2015,35,6,11,5,8,5,0,0,0
7/24/2015,47,8,9,4,5,8,0,0,0
7/25/2015,31,6,15,0,4,3,0,0,0
7/26/2015,28,8,8,2,1,1,0,0,0
7/27/2015,38,5,18,6,10,4,0,0,0
7/28/2015,37,7,9,2,6,7,0,0,3
7/29/2015,41,10,11,2,5,1,0,0,0
7/30/2015,27,6,7,9,6,4,0,0,0
7/31/2015,39,6,7,3,8,5,0,2,0
8/1/2015,17,5,10,4,0,4,0,0,0
8/2/2015,27,9,7,2,3,2,0,0,0
8/3/2015,33,4,17,4,8,4,0,0,0
8/4/2015,29,7,10,3,7,9,0,0,0
8/5/2015,41,7,4,7,12,10,0,0,0
8/6/2015,42,8,7,3,2,5,0,0,0
8/7/2015,45,5,8,5,0,7,0,0,0
8/8/2015,22,14,2,1,2,6,0,0,0
8/9/2015,33,10,7,1,2,4,0,0,0
8/10/2015,36,7,11,7,8,11,0,0,0
8/11/2015,36,9,8,8,7,8,0,0,0
8/12/2015,35,6,7,3,3,5,0,0,0
8/13/2015,30,7,8,5,3,4,0,0,0
8/14/2015,26,5,10,2,10,5,0,1,0
8/15/2015,25,6,8,1,1,3,0,0,0
8/16/2015,35,6,6,2,3,5,0,0,0
8/17/2015,40,5,17,4,3,0,0,0,0
8/18/2015,44,6,8,3,3,4,0,0,0
8/19/2015,39,5,6,7,6,4,0,0,0
8/20/2015,34,12,5,4,5,4,1,0,0
8/21/2015,23,6,8,4,7,5,0,0,0
8/22/2015,27,9,4,1,1,0,0,0,0
8/23/2015,21,10,8,2,1,5,0,0,0
8/24/2015,35,3,6,2,4,3,0,0,0
8/25/2015,30,6,4,2,10,6,0,0,0
8/26/2015,30,7,2,3,4,3,0,0,0
8/27/2015,29,9,7,3,4,4,0,1,0
8/28/2015,22,7,11,2,3,7,1,0,0
8/29/2015,22,6,8,7,0,6,0,0,0
8/30/2015,22,10,7,6,0,5,0,0,0
8/31/2015,22,8,15,3,9,1,0,0,0
9/1/2015,27,4,5,1,6,9,0,0,1
9/2/2015,15,3,4,8,7,6,0,0,0
9/3/2015,34,4,10,4,4,13,0,0,0
9/4/2015,25,11,9,4,6,11,0,0,0
9/5/2015,24,9,5,0,1,7,0,1,0
9/6/2015,20,8,5,4,0,4,0,0,0
9/7/2015,30,12,5,4,0,3,0,0,0
9/8/2015,40,4,6,1,9,9,0,0,0
9/9/2015,28,7,11,3,6,10,0,0,0
9/10/2015,39,6,8,4,8,12,0,0,0
9/11/2015,18,4,9,5,6,10,0,1,0
9/12/2015,24,13,5,1,1,8,0,0,0
9/13/2015,18,4,9,2,0,5,0,0,0
9/14/2015,41,10,13,5,6,6,0,0,0
9/15/2015,37,10,6,2,0,7,0,0,0
9/16/2015,22,6,10,5,7,6,1,0,0
9/17/2015,32,6,5,2,6,17,0,0,0
9/18/2015,34,6,8,4,4,6,0,1,0
9/19/2015,18,7,5,2,1,7,0,0,0
9/20/2015,36,10,4,2,2,3,0,0,0
9/21/2015,38,4,10,3,6,2,0,0,0
9/22/2015,30,7,7,2,8,6,0,0,0
9/23/2015,18,10,6,3,6,4,0,0,0
9/24/2015,28,10,3,7,2,5,0,0,0
9/25/2015,28,8,4,1,3,4,0,0,0
9/26/2015,23,7,6,3,1,7,0,1,0
9/27/2015,25,6,7,6,2,4,0,0,0
9/28/2015,46,10,12,6,3,3,0,0,0
9/29/2015,27,5,15,4,6,6,0,0,0
9/30/2015,30,2,8,1,9,14,0,0,0
10/1/2015,20,12,8,3,5,8,0,0,0
10/2/2015,25,8,8,2,5,14,2,0,0
10/3/2015,23,9,5,4,3,4,0,0,0
10/4/2015,23,12,4,3,2,1,0,0,0
10/5/2015,44,5,10,6,11,2,0,0,0
10/6/2015,20,11,12,3,5,15,0,0,0
10/7/2015,25,3,8,3,4,6,0,0,0
10/8/2015,27,7,9,1,12,3,0,0,0
10/9/2015,29,6,7,3,7,4,0,0,0
