date,Count,AGGRIVATED ASSAULT,BURGLARY,RAPE,THEFT,FRAUD,MISC,MOTOR VEHICLE THEFT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ATTEMPT,ARSON,DRUG OFFENSE,OBSCENITY,CONCEALED CARRY LICENSE VIOLATION
1/30/2016,742,162,39,5,94,36,149,30,3,6,1,36,0,0
1/30/2017,754,145,73,5,91,46,149,31,2,4,3,24,0,0
1/30/2018,628,128,43,1,87,25,136,29,1,3,3,29,0,0
1/31/2016,664,164,55,5,85,25,131,29,1,2,2,23,1,0
1/31/2017,729,126,83,7,108,35,158,29,1,3,0,36,0,0
1/31/2018,696,133,49,3,114,35,140,25,3,6,0,40,0,0
2/1/2016,837,141,80,10,94,43,143,25,2,1,0,44,0,0
2/1/2017,823,141,77,15,98,48,163,34,1,5,1,36,2,0
2/1/2018,698,130,39,6,93,35,139,21,0,2,0,34,1,0
2/2/2016,611,118,49,10,71,37,112,21,2,3,3,37,1,0
2/2/2017,669,123,64,4,98,41,125,31,0,3,1,30,0,0
2/2/2018,670,121,52,4,96,48,111,25,2,2,3,49,1,0
2/3/2016,678,130,56,3,84,35,141,24,2,2,2,41,0,0
2/3/2017,667,112,60,5,93,33,130,29,2,2,2,51,0,0
2/3/2018,626,132,47,6,82,39,141,25,4,6,2,38,0,0
2/4/2016,669,140,49,5,77,31,139,21,4,2,1,53,0,0
2/4/2017,637,138,47,9,92,27,118,36,1,3,1,37,0,1
2/4/2018,508,141,35,9,78,19,112,14,1,2,0,16,0,0
2/5/2016,659,124,54,7,89,29,131,20,0,2,2,46,0,0
2/5/2017,692,137,54,9,85,29,128,32,1,3,1,23,0,0
2/5/2018,535,122,47,6,70,24,110,22,1,1,0,21,0,0
2/6/2016,695,149,53,8,83,51,132,22,1,3,2,40,0,0
2/6/2017,760,148,72,4,95,36,134,31,1,3,1,26,1,0
2/6/2018,589,125,37,7,92,35,113,27,2,3,1,38,1,1
2/7/2016,615,134,35,6,88,18,144,27,1,1,1,27,0,0
2/7/2017,689,148,64,9,95,40,131,32,0,2,0,23,0,0
2/7/2018,542,111,44,7,79,31,113,17,1,5,1,34,0,0
2/8/2016,568,116,45,7,81,26,123,23,1,5,0,29,0,0
2/8/2017,664,131,57,6,85,36,133,18,1,1,1,31,0,0
2/8/2018,555,122,42,7,85,39,103,20,1,0,1,40,0,0
2/9/2016,545,122,33,4,81,29,100,18,0,1,1,34,0,1
2/9/2017,668,125,55,8,90,36,132,26,2,3,3,37,0,0
2/9/2018,503,119,35,2,75,36,99,26,1,4,2,17,0,0
2/10/2016,565,119,36,3,69,37,127,21,3,1,1,41,0,0
2/10/2017,743,151,54,5,82,39,150,32,0,4,2,43,0,0
2/10/2018,529,131,43,4,72,28,100,18,2,4,0,29,0,1
2/11/2016,581,122,46,4,88,28,116,25,1,1,1,41,0,1
2/11/2017,704,123,70,10,100,29,146,21,4,6,1,26,0,0
2/11/2018,535,140,42,8,65,38,113,15,2,2,0,27,1,0
2/12/2016,643,109,42,8,95,37,117,24,0,1,1,68,0,0
2/12/2017,677,163,55,4,81,30,137,20,2,4,1,29,0,0
2/12/2018,569,116,31,5,84,30,121,15,2,4,0,49,0,0
2/13/2016,596,125,38,3,72,27,109,30,3,2,0,47,0,0
2/13/2017,716,140,59,6,104,33,152,34,0,5,1,26,0,0
2/13/2018,637,147,55,3,89,35,112,21,1,3,0,38,1,1
2/14/2016,513,132,44,6,63,18,108,23,3,1,0,28,0,0
2/14/2017,711,152,56,4,96,30,139,25,6,8,2,24,0,0
2/14/2018,658,150,48,5,94,31,142,16,0,1,0,41,0,1
2/15/2016,551,124,44,4,71,30,97,23,0,2,2,50,0,0
2/15/2017,670,139,60,5,81,35,134,16,6,3,3,38,0,0
2/15/2018,688,169,51,8,90,36,123,18,0,1,0,48,0,0
2/16/2016,624,129,46,6,81,31,104,27,3,1,0,34,0,0
2/16/2017,670,129,51,5,107,28,135,30,2,4,1,34,0,1
2/16/2018,658,155,53,6,97,36,124,19,2,2,0,24,1,0
2/17/2016,639,154,48,4,79,38,118,22,1,0,0,48,0,0
2/17/2017,826,150,69,6,102,47,167,26,1,4,1,37,0,1
2/17/2018,603,135,40,2,87,29,119,22,1,5,1,11,1,0
2/18/2016,678,131,57,3,95,28,127,23,1,5,0,42,1,0
2/18/2017,745,167,49,10,104,34,169,25,3,3,4,29,0,0
2/18/2018,582,156,39,11,74,20,126,22,2,8,0,19,0,1
2/19/2016,772,136,54,4,101,34,171,29,0,1,3,56,0,0
2/19/2017,673,157,45,11,99,25,135,19,0,3,0,29,0,0
2/19/2018,622,144,49,2,92,22,127,20,4,6,0,26,0,0
2/20/2016,700,174,46,6,73,35,135,21,3,0,2,43,0,0
2/20/2017,710,153,44,5,89,30,161,25,2,6,2,30,0,0
2/20/2018,637,134,43,11,80,40,133,16,1,7,0,32,0,0
2/21/2016,706,172,45,9,76,24,142,16,2,2,1,48,1,0
2/21/2017,675,144,46,6,91,31,149,21,2,4,0,28,1,0
2/21/2018,631,142,41,4,96,39,121,18,0,5,0,35,0,0
2/22/2016,639,142,48,3,71,31,120,22,3,3,0,42,0,0
2/22/2017,698,157,54,6,85,32,146,17,7,6,3,27,0,0
2/22/2018,674,162,45,6,96,27,142,20,3,6,0,35,0,0
2/23/2016,630,134,45,8,92,35,125,23,0,2,1,32,0,1
2/23/2017,652,131,45,6,78,32,156,25,0,4,0,56,0,0
2/23/2018,662,142,47,4,105,32,132,20,0,3,0,49,1,0
2/24/2016,578,124,46,5,75,26,122,21,3,0,1,33,0,0
2/24/2017,657,141,53,9,97,33,126,20,0,5,0,31,0,0
2/24/2018,678,162,46,4,102,28,155,13,3,4,0,30,1,1
2/25/2016,696,137,33,2,83,34,137,29,0,2,2,89,0,0
2/25/2017,594,135,42,7,76,29,130,27,2,2,3,39,0,0
2/25/2018,654,159,46,12,86,31,124,19,2,1,1,30,0,0
2/26/2016,737,159,52,6,89,40,133,23,1,3,1,40,0,0
2/26/2017,574,130,33,2,76,29,118,22,2,3,1,37,0,0
2/26/2018,622,142,33,6,81,37,119,16,1,5,0,43,0,0
2/27/2016,689,144,35,7,84,36,138,27,1,1,0,36,0,1
2/27/2017,632,143,58,9,89,29,115,26,0,1,2,30,0,0
2/27/2018,685,136,41,4,86,37,161,17,0,5,1,53,0,0
2/28/2016,620,157,41,7,74,23,127,30,0,0,1,33,0,0
2/28/2017,626,123,59,4,91,42,115,26,0,0,1,24,0,0
2/28/2018,643,129,42,11,93,39,134,19,1,5,1,41,0,0
2/29/2016,646,137,39,8,89,25,136,24,0,4,1,30,0,0
3/1/2016,798,121,45,12,79,49,146,24,2,1,0,51,1,0
3/1/2017,722,128,51,10,73,43,134,25,0,6,2,39,1,0
3/1/2018,778,158,44,13,91,46,143,19,1,3,0,35,1,0
3/2/2016,606,122,48,3,85,26,122,24,3,3,0,56,0,0
3/2/2017,625,127,35,6,80,35,135,17,0,0,0,50,0,0
3/2/2018,687,142,47,4,83,38,136,19,1,5,2,49,0,1
3/3/2016,613,118,51,4,72,34,119,19,0,2,1,55,0,0
3/3/2017,673,125,43,5,76,40,124,26,1,3,0,42,0,0
3/3/2018,661,169,37,7,92,27,129,21,2,3,2,41,0,0
3/4/2016,701,138,51,5,79,28,142,26,2,4,1,66,0,0
3/4/2017,633,134,44,11,84,37,130,21,1,2,1,39,1,0
3/4/2018,648,150,39,2,98,29,136,20,1,11,2,44,0,0
3/5/2016,697,151,50,7,93,26,139,26,0,1,0,34,1,0
3/5/2017,657,139,51,7,82,23,147,22,0,7,1,36,0,0
3/5/2018,661,147,49,3,79,33,129,24,1,3,1,46,0,0
