date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
6/19/2016,12,1,0,1,56,17,36,13,0
6/20/2016,7,3,0,6,44,22,39,12,2
6/21/2016,5,1,0,1,56,8,37,11,0
6/22/2016,8,2,0,3,53,19,49,7,0
6/23/2016,7,1,0,2,54,21,29,10,0
6/24/2016,5,4,0,3,48,25,43,11,0
6/25/2016,10,1,0,6,32,15,47,8,0
6/26/2016,6,1,0,1,43,16,32,12,1
6/27/2016,6,3,0,1,55,16,39,7,0
6/28/2016,5,4,0,0,55,21,48,11,1
6/29/2016,4,8,0,0,37,19,55,9,1
6/30/2016,7,2,0,1,46,26,38,15,1
7/1/2016,10,6,0,5,61,23,45,11,0
7/2/2016,4,7,0,0,61,18,39,10,0
7/3/2016,9,4,0,2,55,26,42,9,1
7/4/2016,4,3,0,0,51,20,42,8,0
7/5/2016,14,0,0,2,78,20,44,14,0
7/6/2016,6,8,0,0,67,20,47,10,0
7/7/2016,3,4,0,5,61,25,32,12,0
7/8/2016,7,1,0,1,77,18,38,15,0
7/9/2016,6,2,0,0,70,15,40,15,0
7/10/2016,7,2,0,3,70,16,40,6,0
7/11/2016,6,1,0,5,64,23,36,9,1
7/12/2016,8,5,0,2,52,27,42,10,1
7/13/2016,9,3,0,3,65,14,43,10,0
7/14/2016,5,5,0,0,51,12,37,13,1
7/15/2016,8,3,0,7,34,15,36,9,1
7/16/2016,7,2,0,3,40,14,46,6,0
7/17/2016,8,1,0,3,37,14,37,6,0
7/18/2016,5,3,0,0,27,14,27,8,0
7/19/2016,6,2,0,0,36,14,50,9,1
7/20/2016,7,7,0,2,52,20,50,8,1
7/21/2016,4,1,0,1,51,19,43,8,0
7/22/2016,7,3,0,0,57,19,50,11,1
7/23/2016,6,0,0,3,63,25,41,11,0
7/24/2016,4,2,1,0,60,15,43,9,0
7/25/2016,10,3,0,5,53,23,42,6,2
7/26/2016,5,6,0,3,37,17,29,6,2
7/27/2016,7,1,0,2,52,20,45,11,0
7/28/2016,2,3,0,2,53,19,46,7,0
7/29/2016,4,2,0,4,40,27,41,14,0
7/30/2016,7,4,0,2,37,13,44,11,1
7/31/2016,8,5,0,4,51,20,28,8,2
8/1/2016,4,4,1,1,58,22,46,10,2
8/2/2016,10,5,0,2,42,14,38,7,0
8/3/2016,7,1,0,1,42,20,44,8,2
8/4/2016,8,3,0,2,44,18,39,13,0
8/5/2016,8,6,0,3,45,12,39,9,0
8/6/2016,8,3,0,2,41,13,37,10,0
8/7/2016,8,5,0,6,43,9,40,14,0
8/8/2016,3,5,0,2,60,18,24,6,0
8/9/2016,3,1,0,0,42,15,36,10,0
8/10/2016,6,2,0,0,53,19,44,12,0
8/11/2016,9,8,0,4,44,18,46,11,1
8/12/2016,7,4,0,1,66,22,47,10,0
8/13/2016,1,4,0,4,39,16,50,9,1
8/14/2016,3,4,0,0,43,10,35,5,0
8/15/2016,7,3,0,3,56,21,39,18,0
8/16/2016,3,5,0,0,45,22,40,9,0
8/17/2016,4,8,0,1,57,11,36,10,0
8/18/2016,7,3,0,5,40,14,36,11,1
8/19/2016,7,3,0,1,38,15,40,17,1
8/20/2016,9,0,0,2,47,15,39,11,0
8/21/2016,8,0,0,3,59,15,39,11,0
8/22/2016,5,3,0,4,44,17,46,12,0
8/23/2016,4,1,0,1,45,25,57,16,0
8/24/2016,11,6,0,3,55,19,37,13,0
8/25/2016,9,4,0,4,35,22,48,11,0
8/26/2016,7,4,0,5,45,19,41,11,1
8/27/2016,10,1,0,0,68,19,31,14,0
8/28/2016,10,2,0,3,43,10,35,12,0
8/29/2016,10,1,0,5,36,21,42,13,0
8/30/2016,4,2,0,0,44,17,33,12,0
8/31/2016,4,3,0,1,44,21,40,10,0
9/1/2016,10,5,0,12,41,39,38,9,0
9/2/2016,7,2,0,2,51,24,43,9,0
9/3/2016,8,4,0,4,49,31,46,12,0
9/4/2016,9,3,0,1,45,17,40,15,0
9/5/2016,3,6,0,3,44,17,17,7,0
9/6/2016,5,7,0,4,50,24,30,10,0
9/7/2016,12,3,0,4,45,22,43,6,0
9/8/2016,3,5,0,4,48,26,34,8,1
9/9/2016,8,5,0,0,56,22,28,5,1
9/10/2016,6,3,0,1,45,21,38,14,0
9/11/2016,6,0,0,2,41,14,34,8,0
9/12/2016,10,5,0,1,41,14,33,12,0
9/13/2016,6,5,0,4,36,27,48,11,0
9/14/2016,7,2,0,1,44,28,33,10,0
9/15/2016,5,5,0,2,42,30,31,16,1
9/16/2016,4,3,0,2,66,29,37,14,0
9/17/2016,5,2,0,0,50,28,41,13,0
9/18/2016,10,1,0,5,44,16,33,12,0
9/19/2016,5,4,0,3,66,18,41,9,0
9/20/2016,3,3,0,2,51,22,45,9,1
9/21/2016,7,4,0,1,53,17,24,5,2
9/22/2016,3,6,0,2,58,17,30,8,0
9/23/2016,8,3,0,1,48,24,27,16,0
9/24/2016,4,1,0,5,65,21,44,9,0
9/25/2016,11,1,0,5,54,12,44,9,1
9/26/2016,9,2,0,1,43,21,41,13,1
9/27/2016,5,2,0,1,56,15,34,9,0
9/28/2016,5,8,0,4,63,23,46,11,0
9/29/2016,7,6,0,0,43,9,34,7,1
9/30/2016,4,4,0,2,61,14,39,12,0
10/1/2016,6,1,0,4,58,24,32,9,0
10/2/2016,5,2,1,0,60,8,40,10,1
10/3/2016,4,3,0,0,56,19,27,18,0
10/4/2016,4,3,0,4,62,20,43,7,0
10/5/2016,6,1,0,0,46,19,33,8,1
10/6/2016,5,5,0,3,39,20,28,9,0
10/7/2016,4,1,0,1,58,20,45,10,0
10/8/2016,7,1,0,5,62,29,39,15,0
10/9/2016,4,3,0,2,48,21,22,14,0
10/10/2016,0,4,0,4,61,18,36,8,0
10/11/2016,8,7,0,3,57,19,42,13,0
10/12/2016,5,3,0,3,43,21,28,9,0
10/13/2016,2,1,0,2,54,19,31,16,0
10/14/2016,6,0,0,1,50,36,37,15,0
10/15/2016,8,1,0,3,52,23,32,16,0
10/16/2016,10,2,0,1,55,26,43,15,0
10/17/2016,1,6,0,2,56,21,28,19,0
10/18/2016,12,5,0,0,50,19,44,13,1
10/19/2016,7,4,0,5,51,21,32,8,0
10/20/2016,5,5,0,1,54,11,61,5,0
10/21/2016,3,2,0,4,56,26,57,14,2
10/22/2016,6,1,0,2,61,13,41,19,0
10/23/2016,5,2,0,3,47,22,38,13,0
10/24/2016,5,1,0,3,56,20,28,20,0
10/25/2016,2,2,0,6,48,21,41,11,0
10/26/2016,5,2,0,1,58,15,32,12,0
10/27/2016,4,3,0,2,45,21,36,15,0
10/28/2016,6,1,0,6,69,31,42,12,0
10/29/2016,5,1,0,1,53,19,45,13,0
10/30/2016,7,2,0,2,49,26,37,7,1
10/31/2016,3,0,0,2,66,32,40,12,0
11/1/2016,9,2,0,5,71,19,35,10,0
11/2/2016,6,4,1,0,56,20,33,6,0
11/3/2016,7,2,0,3,49,22,30,11,0
11/4/2016,4,4,0,2,51,18,34,11,1
11/5/2016,7,0,0,4,56,26,33,9,0
11/6/2016,8,2,0,0,52,22,34,13,0
11/7/2016,3,3,0,2,67,25,42,10,0
11/8/2016,9,2,0,3,57,18,31,11,0
11/9/2016,10,4,0,2,48,9,56,13,1
11/10/2016,2,6,0,2,57,13,33,18,1
11/11/2016,7,8,0,1,66,27,31,17,0
11/12/2016,9,3,0,2,56,26,33,18,0
11/13/2016,8,1,1,3,67,18,26,15,1
11/14/2016,6,3,0,3,62,12,46,19,0
11/15/2016,8,2,0,3,64,20,50,13,0
11/16/2016,2,4,0,1,55,24,45,8,0
11/17/2016,4,2,0,2,48,18,40,18,0
11/18/2016,4,3,0,0,66,24,49,17,0
11/19/2016,8,1,0,0,58,13,53,20,0
11/20/2016,12,1,0,2,52,15,30,19,1
11/21/2016,6,3,0,1,51,20,35,18,0
11/22/2016,2,3,0,3,60,19,42,14,0
11/23/2016,6,4,0,1,54,29,49,20,0
11/24/2016,4,1,0,1,51,23,17,12,0
11/25/2016,8,1,0,0,62,25,51,16,0
11/26/2016,3,3,0,1,62,26,49,18,0
11/27/2016,6,2,0,2,50,13,30,20,0
11/28/2016,11,4,0,1,45,16,42,10,0
11/29/2016,4,8,0,1,66,22,36,13,0
11/30/2016,9,1,0,3,54,16,24,11,0
12/1/2016,1,0,0,5,69,23,42,12,0
12/2/2016,7,3,0,1,53,20,45,16,0
12/3/2016,1,1,0,2,63,24,43,16,0
12/4/2016,8,1,0,7,61,30,32,9,0
12/5/2016,7,6,0,3,59,19,44,18,0
12/6/2016,9,4,0,2,50,18,40,15,0
12/7/2016,2,6,0,2,57,12,36,11,1
12/8/2016,3,1,0,1,48,13,43,16,0
12/9/2016,10,3,0,2,51,25,37,8,0
12/10/2016,7,6,0,4,64,12,43,10,0
12/11/2016,9,3,0,1,51,19,25,5,0
12/12/2016,7,3,0,3,52,22,47,18,0
12/13/2016,8,2,0,1,50,22,62,12,0
12/14/2016,8,6,0,1,37,18,51,10,0
12/15/2016,4,4,1,5,68,28,46,9,0
12/16/2016,4,2,0,2,43,27,32,15,0
12/17/2016,5,7,0,1,39,16,49,9,0
12/18/2016,4,3,0,0,49,21,35,13,0
12/19/2016,9,1,0,4,58,26,47,13,0
12/20/2016,5,2,0,2,59,19,54,14,0
12/21/2016,5,2,0,2,43,23,45,10,0
12/22/2016,7,3,0,2,41,29,54,7,0
12/23/2016,1,1,0,1,63,27,31,15,0
12/24/2016,5,0,0,1,42,27,35,9,0
12/25/2016,4,0,0,5,31,21,15,6,0
12/26/2016,6,0,0,2,44,23,30,3,0
12/27/2016,5,3,0,0,42,21,49,11,0
12/28/2016,7,3,0,2,47,16,42,13,0
12/29/2016,5,2,0,0,55,29,36,4,0
12/30/2016,5,4,0,0,50,17,32,8,1
12/31/2016,15,1,0,1,45,31,30,6,0
1/1/2017,8,4,0,19,48,24,43,7,0
1/2/2017,5,6,0,1,42,23,40,7,2
1/3/2017,5,5,0,0,44,22,28,9,1
1/4/2017,5,6,0,1,44,26,34,11,0
1/5/2017,0,3,0,4,50,18,34,13,1
1/6/2017,4,3,0,1,62,21,41,17,0
1/7/2017,5,9,0,2,66,27,33,10,0
1/8/2017,5,4,0,3,71,15,33,13,1
1/9/2017,6,2,0,1,47,35,32,11,1
1/10/2017,3,4,0,1,50,18,27,11,0
1/11/2017,6,6,0,0,59,20,48,8,1
1/12/2017,5,3,0,0,54,23,29,7,0
1/13/2017,4,3,0,3,61,17,44,8,0
1/14/2017,6,4,0,3,67,13,30,10,0
1/15/2017,12,3,1,5,55,15,30,10,0
1/16/2017,6,4,0,1,66,21,35,13,1
1/17/2017,5,4,0,4,57,18,44,7,0
1/18/2017,3,2,0,2,69,23,27,7,0
1/19/2017,2,2,0,1,45,30,49,7,0
1/20/2017,12,1,0,1,68,19,32,10,1
1/21/2017,12,2,0,2,58,23,36,8,0
1/22/2017,8,5,0,2,58,14,23,8,0
1/23/2017,6,4,0,4,59,23,43,8,0
1/24/2017,4,1,0,2,67,32,35,8,0
1/25/2017,3,4,0,2,51,18,37,3,0
1/26/2017,6,3,0,1,67,19,47,13,1
1/27/2017,4,3,0,1,64,29,40,11,0
1/28/2017,10,4,0,4,62,25,42,15,0
1/29/2017,8,2,1,2,47,24,18,12,0
1/30/2017,3,1,0,0,49,16,41,15,0
1/31/2017,4,2,0,3,43,19,37,6,0
2/1/2017,5,3,0,4,56,28,35,5,0
2/2/2017,5,7,0,0,59,22,30,7,2
2/3/2017,3,5,0,2,39,26,30,13,0
2/4/2017,8,1,0,3,50,17,26,5,2
2/5/2017,11,2,0,2,54,21,27,7,0
2/6/2017,6,1,0,2,38,15,30,7,1
2/7/2017,5,1,0,1,44,20,34,6,0
2/8/2017,7,10,0,0,34,12,29,13,0
2/9/2017,2,4,0,2,61,16,27,14,0
2/10/2017,6,4,1,1,55,27,35,12,1
2/11/2017,6,2,0,0,54,19,45,7,2
2/12/2017,9,3,0,1,62,14,26,8,2
2/13/2017,6,3,0,2,47,22,51,8,0
2/14/2017,4,8,0,1,50,14,31,14,1
2/15/2017,1,4,0,2,53,16,32,15,3
2/16/2017,5,2,0,1,41,17,34,13,0
2/17/2017,7,1,0,3,62,17,42,14,0
2/18/2017,14,4,0,2,53,18,35,8,0
2/19/2017,7,2,0,2,49,12,37,7,1
2/20/2017,4,5,0,2,73,19,30,9,0
2/21/2017,4,5,0,2,53,13,34,12,1
2/22/2017,2,10,0,2,53,28,30,11,0
2/23/2017,3,1,0,3,42,10,39,12,0
2/24/2017,2,7,0,1,60,31,47,11,0
2/25/2017,8,2,0,4,51,19,39,12,0
2/26/2017,8,2,0,3,42,22,26,7,1
2/27/2017,4,2,0,2,52,21,37,5,2
2/28/2017,8,5,0,2,60,15,39,17,1
3/1/2017,5,1,0,3,59,19,43,12,0
3/2/2017,5,3,0,6,43,26,44,9,0
3/3/2017,6,6,0,3,51,24,34,8,1
3/4/2017,8,2,0,0,54,24,31,10,0
3/5/2017,8,2,0,4,63,15,31,13,1
3/6/2017,4,9,0,3,46,22,41,11,0
3/7/2017,4,4,0,1,80,20,31,8,0
3/8/2017,6,3,0,2,44,16,30,7,0
3/9/2017,6,5,0,2,48,19,36,9,0
3/10/2017,11,3,0,2,51,19,44,8,0
3/11/2017,14,0,0,2,44,15,39,9,2
3/12/2017,3,0,0,1,43,15,32,10,0
3/13/2017,4,1,0,4,55,17,47,6,0
3/14/2017,6,1,0,3,52,12,35,7,0
3/15/2017,3,2,0,1,51,18,52,8,0
3/16/2017,5,1,0,2,52,26,45,9,0
3/17/2017,7,2,0,3,78,26,42,15,1
3/18/2017,6,3,0,3,70,24,38,13,0
3/19/2017,4,1,0,0,73,10,27,6,1
3/20/2017,13,5,0,2,59,22,38,9,0
3/21/2017,7,4,0,3,64,24,39,15,0
3/22/2017,6,6,0,0,57,25,36,13,0
3/23/2017,5,2,0,3,56,21,33,6,0
3/24/2017,0,7,0,6,80,30,41,12,0
3/25/2017,6,3,0,0,73,29,51,12,1
3/26/2017,11,3,0,4,56,27,35,6,0
3/27/2017,4,3,0,4,68,20,36,7,0
3/28/2017,8,8,0,1,75,19,38,11,0
3/29/2017,7,9,0,2,69,16,44,9,0
3/30/2017,7,3,0,4,57,21,37,10,0
3/31/2017,6,3,0,5,80,16,31,5,2
4/1/2017,10,7,0,5,71,24,46,15,1
4/2/2017,9,2,0,2,62,15,33,5,1
4/3/2017,10,2,0,1,47,21,41,5,0
4/4/2017,4,2,0,0,59,19,37,9,0
4/5/2017,7,1,0,3,44,25,37,10,0
4/6/2017,5,2,0,2,61,23,40,5,0
4/7/2017,5,10,0,3,55,23,50,8,0
4/8/2017,0,6,0,1,44,27,30,6,1
4/9/2017,4,4,0,0,63,21,25,8,0
4/10/2017,2,4,0,4,77,19,37,14,1
4/11/2017,2,2,1,1,59,23,45,10,0
4/12/2017,3,3,0,2,53,22,25,5,0
4/13/2017,7,1,0,1,57,28,36,8,1
4/14/2017,5,1,0,3,56,31,45,7,0
4/15/2017,6,0,0,2,50,23,39,3,1
4/16/2017,8,1,0,2,53,11,18,7,1
4/17/2017,7,1,0,1,56,25,31,10,0
4/18/2017,6,5,0,3,60,16,38,6,0
4/19/2017,9,2,0,4,54,18,43,6,2
4/20/2017,6,0,0,1,42,20,35,6,0
4/21/2017,8,3,0,3,60,20,36,12,0
4/22/2017,7,2,0,2,52,14,41,6,0
4/23/2017,4,4,0,3,56,17,30,8,1
4/24/2017,4,4,0,1,61,14,37,11,0
4/25/2017,14,4,0,3,59,25,40,10,0
4/26/2017,10,3,0,3,58,24,30,8,0
4/27/2017,5,2,0,3,58,17,37,10,1
4/28/2017,7,5,1,1,49,22,48,8,0
4/29/2017,7,1,0,2,72,33,38,8,0
4/30/2017,3,1,0,2,53,19,33,5,1
5/1/2017,8,3,0,4,64,35,35,6,0
5/2/2017,3,9,0,2,54,19,37,6,0
5/3/2017,9,5,1,1,41,19,23,8,0
5/4/2017,9,5,0,0,50,23,35,10,1
5/5/2017,4,3,0,5,55,28,43,6,0
5/6/2017,9,2,0,2,49,29,36,11,1
5/7/2017,12,4,0,5,50,20,40,4,0
5/8/2017,8,4,0,2,54,25,36,3,0
5/9/2017,5,5,0,2,41,15,35,4,0
5/10/2017,8,3,0,5,35,22,37,9,0
5/11/2017,10,2,0,3,46,19,42,5,0
5/12/2017,5,2,0,5,47,23,40,10,1
5/13/2017,12,1,0,3,63,17,26,9,0
5/14/2017,7,4,0,1,64,20,27,4,0
5/15/2017,6,1,0,2,50,18,35,11,1
5/16/2017,5,4,0,3,57,16,41,14,0
5/17/2017,5,12,0,4,42,16,39,9,0
5/18/2017,6,4,0,2,47,16,44,8,0
5/19/2017,7,8,0,4,56,22,60,10,0
5/20/2017,14,2,0,1,60,25,52,7,1
5/21/2017,14,3,0,5,65,17,40,10,1
5/22/2017,6,3,0,3,37,19,41,10,0
5/23/2017,8,7,1,4,54,24,49,5,2
5/24/2017,4,2,0,3,56,27,48,8,0
5/25/2017,6,4,0,1,68,29,37,8,0
5/26/2017,8,9,0,1,101,24,40,9,0
5/27/2017,6,2,0,2,50,15,48,12,0
5/28/2017,9,2,0,4,51,14,41,9,0
5/29/2017,5,4,0,3,43,29,32,8,0
5/30/2017,5,6,0,2,35,13,39,9,0
5/31/2017,4,8,0,5,56,10,42,8,0
6/1/2017,10,8,0,5,62,28,45,7,1
6/2/2017,9,4,0,2,54,23,43,10,1
6/3/2017,6,1,0,5,46,15,30,5,0
6/4/2017,5,7,0,2,52,23,34,8,0
6/5/2017,5,5,1,2,50,19,38,4,0
6/6/2017,5,3,0,3,57,11,42,5,0
6/7/2017,8,10,0,1,58,21,31,4,1
6/8/2017,1,3,0,2,37,25,32,8,0
6/9/2017,5,3,1,2,64,25,42,16,0
6/10/2017,12,7,0,6,63,22,27,9,0
6/11/2017,6,4,0,2,43,12,31,15,0
6/12/2017,9,6,0,7,46,15,33,8,1
6/13/2017,7,12,0,4,50,10,34,6,1
6/14/2017,14,8,0,0,46,17,41,10,1
6/15/2017,7,10,0,3,54,24,35,10,0
6/16/2017,12,4,0,3,41,21,44,14,1
6/17/2017,6,4,0,3,48,19,49,4,0
6/18/2017,8,3,0,0,43,15,25,18,0
6/19/2017,6,9,0,3,57,17,39,9,0
6/20/2017,11,3,0,0,42,21,56,9,0
6/21/2017,13,3,0,1,28,29,28,10,2
6/22/2017,3,4,0,3,46,10,52,7,0
6/23/2017,5,1,1,3,54,18,53,12,0
6/24/2017,13,4,0,0,53,23,40,8,3
6/25/2017,8,2,0,4,72,18,38,9,1
6/26/2017,8,1,0,2,87,17,44,12,1
6/27/2017,9,2,0,3,86,20,41,14,2
6/28/2017,13,3,0,1,67,14,44,9,0
6/29/2017,4,2,0,2,61,27,48,11,0
6/30/2017,6,2,0,0,72,14,37,4,0
7/1/2017,11,19,1,5,84,31,44,4,0
7/2/2017,7,3,1,2,64,15,34,12,0
7/3/2017,9,5,0,3,52,11,43,9,1
7/4/2017,9,3,0,2,59,25,31,10,1
7/5/2017,6,4,0,1,48,26,38,12,0
7/6/2017,9,5,0,2,41,17,49,8,0
7/7/2017,10,6,0,1,48,12,50,16,0
7/8/2017,14,3,0,3,66,19,52,14,1
7/9/2017,10,3,1,2,48,23,35,7,2
7/10/2017,4,7,0,4,62,17,35,7,0
7/11/2017,8,5,0,1,42,15,33,7,1
7/12/2017,4,3,0,3,44,15,35,12,0
7/13/2017,4,3,0,3,51,19,41,14,0
7/14/2017,6,4,1,3,47,28,47,13,1
7/15/2017,9,1,0,2,53,23,49,11,0
7/16/2017,12,3,0,2,75,15,53,9,2
7/17/2017,7,3,0,5,48,21,51,15,1
7/18/2017,8,3,0,4,65,22,40,4,1
7/19/2017,11,3,0,1,57,21,45,8,1
7/20/2017,5,13,0,1,44,25,32,17,2
7/21/2017,6,1,0,3,50,19,41,14,0
7/22/2017,11,6,0,1,54,18,39,9,2
7/23/2017,6,1,0,2,55,19,41,15,2
7/24/2017,9,1,1,4,46,26,43,16,2
7/25/2017,8,7,0,4,49,22,59,15,1
7/26/2017,6,4,0,1,53,28,47,8,0
7/27/2017,6,2,0,3,46,25,46,10,1
7/28/2017,8,6,0,0,47,21,41,10,0
7/29/2017,10,1,0,4,57,19,48,16,1
7/30/2017,9,3,0,1,76,15,36,10,0
7/31/2017,12,5,0,4,61,20,46,11,0
8/1/2017,9,8,0,6,48,28,43,12,1
8/2/2017,11,5,0,1,62,28,43,8,0
8/3/2017,8,9,0,0,56,22,52,7,1
8/4/2017,5,4,0,4,54,19,43,14,0
8/5/2017,7,4,0,1,68,23,52,12,0
8/6/2017,10,4,0,2,62,25,38,4,0
8/7/2017,7,5,0,0,46,20,40,16,0
8/8/2017,7,5,0,4,39,11,49,11,1
8/9/2017,10,3,0,1,49,25,39,11,0
8/10/2017,11,4,0,4,56,23,50,10,0
8/11/2017,6,9,0,0,50,18,41,10,1
8/12/2017,9,5,1,2,59,21,48,11,0
8/13/2017,4,1,0,3,55,17,38,18,0
8/14/2017,12,4,0,2,58,13,38,11,1
8/15/2017,7,7,0,2,49,19,55,10,2
8/16/2017,9,4,0,3,48,15,44,17,1
8/17/2017,6,4,0,3,58,24,39,14,0
8/18/2017,9,5,0,2,61,23,37,11,0
8/19/2017,11,3,1,2,62,23,50,11,0
8/20/2017,4,3,0,2,47,16,39,16,0
8/21/2017,9,5,0,3,56,26,50,18,0
8/22/2017,11,5,1,3,47,20,42,10,2
8/23/2017,2,1,0,1,47,23,41,17,0
8/24/2017,6,9,0,3,55,25,36,12,0
8/25/2017,7,4,0,5,67,21,38,12,0
8/26/2017,11,3,0,3,53,25,48,9,0
8/27/2017,9,2,0,0,50,23,35,10,0
8/28/2017,8,2,0,4,48,20,41,11,2
8/29/2017,5,7,0,5,68,24,40,7,1
8/30/2017,7,3,0,3,59,17,54,18,2
8/31/2017,8,3,0,1,79,16,34,8,0
9/1/2017,6,2,0,6,70,26,50,12,0
9/2/2017,4,5,0,2,65,18,49,7,1
9/3/2017,8,7,0,5,55,23,46,11,0
9/4/2017,9,0,0,2,62,21,31,9,1
9/5/2017,10,3,1,3,45,21,33,14,0
9/6/2017,3,4,0,2,45,18,43,7,0
9/7/2017,5,2,0,1,27,14,39,7,0
9/8/2017,10,11,0,4,54,23,38,14,0
9/9/2017,8,4,0,0,53,16,51,12,0
9/10/2017,6,2,0,2,62,17,25,13,0
9/11/2017,6,6,0,3,51,18,38,21,2
9/12/2017,7,7,0,2,50,21,50,11,0
9/13/2017,5,4,0,6,43,19,45,9,0
9/14/2017,9,6,1,2,40,21,40,13,0
9/15/2017,5,3,0,1,61,31,41,9,0
9/16/2017,12,2,0,3,69,23,47,13,0
9/17/2017,5,1,0,2,59,19,28,12,0
9/18/2017,7,3,0,1,56,23,42,16,1
9/19/2017,5,4,1,4,48,13,43,12,0
9/20/2017,5,4,0,1,52,26,48,8,0
9/21/2017,4,6,0,2,45,24,41,16,0
9/22/2017,13,2,0,1,52,32,47,12,0
9/23/2017,7,3,0,2,58,25,38,9,0
9/24/2017,7,3,0,2,57,20,38,7,1
9/25/2017,5,1,0,4,54,16,42,9,0
9/26/2017,7,3,0,5,45,24,31,11,0
9/27/2017,5,6,0,3,50,25,36,9,0
9/28/2017,10,5,0,2,52,27,44,6,0
9/29/2017,7,8,0,3,56,29,26,12,0
9/30/2017,7,1,0,0,41,23,38,8,1
10/1/2017,9,4,0,1,62,22,38,10,0
10/2/2017,6,7,0,2,56,29,38,6,0
10/3/2017,4,4,0,3,39,18,36,12,0
10/4/2017,6,3,0,3,48,26,35,14,0
10/5/2017,5,7,1,3,72,22,47,17,0
10/6/2017,5,3,0,1,42,22,36,12,0
10/7/2017,5,3,0,2,51,19,48,12,0
10/8/2017,9,1,0,3,52,13,51,15,0
10/9/2017,4,8,0,3,52,30,41,11,0
10/10/2017,7,5,0,2,55,25,49,10,0
10/11/2017,9,4,0,2,62,22,44,13,0
10/12/2017,5,1,0,2,52,20,36,5,0
10/13/2017,9,4,0,4,43,29,40,10,0
10/14/2017,7,3,0,1,54,23,43,12,0
10/15/2017,13,1,0,2,51,26,44,10,0
10/16/2017,6,4,0,2,64,29,43,11,0
10/17/2017,8,2,0,5,54,18,43,9,1
10/18/2017,4,7,0,3,43,19,41,11,0
10/19/2017,5,5,0,2,45,31,34,23,0
10/20/2017,7,4,0,6,55,26,42,13,0
10/21/2017,6,3,0,5,51,19,48,9,1
10/22/2017,14,3,0,3,62,17,38,8,0
10/23/2017,8,5,0,3,58,21,41,10,1
10/24/2017,6,3,0,1,58,23,42,8,0
10/25/2017,2,7,0,4,50,24,46,11,0
10/26/2017,7,6,2,1,49,17,35,15,0
10/27/2017,5,5,0,2,68,31,41,6,0
10/28/2017,9,4,0,1,51,32,36,8,1
10/29/2017,5,3,0,1,68,18,43,7,0
10/30/2017,11,2,0,3,45,27,34,8,0
10/31/2017,3,5,0,1,45,30,46,11,0
11/1/2017,9,3,0,6,54,22,38,3,0
11/2/2017,8,3,1,4,38,31,32,7,0
11/3/2017,2,5,0,1,54,25,41,8,0
11/4/2017,4,1,0,2,45,26,24,5,0
11/5/2017,12,2,0,2,52,11,27,7,0
11/6/2017,2,4,0,0,53,16,27,15,0
11/7/2017,8,1,0,1,57,25,37,7,1
11/8/2017,3,7,0,1,48,23,31,10,0
11/9/2017,6,3,0,2,46,17,32,8,0
11/10/2017,7,3,0,3,63,17,39,13,0
11/11/2017,9,2,0,3,48,22,32,13,0
11/12/2017,5,2,0,4,45,17,30,6,2
11/13/2017,6,2,0,4,57,30,27,9,0
11/14/2017,5,6,0,3,44,20,38,9,0
11/15/2017,8,6,0,0,59,19,42,14,0
11/16/2017,6,2,0,3,42,19,50,12,0
11/17/2017,8,6,0,6,50,27,46,12,0
11/18/2017,13,0,0,3,52,20,43,9,0
11/19/2017,15,4,0,1,58,24,28,14,0
11/20/2017,5,3,0,2,51,20,32,13,0
11/21/2017,10,4,1,1,55,21,36,10,0
11/22/2017,8,3,0,2,59,36,37,13,0
11/23/2017,5,1,0,3,36,19,20,14,0
11/24/2017,7,0,0,3,56,25,44,7,0
11/25/2017,6,4,0,1,64,29,41,17,0
11/26/2017,9,4,0,2,57,20,44,7,0
11/27/2017,5,4,0,1,42,22,61,9,1
11/28/2017,4,2,0,1,50,17,52,13,0
11/29/2017,8,3,0,1,43,34,41,11,0
11/30/2017,8,2,0,3,62,22,51,10,0
12/1/2017,4,5,0,6,61,34,64,6,0
12/2/2017,11,0,0,2,55,21,39,10,0
12/3/2017,7,3,0,2,56,22,36,8,0
12/4/2017,1,3,0,4,52,22,39,11,0
12/5/2017,7,1,0,0,43,20,28,13,0
12/6/2017,3,2,0,2,50,14,36,12,0
12/7/2017,9,3,0,2,38,19,38,9,1
12/8/2017,4,5,1,2,57,23,54,7,1
12/9/2017,7,1,0,4,55,15,45,6,0
12/10/2017,7,2,0,3,45,29,37,6,0
12/11/2017,8,2,0,1,50,16,46,7,0
12/12/2017,2,6,0,2,41,23,40,12,0
12/13/2017,4,4,0,5,43,26,50,11,1
12/14/2017,6,3,0,4,32,22,49,6,0
12/15/2017,9,2,0,3,51,24,46,15,0
12/16/2017,5,2,0,1,64,30,51,10,1
12/17/2017,10,2,1,3,57,21,32,12,0
12/18/2017,6,2,0,2,33,19,56,12,0
12/19/2017,12,2,0,0,49,21,57,13,0
12/20/2017,4,5,0,0,58,16,46,9,0
12/21/2017,7,2,0,5,45,24,51,9,0
12/22/2017,11,4,1,1,52,21,51,13,0
12/23/2017,3,6,0,4,53,25,50,9,0
12/24/2017,3,2,0,2,43,27,26,5,0
12/25/2017,3,0,0,1,33,27,13,4,1
