date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
5/4/2015,3,2,0,1,39,20,38,7,0
5/5/2015,4,1,0,2,48,21,39,9,0
5/6/2015,6,4,0,2,33,26,39,11,0
5/7/2015,7,4,0,0,43,30,39,11,0
5/8/2015,5,3,0,4,45,24,52,9,0
5/9/2015,5,2,0,3,58,23,36,8,0
5/10/2015,10,3,0,1,38,16,31,12,0
5/11/2015,2,5,0,2,51,25,45,7,0
5/12/2015,2,4,0,2,50,28,30,10,0
5/13/2015,6,3,0,0,61,24,35,9,1
5/14/2015,6,2,0,2,48,23,48,6,0
5/15/2015,5,2,0,3,69,24,53,16,0
5/16/2015,6,0,0,3,48,16,42,17,0
5/17/2015,4,1,0,3,58,15,29,16,0
5/18/2015,2,1,0,5,33,18,42,7,1
5/19/2015,4,1,0,1,51,23,33,12,1
5/20/2015,7,0,0,2,46,18,36,7,0
5/21/2015,2,3,0,6,66,27,49,8,2
5/22/2015,6,2,0,4,30,27,52,16,0
5/23/2015,12,3,0,2,49,28,31,14,0
5/24/2015,5,2,0,2,51,19,39,4,0
5/25/2015,7,4,0,0,59,22,26,4,0
5/26/2015,8,3,0,3,47,20,46,14,0
5/27/2015,3,4,0,2,53,16,49,2,0
5/28/2015,5,3,0,1,34,13,46,5,0
5/29/2015,8,2,0,2,52,28,42,12,0
5/30/2015,7,0,0,1,52,24,47,12,1
5/31/2015,8,2,0,1,43,23,36,9,0
6/1/2015,7,7,0,2,46,33,40,6,0
6/2/2015,3,4,0,2,48,20,28,9,0
6/3/2015,5,5,0,0,36,13,28,8,1
6/4/2015,6,5,0,3,49,22,46,10,1
6/5/2015,4,2,0,2,36,24,33,9,1
6/6/2015,5,2,0,2,37,21,33,9,0
6/7/2015,6,1,0,4,47,29,34,7,0
6/8/2015,5,5,0,2,47,22,50,10,0
6/9/2015,18,4,0,8,54,22,42,9,0
6/10/2015,4,1,0,2,43,22,43,8,0
6/11/2015,7,6,0,3,51,24,35,8,2
6/12/2015,8,2,0,2,50,28,38,10,0
6/13/2015,6,2,0,5,56,22,37,17,0
6/14/2015,2,2,0,3,64,20,29,12,1
6/15/2015,3,4,0,2,63,22,49,13,1
6/16/2015,3,2,0,4,59,16,35,11,0
6/17/2015,4,2,0,0,55,26,48,13,0
6/18/2015,2,6,0,2,46,20,42,16,0
6/19/2015,8,2,1,2,48,31,38,13,0
6/20/2015,12,3,0,4,41,29,44,14,0
6/21/2015,12,1,0,0,47,25,30,10,0
6/22/2015,5,2,0,0,39,20,42,7,0
6/23/2015,13,6,0,5,42,29,54,2,0
6/24/2015,8,3,0,1,41,17,39,12,0
6/25/2015,4,4,0,2,45,19,40,15,0
6/26/2015,8,1,0,3,42,26,41,17,0
6/27/2015,7,2,1,5,65,21,44,7,0
6/28/2015,9,1,0,1,48,18,37,11,1
6/29/2015,7,4,0,2,42,25,53,12,1
6/30/2015,3,4,0,2,49,27,35,5,0
7/1/2015,7,2,0,3,44,28,39,13,0
7/2/2015,5,2,1,2,29,27,50,9,0
7/3/2015,6,3,0,2,40,26,51,10,1
7/4/2015,13,0,0,2,38,27,45,4,0
7/5/2015,7,2,1,1,36,14,36,10,1
7/6/2015,7,5,0,1,40,15,52,10,0
7/7/2015,5,9,0,2,36,15,40,8,0
7/8/2015,8,5,0,1,48,19,31,6,1
7/9/2015,3,6,0,3,60,18,39,10,0
7/10/2015,6,3,0,2,58,20,48,3,0
7/11/2015,6,1,0,2,47,19,40,10,0
7/12/2015,13,3,0,4,58,12,40,7,0
7/13/2015,3,1,0,3,40,29,41,8,1
7/14/2015,8,5,0,1,30,17,37,10,0
7/15/2015,7,6,0,4,57,26,40,7,0
7/16/2015,6,1,0,2,41,16,35,6,0
7/17/2015,6,3,0,2,64,20,49,8,0
7/18/2015,5,3,0,1,51,20,46,6,3
7/19/2015,8,1,0,1,40,20,43,4,0
7/20/2015,8,4,0,2,43,21,41,5,0
7/21/2015,8,3,0,4,39,23,42,9,0
7/22/2015,5,3,0,1,48,16,38,7,0
7/23/2015,0,2,1,0,54,27,31,9,0
7/24/2015,10,2,0,3,66,25,47,10,0
7/25/2015,9,1,0,2,55,23,45,12,2
7/26/2015,4,1,0,1,55,18,32,8,0
7/27/2015,2,5,0,1,46,17,36,12,1
7/28/2015,5,1,0,4,41,26,51,13,0
7/29/2015,5,4,0,2,44,20,37,10,0
7/30/2015,11,1,0,2,43,21,38,4,0
7/31/2015,5,1,1,3,60,27,32,16,0
8/1/2015,9,2,0,2,29,26,41,6,1
8/2/2015,5,1,0,4,55,16,35,15,1
8/3/2015,4,2,0,1,45,17,32,10,0
8/4/2015,4,1,0,1,34,20,43,5,0
8/5/2015,9,4,0,1,63,22,57,7,0
8/6/2015,5,2,0,3,46,13,38,12,1
8/7/2015,7,3,0,0,48,20,41,8,1
8/8/2015,6,1,0,1,54,23,53,10,0
8/9/2015,9,1,0,2,33,18,35,14,0
8/10/2015,5,7,0,1,50,16,32,9,0
8/11/2015,5,7,0,1,47,19,49,8,0
8/12/2015,9,2,0,1,57,19,44,8,3
8/13/2015,6,1,1,2,52,32,35,9,0
8/14/2015,6,1,0,2,64,27,35,10,0
8/15/2015,6,0,0,3,67,22,45,6,0
8/16/2015,8,2,1,4,45,11,32,9,0
8/17/2015,4,3,0,1,71,27,39,9,0
8/18/2015,10,5,0,2,41,17,28,7,0
8/19/2015,9,9,0,1,44,30,50,6,0
8/20/2015,7,3,0,1,60,24,38,7,0
8/21/2015,3,2,0,2,52,21,39,9,1
8/22/2015,9,0,1,0,46,19,39,5,0
8/23/2015,5,4,0,1,34,21,31,14,0
8/24/2015,6,5,1,1,47,19,33,9,1
8/25/2015,11,2,0,4,43,12,32,5,0
8/26/2015,9,4,0,0,48,15,36,5,0
8/27/2015,7,3,0,1,37,20,55,9,0
8/28/2015,7,3,0,2,69,24,43,15,2
8/29/2015,6,0,0,1,60,15,30,8,0
