Case Date,LARCENY-THEFT,AGGRAVATED ASSAULT,BURGLARY,MOTOR VEHICLE THEFT,FRAUD,DRUG OFFENSE,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC
2016-06-26,23,8,4,3,1,5,0,0,0
2016-06-27,35,5,8,3,10,6,0,0,0
2016-06-28,36,7,2,2,4,8,0,0,0
2016-06-29,46,5,5,8,5,2,0,0,0
2016-06-30,33,4,7,4,8,2,0,0,0
2016-07-01,31,6,6,5,7,3,0,0,0
2016-07-02,36,6,4,3,5,5,0,0,0
2016-07-03,24,8,1,1,0,4,0,0,0
2016-07-04,26,7,4,4,3,4,0,0,0
2016-07-05,27,5,3,4,6,10,0,0,0
2016-07-06,37,12,4,5,2,4,0,1,0
2016-07-07,36,3,3,7,6,8,0,0,0
2016-07-08,34,3,1,4,5,3,0,0,0
2016-07-09,33,3,9,3,1,5,0,0,0
2016-07-10,28,7,4,2,3,1,0,0,1
2016-07-11,40,6,15,7,6,2,0,0,0
2016-07-12,42,5,13,3,1,9,0,0,0
2016-07-13,39,4,10,7,8,6,0,0,0
2016-07-14,31,6,6,2,6,4,0,0,0
2016-07-15,39,5,9,2,8,7,0,0,0
2016-07-16,33,7,5,0,1,2,0,0,0
2016-07-17,28,6,10,2,1,5,0,0,0
2016-07-18,31,4,15,4,2,6,0,0,0
2016-07-19,30,4,0,0,5,9,1,0,0
2016-07-20,29,6,9,2,5,4,0,0,0
2016-07-21,26,4,12,2,8,12,0,0,0
2016-07-22,28,9,7,3,8,5,0,0,0
2016-07-23,25,10,5,3,1,3,0,0,0
2016-07-24,34,10,5,3,2,4,0,0,0
2016-07-25,30,4,6,5,8,4,1,0,0
2016-07-26,28,7,8,1,8,3,0,0,0
2016-07-27,26,2,2,1,3,12,0,1,0
2016-07-28,37,6,6,5,5,4,0,0,0
2016-07-29,27,8,6,0,5,5,0,0,0
2016-07-30,29,5,5,8,2,8,0,0,0
2016-07-31,33,6,2,1,3,5,0,0,0
2016-08-01,38,8,10,7,7,5,0,0,0
2016-08-02,28,5,6,4,5,5,0,0,0
2016-08-03,35,5,6,4,4,6,0,0,0
2016-08-04,28,6,6,4,3,3,0,0,0
2016-08-05,37,6,5,5,5,4,0,0,0
2016-08-06,40,4,3,5,2,10,0,0,0
2016-08-07,22,7,6,2,3,1,0,0,0
2016-08-08,56,2,11,10,4,6,0,0,0
2016-08-09,30,6,11,6,4,9,0,0,0
2016-08-10,43,5,13,6,13,3,0,0,0
2016-08-11,48,4,11,3,6,5,0,0,0
2016-08-12,35,9,8,0,3,3,0,0,0
2016-08-13,26,8,2,4,4,1,0,0,0
2016-08-14,33,3,3,5,0,4,0,1,0
2016-08-15,29,3,7,3,7,7,0,0,0
2016-08-16,33,3,4,3,7,4,0,0,0
2016-08-17,33,2,9,2,5,6,0,0,0
2016-08-18,28,3,6,5,6,12,0,0,0
2016-08-19,26,7,16,4,2,8,1,0,0
2016-08-20,41,6,8,3,0,3,0,0,0
2016-08-21,26,6,7,6,1,3,0,0,0
2016-08-22,34,6,6,4,5,1,0,2,0
2016-08-23,36,5,8,6,4,4,0,1,0
2016-08-24,32,8,5,2,6,4,0,0,0
2016-08-25,31,10,8,3,7,5,0,0,0
2016-08-26,33,11,6,2,5,2,0,0,0
2016-08-27,31,5,3,6,3,6,0,0,0
2016-08-28,29,4,6,2,0,6,0,0,0
2016-08-29,40,5,10,4,2,3,0,0,0
2016-08-30,28,7,8,2,9,5,0,0,0
2016-08-31,26,5,7,5,5,1,0,0,0
2016-09-01,31,5,9,8,7,5,0,0,0
2016-09-02,31,6,9,4,4,4,0,0,0
2016-09-03,32,4,3,4,3,6,0,0,0
2016-09-04,29,5,4,3,2,3,0,0,0
2016-09-05,28,10,8,7,1,0,0,0,0
2016-09-06,46,8,13,9,7,6,0,0,0
2016-09-07,37,4,11,3,4,11,0,0,0
2016-09-08,32,7,8,3,5,6,0,0,0
2016-09-09,34,6,3,6,5,4,0,0,0
2016-09-10,35,5,1,3,0,5,0,0,0
2016-09-11,32,4,3,1,3,4,0,0,0
2016-09-12,41,7,9,9,6,3,0,0,0
2016-09-13,29,9,10,1,6,9,0,0,0
2016-09-14,27,4,4,3,11,5,0,0,0
2016-09-15,32,6,6,3,9,8,0,0,0
2016-09-16,31,4,10,5,3,5,0,0,0
2016-09-17,16,12,4,5,1,3,0,0,0
2016-09-18,17,2,8,5,2,3,0,0,0
2016-09-19,34,4,9,7,4,6,0,0,0
2016-09-20,26,3,2,3,0,7,0,0,0
2016-09-21,44,7,10,4,3,1,0,0,1
2016-09-22,27,3,11,6,7,6,0,0,0
2016-09-23,34,7,8,6,4,4,0,0,0
2016-09-24,35,6,9,3,1,9,0,0,0
2016-09-25,25,9,3,3,1,6,0,0,0
2016-09-26,30,7,10,4,9,1,0,0,0
2016-09-27,30,9,9,4,4,4,0,0,0
2016-09-28,41,5,8,4,6,9,0,1,0
2016-09-29,22,5,8,3,5,5,0,0,0
2016-09-30,34,3,4,3,1,6,0,0,0
2016-10-01,25,6,5,2,3,1,0,0,0
2016-10-02,23,8,3,1,2,9,0,0,0
2016-10-03,21,5,6,5,2,6,0,0,0
2016-10-04,27,2,5,3,5,4,0,0,1
2016-10-05,20,7,11,2,2,5,0,0,0
2016-10-06,13,2,9,2,3,1,0,0,0
2016-10-07,13,0,9,3,2,3,0,0,0
2016-10-08,27,6,9,3,1,10,0,0,0
2016-10-09,19,6,1,3,2,5,0,0,0
2016-10-10,29,2,10,3,8,4,0,0,0
2016-10-11,26,5,9,1,5,2,0,0,0
2016-10-12,33,6,5,3,8,7,0,0,0
2016-10-13,25,6,7,2,3,4,0,0,0
2016-10-14,33,7,5,2,7,8,0,0,0
2016-10-15,25,6,8,3,3,4,0,0,0
2016-10-16,21,6,2,4,0,0,0,0,0
2016-10-17,29,11,7,4,1,6,0,0,0
2016-10-18,20,7,8,2,4,11,0,0,0
2016-10-19,32,7,7,3,5,2,0,0,0
2016-10-20,23,8,2,6,2,4,0,0,0
2016-10-21,17,4,6,4,6,4,0,0,0
2016-10-22,26,5,8,4,1,3,0,0,0
2016-10-23,25,3,8,3,2,2,0,0,0
2016-10-24,32,1,10,2,3,3,0,0,0
2016-10-25,25,7,6,2,3,3,0,0,0
2016-10-26,25,5,6,1,1,3,0,0,0
2016-10-27,25,9,7,2,9,6,0,0,0
2016-10-28,25,5,7,4,3,3,0,0,0
2016-10-29,33,3,5,5,1,3,0,0,0
2016-10-30,37,11,6,3,6,3,0,0,0
2016-10-31,41,13,9,1,3,4,0,0,0
2016-11-01,36,10,7,9,2,7,0,0,0
2016-11-02,21,8,4,5,4,2,0,0,0
2016-11-03,30,7,9,4,7,6,0,0,0
2016-11-04,22,3,4,5,5,2,0,0,0
2016-11-05,34,7,7,2,4,1,0,0,0
2016-11-06,22,8,5,2,0,2,0,0,0
2016-11-07,22,9,8,5,5,2,0,0,0
2016-11-08,36,7,9,3,6,2,0,0,0
2016-11-09,28,4,6,0,4,1,0,0,0
2016-11-10,39,6,6,2,6,7,0,0,0
2016-11-11,21,4,9,2,1,4,0,0,0
2016-11-12,29,7,8,3,1,2,0,0,0
2016-11-13,20,5,6,3,2,6,0,0,0
2016-11-14,38,3,21,2,3,3,0,0,0
2016-11-15,43,10,13,5,6,6,0,0,0
2016-11-16,30,10,6,8,7,4,0,0,0
2016-11-17,25,4,15,3,4,5,0,0,0
2016-11-18,27,3,6,4,4,4,0,1,0
2016-11-19,27,8,4,2,2,8,0,0,0
2016-11-20,25,6,3,2,1,8,0,0,0
2016-11-21,40,3,13,4,2,5,0,0,0
2016-11-22,28,7,9,2,3,3,0,0,1
2016-11-23,31,7,5,3,5,1,0,0,1
2016-11-24,23,5,9,4,0,1,0,0,0
2016-11-25,29,5,7,0,2,4,0,0,0
2016-11-26,25,4,5,3,0,2,0,1,0
2016-11-27,19,8,10,4,1,2,0,1,0
2016-11-28,53,6,8,2,8,4,0,0,0
2016-11-29,25,8,4,7,8,7,0,0,0
2016-11-30,58,7,9,3,8,9,0,0,0
2016-12-01,41,6,8,3,7,2,0,0,0
2016-12-02,28,6,15,2,6,3,0,0,0
2016-12-03,30,6,2,6,0,7,0,0,0
2016-12-04,26,2,7,4,0,0,0,1,0
2016-12-05,43,4,12,6,0,2,0,1,0
2016-12-06,52,6,6,6,7,4,0,0,0
2016-12-07,27,6,7,2,6,4,0,0,0
2016-12-08,32,7,8,3,6,2,0,0,0
2016-12-09,43,4,5,6,9,3,0,0,0
2016-12-10,27,7,8,3,3,9,0,0,0
2016-12-11,25,8,10,2,3,1,0,1,0
2016-12-12,43,6,12,6,4,7,0,0,0
2016-12-13,27,6,7,2,7,5,0,0,0
2016-12-14,26,5,8,2,6,4,0,0,0
2016-12-15,33,7,11,1,7,5,0,0,0
2016-12-16,29,9,10,3,6,3,0,0,0
2016-12-17,21,7,6,2,2,5,0,0,0
2016-12-18,30,1,9,6,1,3,0,0,0
2016-12-19,29,6,5,3,5,2,0,0,0
2016-12-20,53,8,8,3,9,7,0,0,0
2016-12-21,32,3,9,2,3,9,1,0,0
2016-12-22,36,5,4,1,6,8,0,0,0
2016-12-23,36,5,10,7,3,5,0,0,0
2016-12-24,18,6,5,4,1,3,0,0,0
2016-12-25,15,5,8,6,0,4,0,0,0
2016-12-26,17,6,9,6,3,5,0,0,0
2016-12-27,56,4,10,3,8,8,0,0,0
2016-12-28,30,4,9,4,9,13,0,0,0
2016-12-29,33,6,5,3,10,6,0,0,0
2016-12-30,39,2,11,3,1,2,0,1,0
2016-12-31,15,10,5,3,1,6,0,0,0
2017-01-01,34,7,1,2,1,3,0,0,0
2017-01-02,24,7,2,3,1,6,0,0,0
2017-01-03,36,7,8,3,6,11,0,0,0
2017-01-04,36,3,5,2,5,6,0,0,0
2017-01-05,34,8,10,3,3,6,0,0,0
2017-01-06,28,7,14,1,4,2,0,0,0
2017-01-07,25,3,5,4,3,0,0,0,0
2017-01-08,21,2,5,0,2,3,0,0,0
2017-01-09,25,2,8,1,5,2,1,1,0
2017-01-10,35,5,10,4,4,4,0,0,0
2017-01-11,29,4,10,2,11,3,0,0,0
2017-01-12,25,5,10,3,3,2,0,0,0
2017-01-13,30,6,5,3,5,5,0,0,0
2017-01-14,28,5,7,2,1,1,0,0,0
2017-01-15,26,9,3,2,1,2,0,0,0
2017-01-16,40,5,11,2,3,2,0,0,0
2017-01-17,28,5,10,5,5,5,0,0,0
2017-01-18,42,5,9,4,4,7,0,0,0
2017-01-19,44,7,10,4,4,2,0,0,0
2017-01-20,23,1,7,4,4,2,0,0,0
2017-01-21,31,9,3,3,3,9,0,0,0
2017-01-22,19,5,7,6,1,3,0,0,0
2017-01-23,46,6,15,4,5,8,0,1,0
2017-01-24,37,4,14,2,5,5,0,0,0
2017-01-25,24,8,16,4,5,5,0,1,0
2017-01-26,35,7,11,7,10,8,0,0,0
2017-01-27,33,4,5,2,6,3,1,0,0
2017-01-28,17,7,9,4,2,8,0,0,0
2017-01-29,34,8,8,7,2,1,0,0,0
2017-01-30,31,4,6,5,3,5,0,0,0
2017-01-31,15,5,6,1,3,5,0,0,0
2017-02-01,43,10,5,0,7,10,0,0,0
2017-02-02,35,2,9,3,9,10,0,0,0
2017-02-03,26,9,6,4,3,3,0,0,0
2017-02-04,24,8,2,4,2,6,0,0,0
2017-02-05,19,6,4,3,3,1,0,0,0
2017-02-06,43,5,9,2,3,5,0,0,0
2017-02-07,36,3,9,1,4,11,0,0,0
2017-02-08,23,8,10,6,2,3,0,0,0
2017-02-09,36,1,8,4,8,4,0,0,0
2017-02-10,26,6,2,5,12,6,0,0,0
2017-02-11,47,7,7,7,1,8,0,0,0
2017-02-12,23,4,7,4,1,4,0,0,0
2017-02-13,42,6,5,3,9,5,1,0,0
2017-02-14,34,7,11,3,5,4,0,0,0
2017-02-15,33,12,7,3,3,6,0,0,0
2017-02-16,34,5,8,1,6,5,0,0,0
2017-02-17,14,6,10,2,3,6,0,0,0
2017-02-18,32,9,6,6,2,6,0,0,0
2017-02-19,26,7,5,5,1,3,0,0,0
2017-02-20,50,4,9,5,3,6,0,0,0
2017-02-21,36,2,5,5,3,3,0,0,0
2017-02-22,45,4,11,3,6,2,0,0,0
2017-02-23,19,3,5,2,3,2,0,0,0
2017-02-24,31,7,5,3,4,6,0,0,0
2017-02-25,14,7,2,6,0,7,0,0,0
2017-02-26,27,10,3,6,2,5,0,0,0
2017-02-27,32,10,10,5,7,4,0,0,0
2017-02-28,44,7,5,5,3,9,0,0,0
2017-03-01,21,5,7,4,3,12,0,0,0
2017-03-02,28,3,3,3,5,8,0,0,0
2017-03-03,20,3,7,6,2,7,0,0,0
2017-03-04,25,6,2,10,1,4,0,0,0
2017-03-05,29,4,3,4,1,3,0,0,0
2017-03-06,24,2,9,5,6,5,0,0,1
2017-03-07,32,6,11,3,4,11,0,0,0
2017-03-08,35,9,4,5,5,6,0,0,0
2017-03-09,30,8,4,4,4,9,0,0,0
2017-03-10,28,8,5,4,2,7,0,1,0
2017-03-11,32,6,3,3,2,10,0,0,0
2017-03-12,24,3,1,2,0,6,0,0,0
2017-03-13,35,8,10,2,2,5,0,0,0
2017-03-14,36,9,9,3,3,7,1,0,0
2017-03-15,25,3,8,2,4,7,0,0,0
2017-03-16,37,1,4,6,8,3,0,0,0
2017-03-17,36,8,5,2,3,4,0,0,0
2017-03-18,30,7,3,3,0,5,0,0,0
2017-03-19,29,10,5,5,0,1,0,0,0
2017-03-20,43,6,10,4,4,5,0,0,0
2017-03-21,37,7,5,3,6,5,0,1,0
2017-03-22,51,5,7,4,10,4,0,0,0
2017-03-23,36,5,7,5,4,2,0,0,0
2017-03-24,53,7,7,7,2,10,0,0,0
2017-03-25,48,3,3,4,4,10,0,1,0
2017-03-26,32,5,6,7,0,7,1,1,0
2017-03-27,31,2,6,3,5,6,0,1,0
2017-03-28,21,5,3,4,3,7,0,0,0
2017-03-29,46,6,5,9,4,6,0,0,0
2017-03-30,31,11,8,5,6,5,0,0,0
2017-03-31,30,6,4,2,7,5,0,0,0
2017-04-01,24,4,3,1,2,6,0,0,0
2017-04-02,31,8,5,2,1,4,0,0,0
2017-04-03,44,7,14,1,5,6,0,0,0
2017-04-04,33,5,11,4,6,7,0,0,0
2017-04-05,41,6,7,1,1,1,0,0,0
2017-04-06,35,5,4,5,6,7,1,0,0
2017-04-07,40,9,6,3,4,4,0,0,0
2017-04-08,26,4,5,4,2,6,1,0,0
2017-04-09,27,6,3,4,0,11,0,0,0
2017-04-10,48,3,4,7,5,6,0,0,0
2017-04-11,35,5,6,3,3,7,0,0,0
2017-04-12,46,6,8,9,2,8,0,0,0
2017-04-13,33,7,8,2,7,9,0,0,0
2017-04-14,32,4,2,2,8,1,1,0,0
2017-04-15,33,11,3,2,2,3,0,0,0
2017-04-16,25,5,4,4,3,3,0,0,0
2017-04-17,31,4,7,2,2,3,0,0,0
2017-04-18,34,6,5,1,3,7,0,0,0
2017-04-19,47,8,10,7,10,7,0,0,0
2017-04-20,30,5,13,4,0,11,0,0,0
2017-04-21,33,7,11,2,4,6,0,0,0
2017-04-22,32,10,8,1,2,9,0,0,0
2017-04-23,37,8,5,2,3,5,0,0,0
2017-04-24,43,9,8,3,3,4,1,0,0
2017-04-25,34,9,5,1,5,3,0,1,0
2017-04-26,43,4,1,1,4,6,0,0,0
2017-04-27,44,5,8,1,1,3,0,0,0
2017-04-28,32,5,7,2,4,8,0,0,0
2017-04-29,44,7,3,3,0,6,0,0,0
2017-04-30,40,5,5,3,1,5,0,0,0
2017-05-01,45,6,10,2,9,1,0,0,0
2017-05-02,39,6,9,3,8,3,0,0,0
2017-05-03,25,2,12,5,7,3,0,0,0
2017-05-04,41,6,6,3,3,5,0,0,0
2017-05-05,33,8,5,7,7,2,0,0,0
2017-05-06,30,12,2,2,1,5,0,0,0
2017-05-07,19,8,7,3,1,4,1,0,0
2017-05-08,43,6,6,2,5,4,0,0,0
2017-05-09,44,5,9,3,4,7,0,0,0
2017-05-10,33,5,11,4,3,4,0,0,0
2017-05-11,35,6,8,2,3,11,0,0,0
2017-05-12,41,4,8,6,3,5,1,0,0
2017-05-13,26,7,1,8,1,3,0,0,0
2017-05-14,27,5,7,2,0,1,0,1,0
2017-05-15,34,9,6,2,4,6,0,0,1
2017-05-16,35,4,8,0,7,10,0,1,0
2017-05-17,48,4,9,6,5,3,0,0,0
2017-05-18,40,7,11,3,6,5,0,0,0
2017-05-19,41,8,11,5,5,1,0,0,0
2017-05-20,29,3,5,5,0,11,0,0,0
2017-05-21,35,7,5,4,1,3,0,0,0
2017-05-22,28,4,10,5,4,5,0,0,0
2017-05-23,32,6,7,3,5,4,0,0,0
2017-05-24,33,5,14,4,1,5,0,0,0
2017-05-25,54,6,7,7,3,6,0,0,0
2017-05-26,42,5,7,2,1,2,0,0,0
2017-05-27,32,7,1,5,1,4,0,0,1
2017-05-28,28,3,6,3,3,2,0,0,0
2017-05-29,40,9,3,6,1,6,0,0,0
2017-05-30,59,9,17,2,5,4,0,0,0
2017-05-31,40,6,12,8,2,4,0,0,0
2017-06-01,39,3,6,3,2,5,0,0,0
2017-06-02,33,3,3,6,6,5,0,0,0
2017-06-03,36,4,11,0,0,10,0,0,0
2017-06-04,22,5,9,4,2,4,0,0,0
2017-06-05,32,6,10,1,6,4,0,0,0
2017-06-06,41,4,6,1,4,4,0,0,0
2017-06-07,42,6,9,7,6,4,0,0,0
2017-06-08,33,4,8,0,4,6,0,0,0
2017-06-09,32,5,12,2,7,7,0,0,0
2017-06-10,28,8,2,4,1,6,0,0,1
2017-06-11,26,3,5,0,0,4,0,0,0
2017-06-12,50,6,13,4,8,7,0,0,0
2017-06-13,42,1,5,5,7,2,0,0,0
2017-06-14,39,4,9,0,5,6,0,0,0
2017-06-15,28,8,2,5,3,5,0,0,0
2017-06-16,27,3,12,2,8,0,0,0,0
2017-06-17,33,2,6,7,2,2,0,0,0
2017-06-18,27,8,5,4,0,1,0,0,0
2017-06-19,49,8,5,5,2,4,0,0,0
2017-06-20,59,4,6,4,6,5,0,0,0
2017-06-21,51,5,4,2,8,8,0,0,0
2017-06-22,43,4,6,6,3,9,0,0,0
2017-06-23,36,1,12,5,7,7,0,0,0
2017-06-24,32,8,8,2,0,2,0,0,0
2017-06-25,31,5,6,3,0,3,0,0,0
2017-06-26,32,6,8,1,5,3,0,0,0
2017-06-27,22,2,8,1,2,7,0,0,0
2017-06-28,43,7,14,5,3,5,0,0,0
2017-06-29,46,4,12,3,3,6,0,0,0
2017-06-30,36,6,5,2,5,1,0,0,0
2017-07-01,28,3,3,3,2,9,0,0,0
2017-07-02,23,5,5,4,1,2,0,0,0
2017-07-03,29,5,12,3,6,2,0,0,0
2017-07-04,18,2,6,6,2,0,0,0,0
2017-07-05,41,3,12,3,8,4,0,0,0
2017-07-06,40,4,3,2,5,4,0,0,1
2017-07-07,34,6,5,4,5,4,0,0,0
2017-07-08,29,6,4,2,0,2,0,0,0
2017-07-09,21,3,2,1,1,1,0,0,0
2017-07-10,41,3,6,3,6,4,0,0,0
2017-07-11,39,4,7,1,2,1,0,0,0
2017-07-12,36,9,3,4,4,1,0,0,0
2017-07-13,57,6,17,6,5,4,0,1,0
2017-07-14,37,11,7,1,3,7,0,0,0
2017-07-15,37,3,4,4,1,4,0,0,0
2017-07-16,36,8,4,2,0,2,0,0,0
2017-07-17,36,5,7,5,8,3,0,0,0
2017-07-18,30,0,5,2,5,2,0,0,0
2017-07-19,37,1,7,3,6,5,0,0,0
2017-07-20,28,4,5,3,6,4,0,0,0
2017-07-21,37,4,11,1,4,4,0,0,0
2017-07-22,32,6,2,3,3,3,0,0,0
2017-07-23,29,6,8,0,1,2,0,0,0
2017-07-24,31,6,12,3,4,4,0,0,0
2017-07-25,53,11,7,3,4,4,0,0,0
2017-07-26,55,2,7,4,4,1,0,0,0
2017-07-27,44,7,3,4,2,3,0,1,0
2017-07-28,28,10,3,1,4,12,0,0,0
2017-07-29,32,4,4,3,1,5,0,0,0
2017-07-30,19,5,4,3,2,10,1,0,0
2017-07-31,31,5,12,5,2,2,0,0,0
2017-08-01,38,4,9,2,7,4,0,0,0
2017-08-02,25,5,4,4,3,2,0,0,0
2017-08-03,31,4,6,3,6,4,0,0,0
2017-08-04,30,4,7,1,5,7,1,0,0
2017-08-05,28,9,15,1,1,3,0,0,0
2017-08-06,39,9,6,4,3,1,0,0,0
2017-08-07,33,6,11,3,7,3,0,1,0
2017-08-08,50,4,3,2,3,4,0,0,0
2017-08-09,43,6,9,7,6,0,0,0,0
2017-08-10,32,4,6,4,1,7,0,0,0
2017-08-11,33,5,5,5,2,4,0,0,0
2017-08-12,29,5,4,2,0,3,0,0,0
2017-08-13,24,10,3,9,1,5,0,0,0
2017-08-14,35,11,5,2,7,2,0,0,0
2017-08-15,31,3,6,5,3,3,0,0,0
2017-08-16,40,5,10,1,3,3,0,0,0
2017-08-17,45,4,10,6,4,8,1,0,0
2017-08-18,37,7,2,3,7,6,0,0,0
2017-08-19,29,3,5,4,1,4,0,0,0
2017-08-20,16,12,5,2,1,1,0,0,0
2017-08-21,37,8,9,3,4,3,0,0,0
2017-08-22,29,7,10,4,1,7,0,0,0
2017-08-23,39,6,9,4,1,6,1,0,0
2017-08-24,28,3,4,3,3,2,0,0,0
2017-08-25,25,9,3,1,6,5,0,0,0
2017-08-26,25,8,10,0,2,6,0,0,0
2017-08-27,30,10,4,0,0,2,0,0,0
2017-08-28,34,9,9,3,6,2,0,0,0
2017-08-29,35,5,5,0,3,8,0,0,0
2017-08-30,41,10,6,2,6,4,0,0,0
2017-08-31,27,4,4,4,6,6,0,0,0
2017-09-01,17,4,7,3,3,4,0,0,0
2017-09-02,20,6,7,1,2,2,0,0,0
2017-09-03,38,4,8,3,3,2,0,0,0
2017-09-04,48,6,4,6,0,0,0,0,0
2017-09-05,39,3,5,6,5,7,0,0,0
2017-09-06,29,7,5,6,4,1,0,0,0
2017-09-07,48,6,9,5,8,6,0,0,0
2017-09-08,25,1,2,1,4,5,0,0,0
2017-09-09,27,7,4,2,0,4,0,0,0
2017-09-10,6,4,5,0,0,2,0,0,0
2017-09-11,9,3,30,1,1,1,0,0,0
2017-09-12,24,6,8,3,1,4,0,0,0
2017-09-13,41,5,6,4,1,5,1,0,0
2017-09-14,27,2,5,5,5,4,0,0,0
2017-09-15,35,4,8,2,7,1,1,0,0
2017-09-16,24,12,5,6,1,1,0,0,0
2017-09-17,19,12,3,1,2,2,0,0,0
2017-09-18,40,8,6,8,5,4,0,0,0
2017-09-19,38,5,4,5,1,7,0,0,0
2017-09-20,33,2,6,4,2,8,0,0,0
2017-09-21,31,5,7,0,5,7,0,0,0
2017-09-22,31,6,6,4,2,4,1,0,0
2017-09-23,24,2,2,5,0,9,0,0,0
2017-09-24,23,6,4,3,2,4,0,0,0
2017-09-25,29,6,8,4,6,4,0,0,0
2017-09-26,20,6,12,2,4,4,0,0,0
2017-09-27,26,7,6,1,3,10,0,0,0
2017-09-28,26,11,9,3,4,3,0,0,0
2017-09-29,31,4,6,2,9,6,0,0,0
2017-09-30,26,8,10,3,2,2,0,0,0
2017-10-01,23,8,4,3,1,3,0,0,0
2017-10-02,30,6,7,2,5,1,0,0,0
2017-10-03,31,9,8,1,5,2,0,0,0
2017-10-04,22,8,6,3,3,5,0,0,0
2017-10-05,34,8,6,5,5,1,0,0,0
2017-10-06,28,7,8,7,4,8,0,0,0
2017-10-07,33,5,3,4,3,9,0,0,0
2017-10-08,25,7,4,5,2,7,0,0,0
2017-10-09,22,5,7,4,5,6,0,0,0
2017-10-10,30,4,7,5,7,4,0,0,0
2017-10-11,24,8,7,4,5,7,0,0,0
2017-10-12,25,9,4,4,1,5,0,0,0
2017-10-13,25,8,6,3,6,7,0,0,0
2017-10-14,26,9,5,6,4,6,0,0,0
2017-10-15,27,10,6,5,2,4,0,0,0
2017-10-16,37,3,7,5,3,1,0,0,0
2017-10-17,38,6,6,5,4,8,0,0,0
2017-10-18,27,6,2,2,8,4,0,0,0
2017-10-19,42,6,5,3,5,8,0,0,0
2017-10-20,34,9,1,0,3,1,0,1,0
2017-10-21,36,9,6,2,4,1,0,0,0
2017-10-22,23,10,3,4,1,3,0,0,0
2017-10-23,34,7,6,4,4,1,0,0,0
2017-10-24,39,9,1,3,3,8,0,1,1
2017-10-25,32,5,6,6,7,4,0,0,0
2017-10-26,40,14,6,1,4,9,0,0,0
2017-10-27,31,10,6,4,7,8,0,0,0
2017-10-28,33,10,5,4,1,7,0,0,0
2017-10-29,34,15,8,4,1,3,0,0,0
2017-10-30,44,0,13,6,7,2,0,0,0
2017-10-31,26,5,4,1,5,6,0,1,0
2017-11-01,27,11,8,1,4,3,0,1,0
2017-11-02,29,7,5,4,6,2,0,0,0
2017-11-03,38,5,8,1,10,7,0,0,0
2017-11-04,16,4,5,3,0,4,0,0,0
2017-11-05,20,0,9,3,1,6,0,0,0
2017-11-06,52,9,5,6,5,2,0,0,0
2017-11-07,29,6,5,7,4,3,0,0,0
2017-11-08,36,4,7,5,5,3,0,0,0
2017-11-09,36,5,3,3,3,4,0,0,0
2017-11-10,30,10,7,6,5,4,0,0,0
2017-11-11,41,12,5,8,0,2,0,0,0
2017-11-12,55,20,4,4,1,2,0,0,0
2017-11-13,46,10,7,3,5,3,0,0,0
2017-11-14,51,14,4,4,6,5,0,0,0
2017-11-15,54,8,6,5,4,4,1,0,0
2017-11-16,50,9,8,3,2,8,0,0,0
2017-11-17,48,6,7,9,1,5,0,0,0
2017-11-18,38,6,10,3,3,8,0,0,0
2017-11-19,20,12,1,4,1,11,0,0,0
2017-11-20,44,8,5,5,8,5,0,0,0
2017-11-21,36,6,6,2,5,4,0,0,0
2017-11-22,40,5,3,2,4,4,0,0,0
2017-11-23,20,4,4,5,0,3,0,0,0
2017-11-24,22,4,11,0,1,5,0,0,0
2017-11-25,26,9,2,3,0,4,0,0,0
2017-11-26,35,2,3,2,1,2,0,0,0
2017-11-27,45,7,10,5,6,4,0,1,0
2017-11-28,42,8,3,6,3,4,0,1,1
2017-11-29,55,6,4,3,3,7,0,0,0
2017-11-30,42,7,5,3,4,3,0,0,0
2017-12-01,35,4,5,2,4,3,0,0,0
2017-12-02,43,8,3,3,1,5,0,0,0
2017-12-03,25,6,2,2,0,3,0,1,0
2017-12-04,48,8,3,1,7,5,1,0,0
2017-12-05,39,12,8,3,5,6,0,0,0
2017-12-06,38,4,10,3,4,5,0,0,0
2017-12-07,40,5,6,2,4,5,0,0,0
2017-12-08,44,3,5,6,5,4,0,0,1
2017-12-09,22,5,6,3,3,2,0,0,0
2017-12-10,32,9,6,2,2,4,0,0,0
2017-12-11,40,5,9,3,3,1,0,0,0
2017-12-12,25,5,5,2,4,7,0,0,0
2017-12-13,28,5,4,4,5,4,0,0,0
2017-12-14,36,7,8,7,7,9,0,1,0
2017-12-15,36,7,3,4,4,6,0,0,0
2017-12-16,24,4,4,1,2,7,0,0,0
2017-12-17,46,12,6,1,2,5,0,0,0
2017-12-18,63,9,4,2,3,5,0,0,0
2017-12-19,46,4,7,4,5,9,0,0,0
2017-12-20,32,6,5,1,6,6,0,0,0
2017-12-21,37,6,7,5,7,6,0,0,0
2017-12-22,42,5,4,2,5,5,0,0,0
2017-12-23,33,3,0,2,1,7,0,0,0
2017-12-24,20,11,5,2,0,0,0,0,0
2017-12-25,15,5,3,2,0,3,0,0,0
2017-12-26,32,9,0,3,2,3,0,0,0
2017-12-27,43,4,5,5,8,5,0,0,0
2017-12-28,40,6,4,2,5,8,0,0,0
2017-12-29,22,7,2,3,4,3,0,0,0
2017-12-30,21,2,6,1,1,6,0,0,0
2017-12-31,10,2,4,1,0,3,0,0,0
