Case Date,LARCENY-THEFT,AGGRAVATED ASSAULT,BURGLARY,MOTOR VEHICLE THEFT,FRAUD,DRUG OFFENSE,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC
2015-05-04,34,7,9,5,8,0,0,0,0
2015-05-05,30,8,9,5,6,4,0,0,0
2015-05-06,44,5,14,4,1,8,0,0,0
2015-05-07,32,8,3,2,8,6,0,0,0
2015-05-08,29,3,8,2,1,8,0,0,0
2015-05-09,23,5,8,3,2,7,0,0,0
2015-05-10,37,7,9,1,1,4,1,0,0
2015-05-11,37,8,9,4,5,6,0,0,0
2015-05-12,43,2,8,1,8,11,0,0,0
2015-05-13,27,9,11,4,7,11,1,0,0
2015-05-14,25,8,5,1,4,12,0,0,0
2015-05-15,40,8,7,2,4,10,0,0,0
2015-05-16,30,15,5,3,2,3,0,0,0
2015-05-17,29,10,3,2,1,5,0,0,0
2015-05-18,38,6,12,1,8,11,0,0,0
2015-05-19,30,8,15,3,5,8,0,0,0
2015-05-20,36,9,7,2,5,5,0,0,1
2015-05-21,24,5,11,4,3,5,0,0,0
2015-05-22,36,11,9,6,3,3,0,0,0
2015-05-23,33,15,8,0,2,4,0,0,0
2015-05-24,32,12,4,1,3,6,0,0,0
2015-05-25,37,8,11,3,5,3,0,0,1
2015-05-26,43,8,7,1,4,5,0,0,0
2015-05-27,30,9,11,3,9,10,0,0,0
2015-05-28,35,9,8,4,4,10,0,0,1
2015-05-29,21,7,5,1,3,6,0,0,0
2015-05-30,23,9,5,1,1,3,0,0,0
2015-05-31,17,7,2,4,3,2,0,0,0
2015-06-01,39,8,9,1,2,3,1,0,0
2015-06-02,47,3,16,1,13,6,0,0,0
2015-06-03,37,15,13,8,6,3,1,0,0
2015-06-04,25,8,8,2,5,10,0,0,0
2015-06-05,35,6,7,3,2,5,0,0,0
2015-06-06,34,16,6,1,2,5,0,0,0
2015-06-07,27,11,5,3,1,2,1,0,0
2015-06-08,46,7,8,4,6,3,0,1,0
2015-06-09,33,8,9,0,7,4,0,0,0
2015-06-10,32,2,7,10,12,6,0,0,0
2015-06-11,40,6,11,3,5,7,1,0,0
2015-06-12,34,5,6,1,8,7,0,0,0
2015-06-13,28,11,5,2,0,4,0,0,0
2015-06-14,26,8,3,1,0,3,0,0,0
2015-06-15,55,11,9,3,10,4,0,0,0
2015-06-16,31,3,16,4,5,3,0,0,0
2015-06-17,28,5,3,4,4,6,0,0,0
2015-06-18,42,6,17,3,5,11,0,0,0
2015-06-19,37,5,12,4,7,5,0,0,0
2015-06-20,27,8,7,2,3,6,0,0,0
2015-06-21,26,8,5,6,0,3,0,0,0
2015-06-22,27,6,7,4,3,5,0,0,1
2015-06-23,40,4,12,2,5,6,0,0,0
2015-06-24,33,7,11,4,4,4,0,0,0
2015-06-25,24,3,5,5,6,8,0,0,0
2015-06-26,41,7,5,1,5,10,0,0,0
2015-06-27,26,5,8,1,2,4,0,0,0
2015-06-28,36,6,9,4,1,3,0,0,0
2015-06-29,56,7,11,4,7,5,1,0,0
2015-06-30,30,5,11,9,6,5,0,0,0
2015-07-01,37,3,5,1,5,6,0,0,0
2015-07-02,26,5,11,3,3,4,0,0,0
2015-07-03,32,10,8,1,5,8,0,0,0
2015-07-04,30,10,4,4,2,5,0,0,0
2015-07-05,32,15,5,3,1,1,0,0,0
2015-07-06,36,10,13,0,8,2,0,0,0
2015-07-07,48,5,10,3,9,6,0,0,0
2015-07-08,46,3,5,2,6,8,0,0,0
2015-07-09,38,4,8,4,3,6,0,0,1
2015-07-10,39,9,8,4,6,6,0,0,0
2015-07-11,29,13,9,2,1,2,0,0,0
2015-07-12,23,10,8,1,0,2,0,0,0
2015-07-13,36,10,9,4,6,3,0,0,0
2015-07-14,36,1,9,6,4,5,0,0,0
2015-07-15,34,12,7,1,5,4,0,0,0
2015-07-16,25,13,9,3,9,3,0,1,0
2015-07-17,35,5,6,6,4,6,0,1,0
2015-07-18,36,4,5,3,2,1,0,0,0
2015-07-19,30,7,11,3,2,4,0,1,0
2015-07-20,35,9,17,6,5,5,0,0,0
2015-07-21,40,8,9,6,5,9,0,0,0
2015-07-22,35,11,9,1,3,5,0,0,0
2015-07-23,35,6,11,5,8,5,0,0,0
2015-07-24,47,8,9,4,5,8,0,0,0
2015-07-25,31,6,15,0,4,3,0,0,0
2015-07-26,28,8,8,2,1,1,0,0,0
2015-07-27,38,5,18,6,10,4,0,0,0
2015-07-28,37,7,9,2,6,7,0,0,3
2015-07-29,41,10,11,2,5,1,0,0,0
2015-07-30,27,6,7,9,6,4,0,0,0
2015-07-31,39,6,7,3,8,5,0,2,0
2015-08-01,17,5,10,4,0,4,0,0,0
2015-08-02,27,9,7,2,3,2,0,0,0
2015-08-03,33,4,17,4,8,4,0,0,0
2015-08-04,29,7,10,3,7,9,0,0,0
2015-08-05,41,7,4,7,12,10,0,0,0
2015-08-06,42,8,7,3,2,5,0,0,0
2015-08-07,45,5,8,5,0,7,0,0,0
2015-08-08,22,14,2,1,2,6,0,0,0
2015-08-09,33,10,7,1,2,4,0,0,0
2015-08-10,36,7,11,7,8,11,0,0,0
2015-08-11,36,9,8,8,7,8,0,0,0
2015-08-12,35,6,7,3,3,5,0,0,0
2015-08-13,30,7,8,5,3,4,0,0,0
2015-08-14,26,5,10,2,10,5,0,1,0
2015-08-15,25,6,8,1,1,3,0,0,0
2015-08-16,35,6,6,2,3,5,0,0,0
2015-08-17,40,5,17,4,3,0,0,0,0
2015-08-18,44,6,8,3,3,4,0,0,0
2015-08-19,39,5,6,7,6,4,0,0,0
2015-08-20,34,12,5,4,5,4,1,0,0
2015-08-21,23,6,8,4,7,5,0,0,0
2015-08-22,27,9,4,1,1,0,0,0,0
2015-08-23,21,10,8,2,1,5,0,0,0
2015-08-24,35,3,6,2,4,3,0,0,0
2015-08-25,30,6,4,2,10,6,0,0,0
2015-08-26,30,7,2,3,4,3,0,0,0
2015-08-27,29,9,7,3,4,4,0,1,0
2015-08-28,22,7,11,2,3,7,1,0,0
2015-08-29,22,6,8,7,0,6,0,0,0
2015-08-30,22,10,7,6,0,5,0,0,0
2015-08-31,22,8,15,3,9,1,0,0,0
2015-09-01,27,4,5,1,6,9,0,0,1
2015-09-02,15,3,4,8,7,6,0,0,0
2015-09-03,34,4,10,4,4,13,0,0,0
2015-09-04,25,11,9,4,6,11,0,0,0
2015-09-05,24,9,5,0,1,7,0,1,0
2015-09-06,20,8,5,4,0,4,0,0,0
2015-09-07,30,12,5,4,0,3,0,0,0
2015-09-08,40,4,6,1,9,9,0,0,0
2015-09-09,28,7,11,3,6,10,0,0,0
2015-09-10,39,6,8,4,8,12,0,0,0
2015-09-11,18,4,9,5,6,10,0,1,0
2015-09-12,24,13,5,1,1,8,0,0,0
2015-09-13,18,4,9,2,0,5,0,0,0
2015-09-14,41,10,13,5,6,6,0,0,0
2015-09-15,37,10,6,2,0,7,0,0,0
2015-09-16,22,6,10,5,7,6,1,0,0
2015-09-17,32,6,5,2,6,17,0,0,0
2015-09-18,34,6,8,4,4,6,0,1,0
2015-09-19,18,7,5,2,1,7,0,0,0
2015-09-20,36,10,4,2,2,3,0,0,0
2015-09-21,38,4,10,3,6,2,0,0,0
2015-09-22,30,7,7,2,8,6,0,0,0
2015-09-23,18,10,6,3,6,4,0,0,0
2015-09-24,28,10,3,7,2,5,0,0,0
2015-09-25,28,8,4,1,3,4,0,0,0
2015-09-26,23,7,6,3,1,7,0,1,0
2015-09-27,25,6,7,6,2,4,0,0,0
2015-09-28,46,10,12,6,3,3,0,0,0
2015-09-29,27,5,15,4,6,6,0,0,0
2015-09-30,30,2,8,1,9,14,0,0,0
2015-10-01,20,12,8,3,5,8,0,0,0
2015-10-02,25,8,8,2,5,14,2,0,0
2015-10-03,23,9,5,4,3,4,0,0,0
2015-10-04,23,12,4,3,2,1,0,0,0
2015-10-05,44,5,10,6,11,2,0,0,0
2015-10-06,20,11,12,3,5,15,0,0,0
2015-10-07,25,3,8,3,4,6,0,0,0
2015-10-08,27,7,9,1,12,3,0,0,0
2015-10-09,29,6,7,3,7,4,0,0,0
2015-10-10,26,4,5,0,4,8,0,0,0
2015-10-11,30,6,8,5,1,2,0,0,1
2015-10-12,40,4,7,3,9,5,0,0,0
2015-10-13,23,9,6,1,5,3,0,0,0
2015-10-14,29,6,4,2,4,7,0,0,0
2015-10-15,36,6,10,0,2,11,0,0,0
2015-10-16,31,9,13,6,6,1,0,0,0
2015-10-17,23,7,7,3,2,4,0,1,0
2015-10-18,22,9,2,0,1,5,0,0,1
2015-10-19,44,3,4,8,5,1,0,0,0
2015-10-20,24,7,9,5,4,4,0,0,0
2015-10-21,25,8,8,2,11,7,0,0,0
2015-10-22,26,8,7,7,10,4,0,0,0
2015-10-23,33,4,9,4,11,4,0,0,1
2015-10-24,29,10,9,1,1,6,0,0,0
2015-10-25,39,12,11,6,0,5,0,0,0
2015-10-26,40,9,8,3,7,5,0,0,0
2015-10-27,32,9,7,3,6,6,0,0,0
2015-10-28,47,5,7,0,4,13,0,0,1
2015-10-29,32,8,9,1,8,8,0,0,0
2015-10-30,41,5,8,3,0,9,0,0,0
2015-10-31,34,10,7,2,0,3,0,0,0
