Case Offense Category,Category Final
Theft,LARCENY-THEFT
Assault,AGGRAVATED ASSAULT
Robbery,LARCENY-THEFT
Burglary,BURGLARY
Vehicle Theft,MOTOR VEHICLE THEFT
Fraud,FRAUD
Narcotics,DRUG OFFENSE
Arson,ARSON
Homicide,MURDER AND NON-NEGLIGENT MANSLAUGHTER
Embezzlement,FRAUD
Kidnapping,MISC
