Date,MOTOR VEHICLE THEFT,LARCENY-THEFT,RAPE,DRUG OFFENSE,BURGLARY,AGGRAVATED ASSAULT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ROBBERY,ARSON
02/11/2016,12,67,0,4,20,6,0,3,0
02/11/2017,11,64,3,4,24,4,0,4,0
02/11/2018,12,65,0,4,13,6,0,5,0
02/12/2016,16,62,1,5,36,8,0,2,0
02/12/2017,16,51,1,3,20,2,0,0,0
02/12/2018,18,53,1,8,25,5,1,5,0
02/13/2016,13,45,0,4,20,6,1,4,0
02/13/2017,18,60,1,7,37,5,1,4,0
02/13/2018,14,59,0,6,20,6,1,3,0
02/14/2016,12,57,0,3,17,6,0,4,0
02/14/2017,20,75,2,6,33,8,0,3,0
02/14/2018,17,64,2,6,20,6,0,8,0
02/15/2016,11,53,1,3,18,2,0,2,0
02/15/2017,16,63,2,2,41,6,0,4,1
02/15/2018,13,62,0,9,18,8,1,7,0
02/16/2016,17,50,0,8,24,6,0,4,0
02/16/2017,15,60,2,6,24,4,0,1,0
02/16/2018,8,72,1,7,24,8,0,3,0
02/17/2016,16,52,1,5,30,7,1,7,0
02/17/2017,14,74,1,5,32,5,0,4,0
02/17/2018,9,59,2,3,23,9,0,2,0
02/18/2016,15,62,3,11,31,6,2,7,0
02/18/2017,15,73,3,2,33,3,0,3,0
02/18/2018,18,51,3,10,15,7,1,2,1
02/19/2016,18,69,3,8,23,4,0,2,0
02/19/2017,17,67,2,3,24,9,1,5,0
02/19/2018,13,78,2,6,21,0,0,4,1
02/20/2016,17,64,2,5,21,6,1,5,0
02/20/2017,10,68,1,4,21,6,1,3,0
02/20/2018,19,75,2,6,17,4,0,4,0
02/21/2016,21,49,1,4,13,4,0,2,0
02/21/2017,11,74,2,3,22,9,0,6,1
02/21/2018,16,77,1,5,20,6,0,1,1
02/22/2016,20,57,0,3,25,3,0,1,1
02/22/2017,18,67,2,6,27,6,0,1,0
02/22/2018,12,54,0,3,24,3,0,4,0
02/23/2016,22,66,0,3,30,6,2,2,0
02/23/2017,16,58,0,6,26,4,0,3,0
02/23/2018,16,65,4,7,23,7,0,3,0
02/24/2016,14,61,0,6,34,5,0,4,0
02/24/2017,9,59,2,6,30,3,0,4,1
02/24/2018,15,54,1,4,25,3,0,0,0
02/25/2016,15,59,3,5,27,5,0,1,0
02/25/2017,13,49,5,6,19,8,0,0,0
02/25/2018,14,59,1,3,16,9,0,6,0
02/26/2016,18,59,3,7,24,2,0,3,0
02/26/2017,16,51,1,4,23,5,0,6,1
02/26/2018,16,73,0,4,18,5,0,1,0
02/27/2016,10,56,2,6,16,8,0,2,0
02/27/2017,8,68,0,5,24,7,1,4,0
02/27/2018,11,65,0,6,23,6,0,4,0
02/28/2016,18,53,2,5,19,6,2,4,0
02/28/2017,13,63,2,6,23,5,0,1,0
02/28/2018,15,66,0,7,17,5,0,1,1
02/29/2016,17,50,1,4,21,4,0,6,1
03/01/2016,15,75,12,5,25,10,1,6,0
03/01/2017,16,93,4,5,42,12,0,5,0
03/01/2018,16,76,0,7,39,13,0,1,1
03/02/2016,10,69,4,10,21,8,0,4,0
03/02/2017,21,65,0,8,27,4,0,4,0
03/02/2018,13,49,0,10,29,5,0,2,1
03/03/2016,9,67,1,8,15,9,1,2,0
03/03/2017,16,70,3,7,24,5,0,2,0
03/03/2018,13,65,0,3,15,4,0,2,2
03/04/2016,26,63,2,5,22,5,0,3,2
03/04/2017,17,56,1,4,24,6,1,1,0
03/04/2018,9,45,4,8,14,13,1,4,1
03/05/2016,16,55,2,7,25,4,0,2,0
03/05/2017,10,59,2,2,22,7,1,3,0
03/05/2018,15,60,1,10,11,3,0,1,0
03/06/2016,14,59,4,3,18,3,0,3,1
03/06/2017,15,53,0,6,27,5,0,4,0
03/06/2018,15,61,1,8,22,5,0,2,1
03/07/2016,15,62,0,6,28,4,0,2,0
03/07/2017,16,43,1,9,17,3,0,2,0
03/07/2018,19,44,0,4,26,5,0,2,0
03/08/2016,12,63,0,5,30,6,0,3,0
03/08/2017,21,55,1,9,18,9,0,4,0
03/08/2018,17,59,3,8,25,7,0,2,0
03/09/2016,19,46,0,8,28,2,0,6,0
03/09/2017,18,59,0,12,24,6,0,7,1
03/09/2018,14,63,3,8,24,9,1,3,0
03/10/2016,7,53,0,11,26,6,0,5,0
03/10/2017,14,54,2,8,25,7,0,3,0
03/10/2018,20,71,1,7,18,4,0,2,0
03/11/2016,13,70,1,8,20,5,0,5,0
03/11/2017,9,69,4,1,20,8,1,4,0
03/11/2018,21,65,2,12,22,12,0,6,0
03/12/2016,15,63,2,2,13,6,0,2,0
03/12/2017,8,39,3,4,18,6,0,3,0
03/12/2018,15,59,6,4,27,6,2,2,0
03/13/2016,17,48,1,3,15,7,1,0,1
03/13/2017,16,48,0,1,21,11,0,0,0
03/13/2018,6,55,1,9,21,5,0,3,2
03/14/2016,15,58,5,5,22,5,0,3,0
03/14/2017,12,62,1,7,23,7,0,4,1
03/14/2018,13,58,0,8,18,4,0,2,0
