CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
794363443,79,BROOKLYN,12/31/2016,0:01:00,3/21/2018,13:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO BKLYN NORTH,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,4/10/2018,,UNKNOWN,UNKNOWN,U,,18-24,BLACK,F,998396,192222,40.69427867,-73.94898894,"(40.694278669, -73.948988941)"
218581138,44,BRONX,1/1/2016,0:01:00,4/9/2018,13:20:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE-HOUSE,4/9/2018,,,,,,45-64,BLACK,F,1005963,240409,40.82652424,-73.92154564,"(40.82652424, -73.921545638)"
588809104,48,BRONX,7/4/2016,14:00:00,7/8/2016,20:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",HOTEL/MOTEL,4/6/2018,,25-44,WHITE HISPANIC,M,,25-44,BLACK,F,1011779,246746,40.84390126,-73.90050463,"(40.843901255, -73.900504632)"
230686287,111,QUEENS,1/1/2016,12:00:00,3/28/2018,10:15:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO QUEENS NORTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,3/28/2018,,45-64,WHITE,F,,25-44,WHITE,F,1054603,218737,40.76678723,-73.74602189,"(40.766787234, -73.74602189)"
473603119,73,BROOKLYN,9/5/2016,18:30:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,FRONT OF,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BKLYN NORTH,101,ASSAULT 3,RESIDENCE - APT. HOUSE,3/16/2018,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1006163,184052,40.67183806,-73.9210066,"(40.671838063, -73.921006604)"
208805057,72,BROOKLYN,1/1/2016,14:00:00,3/14/2018,19:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,3/15/2018,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,M,987798,180194,40.66127512,-73.98721318,"(40.661275115, -73.987213177)"
619969008,67,BROOKLYN,1/1/2016,0:01:00,2/28/2018,0:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,175,"SEXUAL ABUSE 3,2",RESTAURANT/DINER,3/13/2018,,25-44,BLACK,M,,25-44,ASIAN/PAC.ISL,F,998032,175598,40.64865009,-73.95033556,"(40.648650085, -73.950335563)"
796509162,34,MANHATTAN,12/23/2016,9:00:00,2/20/2018,10:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN NORTH,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE - APT. HOUSE,3/11/2018,,,,,,25-44,WHITE,M,1005317,255575,40.868152,-73.92383219,"(40.868151998, -73.923832188)"
615257606,76,BROOKLYN,1/1/2016,12:00:00,11/30/2016,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,3/9/2018,,,,,,25-44,WHITE,F,983177,187315,40.68082132,-74.00387006,"(40.680821315, -74.003870056)"
879409352,49,BRONX,1/1/2016,0:00:00,12/31/2016,0:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BRONX,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,3/9/2018,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,F,1024575,246848,40.84413205,-73.85425608,"(40.844132053, -73.854256084)"
