Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
5/4/2006,106,309,123,27,2,18,2,59,0
5/5/2006,112,285,137,31,0,31,1,52,3
5/6/2006,110,265,117,26,5,27,2,39,2
5/7/2006,101,269,109,20,1,28,3,40,1
5/8/2006,111,242,143,42,2,27,6,42,2
5/9/2006,133,320,128,25,2,32,1,70,1
5/10/2006,124,303,122,29,3,34,3,55,1
5/11/2006,118,301,122,97,2,29,3,49,1
5/12/2006,106,267,141,24,0,34,2,31,2
5/13/2006,109,276,121,22,3,33,2,32,2
5/14/2006,95,221,114,27,6,31,4,35,1
5/15/2006,86,239,130,29,2,31,3,41,2
5/16/2006,91,297,152,21,1,32,3,37,2
5/17/2006,121,305,130,28,3,27,2,53,0
5/18/2006,99,289,142,32,0,28,1,51,0
5/19/2006,122,243,138,33,3,29,4,49,0
5/20/2006,106,283,111,33,1,19,2,50,0
5/21/2006,117,346,123,35,5,26,1,40,3
5/22/2006,128,313,164,45,1,32,1,49,0
5/23/2006,115,324,166,28,1,25,1,67,0
5/24/2006,89,343,136,27,4,34,5,55,0
5/25/2006,112,306,137,26,3,32,6,38,0
5/26/2006,95,277,141,36,2,25,3,41,1
5/27/2006,109,271,140,28,1,25,1,46,0
5/28/2006,132,293,134,29,1,28,4,31,2
5/29/2006,131,236,113,27,2,31,6,31,0
5/30/2006,112,276,156,41,1,35,2,56,1
5/31/2006,127,288,159,34,2,29,8,41,1
6/1/2006,71,171,88,24,1,29,3,31,3
6/2/2006,116,187,157,33,0,38,3,45,1
6/3/2006,110,228,152,28,1,26,3,39,0
6/4/2006,119,435,124,23,4,34,2,70,0
6/5/2006,110,307,183,33,1,53,2,56,2
6/6/2006,121,377,144,28,3,24,2,47,3
6/7/2006,85,337,146,29,0,24,4,51,3
6/8/2006,92,242,148,21,3,27,1,41,0
6/9/2006,114,296,132,19,0,35,2,36,1
6/10/2006,92,320,119,39,0,28,1,41,0
6/11/2006,119,264,120,24,4,34,3,43,0
6/12/2006,120,279,145,43,2,35,4,46,1
6/13/2006,93,337,136,32,2,21,4,48,1
6/14/2006,125,332,129,35,2,33,3,54,0
6/15/2006,97,331,138,39,1,26,0,59,1
6/16/2006,124,279,139,22,5,22,3,35,0
6/17/2006,118,391,124,28,1,27,4,64,1
6/18/2006,108,316,89,25,4,16,4,51,0
6/19/2006,101,301,143,32,2,25,6,43,4
6/20/2006,107,436,159,41,2,19,4,52,0
6/21/2006,113,426,149,26,2,26,2,36,1
6/22/2006,121,393,140,31,2,21,2,37,0
6/23/2006,112,270,147,29,3,33,0,26,2
6/24/2006,105,307,113,35,0,38,1,42,0
6/25/2006,95,321,129,30,2,32,3,31,0
6/26/2006,93,306,148,45,2,34,2,49,1
6/27/2006,97,368,165,41,0,31,7,61,4
6/28/2006,94,342,141,34,0,33,4,43,1
6/29/2006,104,432,123,25,1,42,0,39,0
6/30/2006,115,391,111,29,3,39,1,64,1
7/1/2006,111,262,102,28,1,30,5,43,3
7/2/2006,98,291,121,29,1,33,4,36,1
7/3/2006,99,301,130,28,1,27,5,33,2
7/4/2006,109,244,97,27,1,33,5,38,0
7/5/2006,123,341,143,43,1,20,3,46,0
7/6/2006,106,319,137,35,1,27,4,49,3
7/7/2006,103,259,142,33,2,27,1,28,0
7/8/2006,94,303,133,26,1,27,6,49,1
7/9/2006,105,271,131,24,2,34,4,32,2
7/10/2006,105,342,174,41,4,26,4,42,3
7/11/2006,113,355,145,39,0,31,1,40,0
7/12/2006,95,393,154,37,2,27,4,45,2
7/13/2006,113,420,138,30,0,21,3,57,0
7/14/2006,106,306,138,30,0,20,4,37,1
7/15/2006,111,245,105,29,0,30,3,48,6
7/16/2006,111,289,113,29,2,29,3,37,1
7/17/2006,76,309,178,40,1,33,3,34,3
7/18/2006,77,366,142,34,1,36,5,39,1
7/19/2006,111,345,181,35,4,23,2,51,2
7/20/2006,113,409,155,37,5,25,0,39,0
7/21/2006,108,331,146,27,1,30,2,51,2
7/22/2006,116,278,147,33,3,36,1,53,0
7/23/2006,98,279,123,29,0,30,3,41,2
7/24/2006,117,401,181,47,2,35,7,32,1
7/25/2006,95,434,168,44,3,33,6,62,0
7/26/2006,119,437,166,35,2,29,1,47,2
7/27/2006,121,418,159,25,2,22,2,37,2
7/28/2006,110,211,106,44,1,36,3,40,3
7/29/2006,108,300,129,27,0,38,9,47,2
7/30/2006,96,263,117,31,0,36,6,33,1
7/31/2006,110,335,171,44,0,30,1,32,1
8/1/2006,99,370,136,33,3,33,6,48,0
8/2/2006,86,387,144,35,1,33,4,43,1
8/3/2006,80,338,135,31,1,29,6,48,0
8/4/2006,99,257,117,31,5,25,7,45,3
8/5/2006,101,269,116,31,0,37,3,46,0
8/6/2006,127,300,128,37,3,29,5,38,0
8/7/2006,95,327,207,44,1,34,5,39,0
8/8/2006,115,484,136,35,2,24,2,79,0
8/9/2006,111,355,143,36,0,37,1,55,0
8/10/2006,101,353,153,34,0,30,2,56,0
8/11/2006,82,338,146,37,0,36,3,47,4
8/12/2006,93,366,107,30,0,38,2,46,0
8/13/2006,100,368,134,31,2,25,2,39,0
8/14/2006,84,341,155,47,3,27,4,30,0
8/15/2006,99,445,139,39,4,30,4,59,0
8/16/2006,93,456,163,42,1,25,3,58,1
8/17/2006,110,421,155,37,3,34,4,52,1
8/18/2006,110,335,169,37,2,19,0,53,2
8/19/2006,104,302,134,35,1,36,3,48,1
8/20/2006,119,311,100,24,4,31,5,47,1
8/21/2006,114,338,176,53,0,35,1,40,0
8/22/2006,95,388,141,38,3,31,2,58,0
8/23/2006,102,372,172,26,1,35,2,59,3
8/24/2006,89,378,154,33,1,28,2,57,1
8/25/2006,102,332,130,48,1,29,2,37,0
8/26/2006,103,239,132,36,2,28,3,45,0
8/27/2006,94,261,149,38,2,35,5,42,0
8/28/2006,78,252,160,48,3,36,5,26,0
8/29/2006,106,338,155,33,1,32,0,47,1
8/30/2006,72,292,142,32,0,30,0,51,1
8/31/2006,84,349,173,38,1,27,4,46,3
9/1/2006,58,261,133,36,3,22,1,40,0
9/2/2006,67,178,138,28,1,25,2,31,1
9/3/2006,103,356,154,28,2,34,2,58,1
9/4/2006,105,303,135,32,1,19,4,35,3
9/5/2006,88,308,162,42,2,32,0,48,0
9/6/2006,84,354,161,37,0,23,2,49,1
9/7/2006,99,321,136,32,1,31,4,53,2
9/8/2006,91,254,172,33,1,29,1,49,1
9/9/2006,121,240,136,33,0,29,2,40,0
9/10/2006,139,271,153,20,2,18,2,47,0
9/11/2006,86,260,166,33,3,26,3,37,0
9/12/2006,97,278,161,32,2,18,1,65,0
9/13/2006,107,244,141,31,1,24,7,68,1
9/14/2006,83,219,138,44,1,27,3,47,0
9/15/2006,112,238,143,31,1,35,2,41,1
9/16/2006,119,344,128,37,1,33,3,59,1
9/17/2006,135,357,154,25,0,36,1,42,1
9/18/2006,134,276,140,38,3,21,7,39,0
9/19/2006,117,318,165,37,4,31,1,55,1
9/20/2006,114,285,155,32,1,32,3,60,3
9/21/2006,111,317,132,40,2,25,2,42,0
9/22/2006,111,243,144,31,1,34,3,47,4
9/23/2006,109,260,126,27,0,26,4,57,2
9/24/2006,115,268,148,29,0,31,1,32,4
9/25/2006,97,265,160,49,1,29,6,33,1
9/26/2006,116,394,144,34,1,27,5,57,1
9/27/2006,114,331,151,35,0,31,4,61,1
9/28/2006,123,315,155,39,2,29,3,49,0
9/29/2006,108,277,146,29,4,27,2,62,1
9/30/2006,97,284,148,32,0,29,2,41,2
10/1/2006,139,324,116,28,2,28,2,42,1
10/2/2006,92,278,156,43,3,31,0,40,4
10/3/2006,123,264,134,34,3,31,2,73,5
10/4/2006,113,308,127,43,0,44,1,52,2
10/5/2006,98,313,153,24,3,26,3,43,3
10/6/2006,107,217,136,30,2,30,4,48,1
10/7/2006,90,253,139,35,1,47,0,44,2
10/8/2006,104,324,132,26,2,33,4,33,0
10/9/2006,89,320,159,28,2,36,5,48,0
10/10/2006,108,314,153,35,5,24,4,54,0
10/11/2006,100,284,138,37,1,29,0,52,1
10/12/2006,120,310,149,35,1,36,4,61,2
10/13/2006,122,229,142,14,0,40,2,45,0
10/14/2006,80,230,168,32,2,32,2,35,1
10/15/2006,92,254,134,33,1,36,2,54,1
10/16/2006,105,266,137,43,6,36,2,51,1
10/17/2006,114,287,160,22,4,37,4,52,1
10/18/2006,116,339,145,34,2,27,9,56,2
10/19/2006,102,314,175,27,2,36,6,52,0
10/20/2006,114,215,154,28,1,33,1,45,2
10/21/2006,90,305,145,26,4,37,1,63,1
10/22/2006,119,356,120,25,4,39,3,29,3
10/23/2006,104,267,173,46,3,49,0,49,0
10/24/2006,96,324,153,31,4,36,2,47,0
10/25/2006,105,329,136,38,2,39,1,63,0
10/26/2006,96,343,157,25,3,28,5,60,1
10/27/2006,71,261,137,28,2,38,3,43,0
10/28/2006,97,222,168,30,1,30,3,53,2
10/29/2006,117,290,152,32,1,40,3,45,1
10/30/2006,111,418,158,48,0,40,4,43,2
10/31/2006,149,342,136,37,4,27,3,50,2
11/1/2006,129,326,127,42,1,37,5,77,0
11/2/2006,110,293,169,34,3,29,1,52,2
11/3/2006,99,233,124,25,1,33,1,56,0
11/4/2006,94,278,117,25,1,26,2,47,1
11/5/2006,67,288,108,19,1,34,1,53,1
11/6/2006,108,308,157,43,3,40,5,36,0
11/7/2006,103,357,139,20,2,42,4,47,1
11/8/2006,86,270,132,34,3,29,3,38,1
11/9/2006,95,307,148,30,0,26,1,50,3
11/10/2006,109,267,136,26,2,38,3,49,1
11/11/2006,99,292,128,22,2,39,1,63,4
11/12/2006,85,340,143,20,6,50,3,37,0
11/13/2006,73,244,145,35,1,30,3,41,1
11/14/2006,100,290,143,35,4,40,2,59,2
11/15/2006,134,329,134,40,3,37,2,72,0
11/16/2006,105,307,166,27,2,40,1,55,1
11/17/2006,116,278,149,38,0,35,3,52,0
11/18/2006,68,298,147,25,4,31,3,61,4
11/19/2006,103,251,120,26,1,40,2,46,1
11/20/2006,104,271,133,38,2,39,2,52,1
11/21/2006,101,239,121,23,2,27,4,59,0
11/22/2006,85,232,129,35,0,32,0,48,0
11/23/2006,84,130,87,22,0,17,4,26,0
11/24/2006,82,252,142,36,1,37,1,62,2
11/25/2006,91,305,140,28,0,37,1,56,1
11/26/2006,111,346,126,33,2,47,2,43,1
11/27/2006,90,288,147,51,2,37,4,47,0
11/28/2006,100,274,157,39,2,36,1,58,0
11/29/2006,100,315,134,38,1,35,2,57,1
11/30/2006,117,294,143,40,1,34,3,77,0
12/1/2006,111,260,149,31,0,29,7,57,0
